config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s
0,True,True,4000.0,0.010737,2.4e-05,0.001056,0.2571,1.09118,0.002605,2.44098,19.220549,7.373207,2.203346,7.52646,-9.284935,1388.073307,
1,True,True,4000.0,0.004901,8e-06,0.000591,0.1757,0.813882,0.001943,3.654536,16.300632,5.853053,1.56342,8.709653,-9.100018,908.114468,
2,True,True,4000.0,0.02522,0.000108,0.002224,0.8104,4.737522,0.01131,3.27558,37.436255,10.466123,3.214969,11.817087,-10.522479,1103.687335,
3,True,True,4000.0,0.006569,1.6e-05,0.000629,0.3085,1.442619,0.003444,4.786902,31.757538,8.381763,2.308833,13.412386,-10.647001,753.173453,
4,True,True,4000.0,0.015513,3.8e-05,0.001056,0.1543,0.455321,0.001087,1.013896,0.000945,0.307488,0.10164,0.006926,-0.020636,3918.186865,
5,True,True,4000.0,0.011314,2.6e-05,0.000654,0.5877,2.818637,0.006729,5.295004,39.705853,8.534427,2.122921,16.006273,-13.793238,643.831833,
6,True,False,4000.0,0.013689,4.6e-05,0.001628,0.09164,1.019133,0.002433,0.682385,0.0,0.0,0.0,0.0,0.0,4000.0,
7,True,False,4000.0,0.010009,3.6e-05,0.00159,0.07469,0.631251,0.001507,0.760681,0.0,0.0,0.0,0.0,0.0,4000.0,
8,True,True,4000.0,0.013503,4.1e-05,0.001194,0.8664,6.693687,0.01598,6.540517,27.741534,6.915617,1.650974,14.575117,-11.356262,533.075911,
9,True,False,4000.0,0.012134,3.1e-05,0.000698,0.0414,1.115056,0.002662,0.347809,0.0,0.0,0.0,0.0,0.0,4000.0,
10,True,True,4000.0,0.009564,2.4e-05,0.001018,0.2019,1.864012,0.00445,2.152016,6.078548,3.878433,1.048925,4.073288,-7.154621,1468.62332,
11,True,True,4000.0,0.012775,4.1e-05,0.001194,0.2295,1.907575,0.004554,1.831273,7.125255,4.656752,1.337164,3.889552,-7.218146,1794.545366,
12,True,False,4000.0,0.009838,4.5e-05,0.001684,0.0,1.583363,0.00378,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
13,True,True,4000.0,0.007335,1.9e-05,0.000685,0.3535,2.783032,0.006644,4.912861,20.524053,6.028342,1.469346,11.210669,-10.683789,668.037991,
14,False,False,4000.0,0.012352,3.1e-05,0.001106,,,,,,,,,,,
15,True,False,4000.0,0.02044,3.8e-05,0.00098,0.01088,0.644236,0.001538,0.054261,0.0,0.0,0.0,0.0,0.0,4000.0,
16,True,True,4000.0,0.003817,1.3e-05,0.00071,0.08088,0.99777,0.002382,2.160253,5.609783,3.877283,1.100398,3.871375,-6.062919,1507.150822,
17,True,True,4000.0,0.02807,6.3e-05,0.001797,0.408,1.964124,0.004689,1.481677,4.158715,4.126513,1.219354,2.422239,-5.55166,2307.025649,
18,True,False,4000.0,0.014498,3.6e-05,0.001382,0.0471,0.346832,0.000828,0.33117,0.0,0.0,0.0,0.0,0.0,4000.0,
19,True,True,4000.0,0.00704,2.4e-05,0.001207,0.6407,2.805233,0.006697,9.27663,39.925209,10.791887,3.116856,18.0189,-8.2139,494.947734,
20,True,True,4000.0,0.008878,1.9e-05,0.000647,0.1483,0.449038,0.001072,1.702789,14.300635,7.281371,2.224526,5.05953,-8.712641,2006.963378,
21,True,False,4000.0,0.021121,6.3e-05,0.001219,0.04056,2.783032,0.006644,0.195752,0.0,0.0,0.0,0.0,0.0,4000.0,
22,True,False,4000.0,0.017709,5.4e-05,0.001514,0.04896,0.722147,0.001724,0.281819,0.0,0.0,0.0,0.0,0.0,4000.0,
23,True,True,4000.0,0.019457,5.4e-05,0.00159,0.4346,2.24561,0.005361,2.276907,19.006748,7.326715,2.152758,7.243877,-9.836972,1468.494368,
24,True,False,4000.0,0.019544,4.9e-05,0.001144,0.0,2.264041,0.005405,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
25,True,False,4000.0,0.013623,3.1e-05,0.001043,0.1076,0.55669,0.001329,0.805132,0.0,0.0,0.0,0.0,0.0,4000.0,
26,True,False,4000.0,0.016492,2.6e-05,0.000603,0.1603,0.726755,0.001735,0.990808,0.0,0.0,0.0,0.0,0.0,4000.0,
27,True,False,4000.0,0.016271,3.8e-05,0.000691,0.08661,1.155268,0.002758,0.542613,0.0,0.0,0.0,0.0,0.0,4000.0,
28,True,False,4000.0,0.009569,2.3e-05,0.000968,0.05382,0.826867,0.001974,0.573315,0.0,0.0,0.0,0.0,0.0,4000.0,
