"config_id","naca_hub","naca_inner","naca_mid","naca_outer"
0,"0020","0021","1512","2606"
1,"6416","6417","7513","8709"
2,"5624","5624","5622","8312"
3,"6721","6722","5615","3506"
4,"7523","7523","3621","2620"
5,"1224","1224","4324","6324"
6,"1621","1621","2617","4509"
7,"5821","5822","4717","2511"
8,"2617","2617","5517","9317"
9,"2717","2717","3716","3716"
10,"2520","2521","7415","8413"
11,"7521","7522","6616","5613"
12,"1219","1219","1218","4314"
13,"7821","7822","8617","8513"
14,"8322","8323","6319","2210"
15,"0017","0017","2517","7516"
16,"2822","2822","3719","6611"
17,"3619","3619","6416","8314"
18,"5518","5519","3715","2812"
19,"3319","3319","3519","3819"
20,"0019","0020","0015","1509"
21,"8423","8423","8520","8616"
22,"7724","7724","7722","7509"
23,"8823","8823","7418","7215"
24,"7723","7723","6721","2612"
25,"2320","2320","3319","3318"
26,"5523","5523","4520","2516"
27,"2518","2518","1518","0017"
28,"4621","4621","5619","6514"
29,"5821","5821","6620","7419"
30,"7621","7621","6619","2410"
31,"7421","7421","5616","5714"
32,"5722","5723","4714","3709"
33,"5523","5523","5523","2522"
34,"5416","5416","6412","6411"
35,"2619","2619","2618","2516"
36,"4318","4318","4418","5717"
37,"6323","6323","6421","6420"
38,"3722","3722","4720","7511"
39,"1623","1623","2419","3317"
40,"8624","8624","5623","2522"
41,"0018","0018","1416","2811"
42,"3620","3621","3716","3712"
43,"8817","8817","6716","1614"
44,"6523","6523","5521","4617"
45,"1419","1420","2516","3710"
46,"5224","5224","3320","0015"
47,"3322","3323","6516","8611"
48,"9524","9524","8524","4322"
49,"5320","5320","5514","5612"
50,"2521","2521","4521","7420"
51,"8419","8419","8517","8516"
52,"1422","1423","2615","3709"
53,"9418","9418","8417","5610"
54,"0019","0019","2417","7412"
55,"3624","3624","3624","2624"
56,"7423","7423","4622","3722"
57,"3522","3522","4519","7411"
58,"3513","3513","2513","0012"
59,"2720","2720","3720","6418"
60,"1822","1822","5819","9816"
61,"3419","3419","4417","7513"
62,"3721","3721","2617","1514"
63,"4322","4323","5419","7613"
64,"5312","5312","4312","3412"
65,"1320","1320","1319","0016"
66,"0020","0020","2519","5318"
67,"4224","4224","5520","6718"
68,"1622","1622","1621","2518"
69,"4523","4523","3522","2521"
70,"5720","5720","5719","3411"
71,"3521","3521","4519","4517"
72,"1821","1821","1820","4617"
73,"7621","7621","6619","4614"
74,"1723","1723","4522","7321"
75,"1518","1518","1517","1414"
76,"7517","7517","9312","9311"
77,"6715","6715","4513","3311"
78,"2723","2723","3622","6321"
79,"4319","4320","4315","4308"
80,"7423","7423","8218","8216"
81,"8321","8321","8420","8618"
82,"2321","2321","3318","7411"
83,"8718","8718","6414","5212"
84,"6717","6717","7617","7517"
85,"8716","8716","3612","0010"
86,"2622","2622","1520","0014"
87,"0022","0022","2621","5820"
88,"7521","7522","8416","9312"
89,"4222","4222","4320","5612"
90,"7521","7521","7619","6817"
91,"5215","5215","6415","6515"
92,"6619","6619","7518","9416"
93,"8720","8721","7516","7312"
94,"1524","1524","2424","5223"
95,"2423","2423","4521","6719"
96,"9316","9316","7315","4214"
97,"7223","7224","7317","8509"
98,"7423","7423","5421","0016"
99,"5622","5622","7521","8421"
100,"4424","4424","4421","5315"
101,"4320","4320","2318","1316"
102,"5713","5713","6712","8810"
103,"6419","6420","4614","2807"
104,"2320","2320","3419","6816"
105,"7719","7719","7619","6518"
106,"1715","1715","2713","6807"
107,"4720","4720","5618","7312"
108,"7321","7322","6517","5710"
109,"4414","4414","4310","4308"
110,"1511","1511","4609","5608"
111,"9323","9323","5322","2322"
112,"2623","2623","5620","8517"
113,"7523","7523","7522","4317"
114,"7619","7620","5616","2612"
115,"0020","0020","1519","2417"
116,"5417","5417","5516","5715"
117,"4219","4219","4319","1718"
118,"3522","3523","4518","4514"
119,"2423","2423","2621","2719"
120,"9523","9524","7519","4512"
121,"7322","7322","6318","6316"
122,"4619","4619","3618","0015"
123,"6421","6421","7518","8615"
124,"7721","7721","5619","2316"
125,"3720","3720","3720","2619"
126,"5422","5422","5620","5619"
127,"4522","4522","5521","8617"
128,"7418","7418","5615","3713"
129,"1520","1520","2617","6811"
130,"6623","6623","7621","8517"
131,"4320","4320","2416","1413"
132,"1322","1322","1322","4621"
133,"8421","8422","8515","8511"
134,"4423","4423","4422","3417"
135,"6322","6322","2518","1517"
136,"7423","7424","7314","7311"
137,"6721","6721","4620","1418"
138,"9322","9323","9615","9713"
139,"5418","5418","4518","1816"
140,"8423","8424","8520","7614"
141,"1618","1618","3716","5815"
142,"2722","2722","2722","2621"
143,"1619","1619","2519","5218"
144,"6724","6724","4623","2522"
145,"8620","8620","7617","6710"
146,"2519","2520","5615","8709"
147,"3315","3315","3314","4412"
148,"5315","5315","6514","8813"
149,"2717","2718","3412","3310"
150,"6621","6621","7417","8315"
151,"6621","6621","8515","9513"
152,"7620","7620","6418","6418"
153,"1419","1419","3517","8613"
154,"7621","7622","4417","1211"
155,"2619","2619","4616","7512"
156,"8316","8316","7415","4807"
157,"1622","1623","3517","6410"
158,"2717","2717","2717","2716"
159,"8524","8524","8622","7718"
160,"2417","2417","6616","8815"
161,"4522","4522","5421","6420"
162,"9417","9417","9314","8211"
163,"1322","1322","1419","2613"
164,"6420","6420","6419","6318"
165,"3519","3519","4517","5512"
166,"8320","8321","5416","3412"
167,"8722","8723","7620","3312"
168,"5616","5617","4711","4709"
169,"8320","8320","4517","1715"
170,"1622","1622","2721","3720"
171,"8623","8623","6522","4522"
172,"6320","6320","5416","4413"
173,"8324","8324","8324","7424"
174,"5220","5220","5319","8614"
175,"4619","4619","3616","2612"
176,"3722","3722","2522","1321"
177,"5616","5616","3616","0015"
178,"5521","5521","4517","3515"
179,"1223","1223","4522","5622"
180,"6213","6213","7312","8409"
181,"6523","6523","6522","3519"
182,"4317","4317","3415","1511"
183,"2822","2823","5818","8811"
184,"7619","7620","7615","6509"
185,"3820","3821","4718","6410"
186,"5521","5521","4518","1410"
187,"5223","5224","1314","0011"
188,"3323","3323","3420","2613"
189,"1310","1310","1310","0009"
190,"8324","8324","8324","7423"
191,"0022","0022","2420","4218"
192,"3320","3320","5519","6719"
193,"6421","6421","3519","2519"
194,"8316","8316","4512","2610"
195,"8317","8317","6416","3615"
196,"4721","4722","4518","4312"
197,"3719","3719","3718","1714"
198,"3719","3719","3715","4611"
199,"1619","1619","1814","1813"
200,"4421","4421","5519","6814"
201,"5213","5213","5313","6413"
202,"8323","8323","7421","6420"
203,"5718","5718","5617","5515"
204,"3421","3422","5416","7412"
205,"9320","9320","8319","4414"
206,"3520","3521","5716","6812"
207,"5316","5316","6415","8511"
208,"4615","4615","5514","9410"
209,"6623","6623","6621","5610"
210,"8719","8720","8614","8511"
211,"4723","4723","5722","7821"
212,"3318","3318","4314","7206"
213,"7516","7516","6516","1415"
214,"4419","4419","2717","1817"
215,"7820","7820","5818","4818"
216,"3218","3218","3218","1515"
