config_id,radius,ring height,ring thickness,blade count,inner thickness,inner max pos,inner camber,inner chord,inner angle,mid radial pos,mid chord,mid angle,outer thickness,outer max pos,outer camber,outer chord,outer angle
0,67,4.0,2.0,5,21,3,0,5,25,0.6,26,13,6,6,2,22,4
1,60,6.0,3.0,3,17,4,6,8,25,0.5,23,12,9,7,8,19,11
2,80,5.0,2.5,5,24,6,5,6,19,0.3,23,11,12,3,8,14,11
3,66,5.0,2.5,6,22,7,6,5,17,0.5,24,16,6,5,3,21,10
4,67,4.0,2.0,5,23,5,7,6,22,0.7,17,5,20,6,2,11,3
5,70,4.0,2.0,5,24,2,1,5,23,0.6,20,15,24,3,6,10,4
6,75,4.0,2.0,5,21,6,1,6,19,0.4,26,8,9,5,4,14,6
7,73,4.0,2.0,4,22,8,5,7,23,0.5,22,8,11,5,2,21,7
8,78,4.0,2.0,5,17,6,2,7,19,0.5,21,9,17,3,9,20,3
9,77,4.0,2.0,5,17,7,2,6,23,0.7,23,4,16,7,3,17,2
10,64,4.0,2.0,6,21,5,2,5,21,0.7,30,12,13,4,8,18,6
11,78,4.0,2.0,6,22,5,7,5,18,0.6,29,7,13,6,5,19,6
12,78,4.0,2.0,5,19,2,1,7,25,0.3,12,8,14,3,4,11,8
13,75,4.0,2.0,5,22,8,7,5,25,0.6,24,15,13,5,8,12,4
14,71,4.0,2.0,4,23,3,8,6,22,0.4,26,6,10,2,2,24,3
15,61,4.0,2.0,5,17,5,0,7,24,0.4,11,8,16,5,7,10,6
16,79,4.0,2.0,3,22,8,2,7,18,0.4,25,8,11,6,6,24,4
17,63,5.0,2.5,6,19,6,3,6,23,0.6,24,9,14,3,8,18,9
18,62,4.0,2.0,5,19,5,5,6,19,0.6,16,6,12,8,2,10,6
19,79,4.0,2.0,5,19,3,3,6,18,0.4,13,14,19,8,3,11,7
20,69,4.0,2.0,6,20,5,0,6,23,0.5,28,9,9,5,1,12,4
21,80,4.0,2.0,6,23,4,8,6,22,0.5,25,4,16,6,8,18,3
22,69,4.0,2.0,3,24,7,7,10,23,0.3,14,18,9,5,7,13,2
23,73,4.0,2.0,4,23,8,8,7,20,0.6,28,7,15,2,7,26,4
24,74,4.0,2.0,5,23,7,7,5,25,0.3,19,13,12,6,2,10,5
25,66,4.0,2.0,6,20,3,2,5,23,0.6,18,6,18,3,3,15,3
26,62,4.0,2.0,5,23,5,5,7,25,0.5,26,15,16,5,2,15,5
27,76,4.0,2.0,5,18,5,2,7,19,0.5,22,6,17,6,0,21,4
28,60,4.0,2.0,6,21,6,4,5,23,0.4,12,14,14,5,6,12,9
29,77,4.0,2.0,6,21,8,5,5,17,0.5,24,12,19,4,7,18,7
30,76,4.0,2.0,6,21,6,7,5,22,0.3,12,15,10,4,2,11,9
31,74,4.0,2.0,6,21,4,7,6,20,0.7,26,4,14,7,5,23,3
32,72,4.0,2.0,5,23,7,5,6,23,0.6,29,8,9,7,3,18,7
33,75,4.0,2.0,5,23,5,5,7,22,0.3,10,8,22,5,2,10,3
34,70,4.0,2.0,4,16,4,5,7,24,0.7,13,10,11,4,6,10,7
35,78,6.0,3.0,6,19,6,2,6,19,0.5,29,8,16,5,2,28,8
36,73,4.0,2.0,4,18,3,4,7,23,0.3,15,12,17,7,5,14,6
37,66,4.0,2.0,3,23,3,6,7,21,0.6,25,7,20,4,6,16,6
38,76,4.0,2.0,4,22,7,3,7,19,0.3,17,8,11,5,7,10,6
39,65,4.0,2.0,3,23,6,1,7,24,0.6,12,11,17,3,3,11,4
40,79,4.0,2.0,6,24,6,8,5,18,0.5,19,7,22,5,2,13,2
41,65,4.0,2.0,5,18,3,0,6,25,0.4,13,12,11,8,2,10,5
42,72,4.0,2.0,4,21,6,3,5,19,0.6,24,7,12,7,3,18,7
43,64,4.0,2.0,5,17,8,8,7,20,0.4,17,10,14,6,1,16,6
44,63,4.0,2.0,5,23,5,6,5,18,0.4,16,13,17,6,4,11,10
45,64,4.0,2.0,5,20,4,1,7,19,0.5,21,8,10,7,3,13,4
46,75,4.0,2.0,3,24,2,5,8,21,0.5,12,14,15,5,0,12,11
47,69,4.0,2.0,4,23,3,3,8,25,0.6,27,10,11,6,8,22,6
48,79,5.0,2.5,4,24,5,9,9,21,0.3,14,13,22,3,4,10,13
49,79,4.0,2.0,5,20,3,5,5,22,0.7,25,13,12,6,5,16,6
50,73,4.0,2.0,5,21,5,2,5,23,0.5,19,8,20,4,7,18,2
51,75,4.0,2.0,5,19,4,8,6,25,0.7,12,12,16,5,8,10,8
52,61,4.0,2.0,5,23,4,1,7,25,0.6,29,7,9,7,3,29,5
53,78,4.0,2.0,5,18,4,9,6,22,0.3,19,9,10,6,5,13,9
54,70,4.0,2.0,5,19,4,0,6,24,0.4,11,12,12,4,7,11,10
55,73,4.0,2.0,4,24,6,3,7,25,0.4,29,6,24,6,2,17,5
56,74,4.0,2.0,3,23,4,7,6,23,0.7,28,13,22,7,3,16,3
57,79,6.0,3.0,5,22,5,3,7,20,0.4,27,11,11,4,7,23,10
58,60,4.0,2.0,4,13,5,3,8,21,0.5,12,13,12,6,0,11,8
59,76,4.0,2.0,4,20,7,2,8,23,0.3,11,14,18,4,6,10,10
60,70,4.0,2.0,6,22,8,1,6,17,0.5,29,13,16,8,9,24,4
61,79,5.0,2.5,3,19,4,3,9,25,0.4,18,15,13,5,7,11,13
62,69,4.0,2.0,4,21,7,3,5,20,0.6,15,12,14,5,1,10,8
63,65,4.0,2.0,4,23,3,4,7,21,0.5,17,12,13,6,7,16,4
64,64,4.0,2.0,3,12,3,5,9,24,0.5,22,6,12,4,3,13,4
65,63,6.0,3.0,4,20,3,1,7,19,0.3,21,13,16,2,0,16,13
66,69,4.0,2.0,5,20,6,0,6,18,0.5,13,8,18,3,5,13,4
67,67,4.0,2.0,5,24,2,4,6,19,0.6,11,14,18,7,6,10,9
68,69,7.0,3.5,4,22,6,1,5,20,0.4,28,15,18,5,2,26,10
69,71,4.0,2.0,5,23,5,4,6,21,0.5,24,15,21,5,2,20,5
70,71,4.0,2.0,6,20,7,5,5,22,0.3,11,17,11,4,3,11,8
71,72,4.0,2.0,5,21,5,3,6,24,0.6,19,5,17,5,4,16,5
72,73,4.0,2.0,5,21,8,1,7,21,0.3,13,13,17,6,4,11,5
73,65,5.0,2.5,4,21,6,7,8,22,0.4,20,10,14,6,4,19,9
74,66,4.0,2.0,4,23,7,1,6,20,0.5,13,10,21,3,7,10,4
75,72,4.0,2.0,5,18,5,1,6,20,0.4,24,6,14,4,1,15,2
76,75,4.0,2.0,5,17,5,7,7,20,0.7,17,4,11,3,9,13,2
77,75,4.0,2.0,4,15,7,6,8,23,0.6,28,15,11,3,3,28,2
78,76,4.0,2.0,6,23,7,2,5,17,0.4,10,14,21,3,6,10,2
79,79,4.0,2.0,5,20,3,4,5,23,0.5,22,6,8,3,4,22,3
80,75,6.0,3.0,5,23,4,7,5,21,0.7,27,11,16,2,8,21,10
81,61,4.0,2.0,4,21,3,8,8,25,0.4,10,10,18,6,8,10,3
82,73,4.0,2.0,4,21,3,2,6,25,0.4,11,9,11,4,7,10,3
83,70,4.0,2.0,4,18,7,8,8,18,0.6,28,10,12,2,5,14,5
84,76,4.0,2.0,4,17,7,6,8,17,0.6,13,12,17,5,7,11,7
85,78,5.0,2.5,5,16,7,8,7,22,0.6,21,14,10,6,0,17,10
86,69,4.0,2.0,4,22,6,2,7,18,0.4,25,11,14,3,0,20,5
87,75,8.0,4.0,5,22,4,0,6,20,0.5,25,13,20,8,5,24,12
88,64,4.0,2.0,4,22,5,7,5,19,0.6,16,7,12,3,9,15,5
89,78,4.0,2.0,4,22,2,4,6,18,0.3,14,17,12,6,5,13,8
90,61,4.0,2.0,4,21,5,7,7,22,0.5,11,10,17,8,6,11,8
91,73,4.0,2.0,4,15,2,5,8,18,0.6,11,12,15,5,6,10,6
92,74,4.0,2.0,4,19,6,6,8,20,0.5,21,7,16,4,9,12,6
93,70,4.0,2.0,4,21,7,8,7,24,0.6,21,7,12,3,7,16,7
94,62,4.0,2.0,5,24,5,1,5,25,0.4,18,15,23,2,5,11,6
95,65,5.0,2.5,6,23,4,2,5,21,0.5,12,14,19,7,6,12,11
96,76,4.0,2.0,4,16,3,9,7,18,0.5,11,14,14,2,4,10,4
97,67,5.0,2.5,4,24,2,7,8,17,0.5,16,12,9,5,8,15,11
98,60,5.0,2.5,4,23,4,7,8,19,0.4,25,15,16,4,0,20,10
99,63,5.0,2.5,4,22,6,5,5,23,0.6,17,13,21,4,8,10,12
100,75,4.0,2.0,5,24,4,4,5,19,0.4,19,10,15,3,5,12,7
101,75,4.0,2.0,4,20,3,4,6,24,0.6,14,10,16,3,1,10,3
102,78,4.0,2.0,3,13,7,5,9,25,0.5,27,6,10,8,8,18,3
103,70,4.0,2.0,6,20,4,6,6,24,0.5,23,5,7,8,2,17,3
104,73,4.0,2.0,4,20,3,2,7,18,0.4,13,9,16,8,6,11,3
105,74,4.0,2.0,4,19,7,7,9,20,0.4,21,15,18,5,6,11,2
106,62,4.0,2.0,4,15,7,1,8,20,0.4,24,6,7,8,6,19,6
107,68,4.0,2.0,4,20,7,4,6,23,0.4,15,7,12,3,7,11,5
108,75,5.0,2.5,4,22,3,7,6,20,0.5,23,9,10,7,5,23,7
109,66,4.0,2.0,3,14,4,4,11,25,0.6,14,6,8,3,4,14,5
110,69,4.0,2.0,3,11,5,1,10,24,0.7,18,4,8,6,5,13,4
111,66,7.0,3.5,5,23,3,9,6,24,0.6,29,14,22,3,2,24,12
112,61,7.0,3.5,4,23,6,2,5,24,0.5,28,11,17,5,8,26,10
113,64,4.0,2.0,6,23,5,7,5,20,0.3,16,17,17,3,4,14,8
114,60,5.0,2.5,5,20,6,7,7,22,0.5,26,12,12,6,2,19,10
115,78,4.0,2.0,4,20,6,0,5,21,0.5,17,4,17,4,2,15,2
116,66,4.0,2.0,3,17,4,5,6,25,0.4,11,11,15,7,5,10,5
117,70,4.0,2.0,3,19,2,4,6,21,0.3,27,14,18,7,1,18,8
118,69,4.0,2.0,5,23,5,3,6,18,0.6,10,7,14,5,4,10,3
119,77,4.0,2.0,4,23,4,2,8,18,0.6,20,3,19,7,2,17,3
120,80,4.0,2.0,4,24,5,9,8,24,0.5,13,9,12,5,4,10,6
121,62,4.0,2.0,4,22,3,7,6,18,0.6,21,8,16,3,6,15,4
122,79,4.0,2.0,5,19,6,4,7,25,0.4,25,7,15,6,0,23,4
123,74,4.0,2.0,4,21,4,6,6,25,0.5,14,8,15,6,8,14,4
124,80,4.0,2.0,5,21,7,7,5,24,0.4,19,14,16,3,2,11,6
125,70,4.0,2.0,5,20,7,3,6,24,0.5,24,13,19,6,2,21,2
126,61,4.0,2.0,5,22,4,5,7,21,0.7,23,15,19,6,5,16,6
127,72,4.0,2.0,4,22,5,4,5,18,0.3,13,12,17,6,8,11,9
128,73,4.0,2.0,3,18,4,7,9,17,0.6,17,9,13,7,3,13,3
129,76,4.0,2.0,4,20,5,1,8,18,0.4,18,10,11,8,6,14,9
130,75,4.0,2.0,5,23,6,6,6,18,0.4,28,11,17,5,8,14,4
131,76,5.0,2.5,3,20,3,4,9,17,0.6,25,11,13,4,1,18,9
132,75,4.0,2.0,5,22,3,1,6,19,0.3,22,9,21,6,4,12,6
133,78,4.0,2.0,5,22,4,8,5,19,0.6,19,6,11,5,8,15,3
134,63,4.0,2.0,5,23,4,4,5,19,0.3,18,17,17,4,3,10,10
135,63,4.0,2.0,4,22,3,6,5,21,0.7,28,12,17,5,1,11,8
136,75,4.0,2.0,4,24,4,7,6,25,0.7,13,14,11,3,7,10,6
137,80,4.0,2.0,4,21,7,6,7,24,0.4,18,8,18,4,1,15,2
138,67,4.0,2.0,4,23,3,9,6,20,0.7,18,13,13,7,9,14,8
139,62,4.0,2.0,5,18,4,5,6,19,0.3,17,12,16,8,1,13,10
140,67,4.0,2.0,4,24,4,8,7,21,0.5,24,13,14,6,7,16,8
141,62,7.0,3.5,4,18,6,1,7,19,0.6,28,12,15,8,5,27,11
142,76,6.0,3.0,5,22,7,2,6,23,0.3,23,13,21,6,2,17,11
143,79,4.0,2.0,3,19,6,1,7,22,0.3,13,9,18,2,5,11,6
144,70,4.0,2.0,3,24,7,6,9,22,0.5,17,12,22,5,2,10,3
145,77,5.0,2.5,4,20,6,8,7,23,0.4,29,10,10,7,6,19,9
146,77,5.0,2.5,6,20,5,2,5,19,0.5,22,12,9,7,8,16,11
147,78,4.0,2.0,4,15,3,3,8,20,0.5,27,4,12,4,4,27,4
148,79,4.0,2.0,4,15,3,5,9,22,0.4,12,9,13,8,8,11,5
149,78,4.0,2.0,4,18,7,2,8,21,0.7,15,4,10,3,3,14,3
150,62,4.0,2.0,5,21,6,6,6,24,0.6,25,6,15,3,8,21,5
151,79,4.0,2.0,6,21,6,6,5,19,0.7,18,10,13,5,9,12,10
152,74,4.0,2.0,5,20,6,7,6,23,0.7,13,10,18,4,6,12,7
153,71,4.0,2.0,3,19,4,1,11,17,0.4,20,14,13,6,8,10,5
154,70,4.0,2.0,5,22,6,7,5,25,0.5,27,9,11,2,1,26,5
155,78,4.0,2.0,4,19,6,2,6,19,0.5,24,11,12,5,7,10,10
156,66,4.0,2.0,4,16,3,8,8,23,0.3,25,10,7,8,4,17,5
157,71,4.0,2.0,3,23,6,1,7,23,0.5,26,5,10,4,6,20,4
158,76,4.0,2.0,3,17,7,2,8,17,0.5,24,15,16,7,2,12,7
159,77,5.0,2.5,3,24,5,8,7,19,0.4,17,15,18,7,7,14,9
160,79,4.0,2.0,4,17,4,2,7,24,0.6,13,4,15,8,8,11,2
161,61,4.0,2.0,4,22,5,4,8,23,0.6,13,10,20,4,6,10,7
162,64,4.0,2.0,5,17,4,9,7,24,0.5,15,15,11,2,8,10,7
163,73,5.0,2.5,6,22,3,1,6,17,0.4,21,13,13,6,2,17,11
164,77,4.0,2.0,4,20,4,6,8,20,0.5,17,5,18,3,6,10,2
165,79,4.0,2.0,6,19,5,3,6,21,0.4,18,13,12,5,5,18,7
166,71,4.0,2.0,6,21,3,8,5,21,0.6,13,5,12,4,3,11,5
167,63,4.0,2.0,5,23,7,8,6,25,0.4,14,10,12,3,3,10,4
168,64,4.0,2.0,5,17,6,5,7,19,0.7,17,10,9,7,4,13,4
169,68,4.0,2.0,4,20,3,8,7,22,0.6,12,6,15,7,1,12,5
170,72,4.0,2.0,4,22,6,1,5,22,0.6,16,13,20,7,3,13,4
171,65,4.0,2.0,5,23,6,8,6,22,0.6,23,6,22,5,4,21,6
172,66,5.0,2.5,3,20,3,6,9,21,0.6,14,14,13,4,4,14,12
173,60,4.0,2.0,5,24,3,8,6,19,0.4,21,10,24,4,7,20,5
174,64,5.0,2.5,6,20,2,5,6,19,0.3,15,11,14,6,8,14,11
175,71,4.0,2.0,3,19,6,4,9,25,0.5,26,7,12,6,2,17,2
176,60,4.0,2.0,4,22,7,3,5,19,0.5,11,7,21,3,1,10,5
177,79,4.0,2.0,4,16,6,5,7,19,0.5,22,7,15,5,0,16,3
178,62,5.0,2.5,6,21,5,5,5,19,0.6,12,13,15,5,3,11,12
179,73,4.0,2.0,4,23,2,1,6,19,0.7,19,12,22,6,5,12,7
180,65,4.0,2.0,3,13,2,6,10,16,0.4,18,16,9,4,8,15,5
181,69,4.0,2.0,4,23,5,6,6,21,0.3,21,11,19,5,3,20,5
182,62,4.0,2.0,5,17,3,4,7,22,0.4,10,10,11,5,1,10,5
183,64,4.0,2.0,3,23,8,2,5,17,0.5,18,16,11,8,8,10,8
184,74,6.0,3.0,4,20,6,7,7,23,0.5,24,13,9,5,6,23,9
185,61,4.0,2.0,5,21,8,3,7,20,0.4,20,10,10,4,6,14,5
186,72,4.0,2.0,3,21,5,5,5,18,0.4,24,8,10,4,1,22,5
187,67,4.0,2.0,5,24,2,5,6,19,0.7,27,5,11,3,0,23,3
188,79,4.0,2.0,5,23,3,3,7,25,0.4,22,5,13,6,2,16,4
189,78,4.0,2.0,3,10,3,1,11,23,0.4,27,11,9,2,0,13,5
190,67,4.0,2.0,5,24,3,8,6,23,0.4,19,13,23,4,7,18,4
191,70,4.0,2.0,6,22,5,0,6,22,0.5,21,6,18,2,4,19,6
192,69,4.0,2.0,5,20,3,3,6,25,0.6,15,10,19,7,6,13,2
193,73,4.0,2.0,4,21,4,6,6,17,0.7,21,13,19,5,2,11,4
194,65,4.0,2.0,4,16,3,8,8,24,0.6,27,6,10,6,2,15,5
195,78,4.0,2.0,4,17,3,8,6,21,0.5,10,11,15,6,3,10,5
196,69,4.0,2.0,6,22,7,4,5,21,0.5,20,8,12,3,4,20,5
197,76,4.0,2.0,4,19,7,3,8,25,0.3,15,11,14,7,1,14,5
198,69,4.0,2.0,4,19,7,3,8,18,0.5,17,15,11,6,4,10,10
199,69,4.0,2.0,4,19,6,1,8,19,0.7,29,3,13,8,1,26,2
200,73,4.0,2.0,5,21,4,4,7,22,0.4,15,11,14,8,6,10,8
201,80,5.0,2.5,3,13,2,5,8,22,0.5,28,11,13,4,6,17,9
202,61,4.0,2.0,5,23,3,8,6,22,0.6,13,11,20,4,6,11,8
203,76,4.0,2.0,5,18,7,5,6,19,0.4,10,6,15,5,5,10,3
204,80,4.0,2.0,4,22,4,3,6,20,0.6,17,13,12,4,7,14,3
205,60,4.0,2.0,5,20,3,9,6,25,0.3,14,17,14,4,4,10,8
206,62,4.0,2.0,5,21,5,3,6,23,0.6,23,12,12,8,6,18,6
207,63,5.0,2.5,4,16,3,5,8,25,0.4,17,10,11,5,8,15,9
208,64,4.0,2.0,3,15,6,4,11,21,0.4,12,7,10,4,9,10,4
209,72,4.0,2.0,5,23,6,6,5,19,0.3,11,12,10,6,5,11,3
210,79,4.0,2.0,4,20,7,8,6,18,0.6,17,5,11,5,8,13,4
211,78,4.0,2.0,4,23,7,4,7,18,0.5,13,6,21,8,7,11,3
