config_id,m_hub_kg,m_blades_kg,m_outer_ring_kg,m_total_kg
0,0.00063333,0.00754092,0.0025624,0.01073665
1,0.00063333,0.00334964,0.00091787,0.00490084
2,0.00063333,0.01234819,0.01223831,0.02521983
3,0.00063333,0.00366442,0.00227174,0.00656949
4,0.00063333,0.01026763,0.00461231,0.01551327
5,0.00063333,0.00853908,0.0021417,0.01131411
6,0.00063333,0.0078931,0.00516304,0.01368947
7,0.00063333,0.00435031,0.00502536,0.010009
8,0.00063333,0.0098868,0.00298309,0.01350322
9,0.00063333,0.01002789,0.00147242,0.01213364
10,0.00063333,0.00501402,0.00391626,0.00956361
11,0.00063333,0.00856195,0.00357971,0.01277499
12,0.00063333,0.00294066,0.00626448,0.00983847
13,0.00063333,0.00526725,0.00143418,0.00733476
14,0.00063333,0.00900328,0.00271537,0.01235198
15,0.00063333,0.01560706,0.00419927,0.02043966
16,0.00063333,0.00167252,0.00151067,0.00381652
17,0.00063333,0.01876246,0.0086739,0.02806969
18,0.00063333,0.00746226,0.00640217,0.01449776
19,0.00063333,0.00398997,0.00241707,0.00704037
20,0.00063333,0.00692515,0.00131944,0.00887792
21,0.00063333,0.01681659,0.00367149,0.02112141
22,0.00063333,0.00915934,0.00791666,0.01770933
23,0.00063333,0.01379829,0.00502536,0.01945698
24,0.00063333,0.01608049,0.00283011,0.01954393
25,0.00063333,0.00945596,0.00353381,0.0136231
26,0.00063333,0.01467315,0.00118559,0.01649207
27,0.00063333,0.01447484,0.00116264,0.01627081
28,0.00063333,0.00434662,0.00458937,0.00956932
29,0.00063333,0.02068566,0.00235587,0.02367486
30,0.00063333,0.01935554,0.00406924,0.02405811
31,0.00063333,0.0223827,0.00283011,0.02584614
32,0.00063333,0.01160459,0.0057826,0.01802052
33,0.00063333,0.00703044,0.00286835,0.01053212
34,0.00063333,0.00588124,0.00856682,0.01508139
35,0.00063333,0.00394056,0.00238647,0.00696036
36,0.00063333,0.00387901,0.00893397,0.01344631
37,0.00063333,0.00191856,0.00252415,0.00507604
38,0.00063333,0.00427893,0.0014533,0.00636556
39,0.00063333,0.00344738,0.00447463,0.00855534
40,0.00063333,0.02291063,0.0063448,0.02988876
41,0.00063333,0.00794696,0.00671195,0.01529224
42,0.00063333,0.01124549,0.00385507,0.01573389
43,0.00063333,0.00186548,0.00440579,0.0069046
44,0.00063333,0.00299658,0.00650543,0.01013534
45,0.00063333,0.00983815,0.00293719,0.01340867
46,0.00063333,0.01092518,0.00688405,0.01844256
47,0.00063333,0.00765814,0.00316666,0.01145813
48,0.00063333,0.01015116,0.00302133,0.01380582
49,0.00063333,0.00498522,0.0054384,0.01105695
50,0.00063333,0.01492878,0.01005071,0.02561282
51,0.00063333,0.00896534,0.00458937,0.01418804
52,0.00063333,0.00755009,0.00419927,0.01238269
53,0.00063333,0.0076119,0.00149154,0.00973677
54,0.00063333,0.00607341,0.00481883,0.01152557
55,0.00063333,0.00758828,0.00223349,0.0104551
56,0.00063333,0.00599965,0.00226409,0.00889707
57,0.00063333,0.01875418,0.0081576,0.02754511
58,0.00063333,0.01274414,0.00137681,0.01475428
59,0.00063333,0.00663698,0.01046375,0.01773406
60,0.00063333,0.00610724,0.00160628,0.00834685
61,0.00063333,0.00221861,0.00302133,0.00587327
62,0.00063333,0.0090549,0.00633333,0.01602156
63,0.00063333,0.01156933,0.00671195,0.01891461
64,0.00063333,0.00554503,0.00391626,0.01009462
65,0.00063333,0.00309696,0.00650543,0.01023572
66,0.00063333,0.00509444,0.00263889,0.00836666
67,0.00063333,0.00871681,0.00538103,0.01473117
68,0.00063333,0.0039452,0.00712499,0.01170352
69,0.00063333,0.01257493,0.00733151,0.02053977
70,0.00063333,0.00748053,0.00543075,0.01354461
71,0.00063333,0.00309342,0.00550724,0.00923399
72,0.00063333,0.00495401,0.00279186,0.0083792
73,0.00063333,0.00302799,0.00248591,0.00614723
74,0.00063333,0.01013088,0.00126208,0.01202629
75,0.00063333,0.00563407,0.00743477,0.01370217
76,0.00063333,0.01821293,0.00200785,0.02085411
77,0.00063333,0.0167311,0.00602354,0.02338797
78,0.00063333,0.01638548,0.01162639,0.0286452
79,0.00063333,0.00796641,0.00241707,0.01101681
80,0.00063333,0.01666063,0.00774456,0.02503852
81,0.00063333,0.0022284,0.00163305,0.00449478
82,0.00063333,0.0134658,0.00502536,0.01912449
83,0.00063333,0.0048278,0.00267713,0.00813826
84,0.00063333,0.01167302,0.00116264,0.01346899
85,0.00063333,0.0202592,0.00417632,0.02506885
86,0.00063333,0.00577158,0.00158333,0.00798824
87,0.00063333,0.00729491,0.00114734,0.00907558
88,0.00063333,0.0032583,0.00171336,0.00560499
89,0.00063333,0.01498579,0.00417632,0.01979544
90,0.00063333,0.00720679,0.00559903,0.01343915
91,0.00063333,0.01429592,0.00251268,0.01744193
92,0.00063333,0.00896716,0.00283011,0.0124306
93,0.00063333,0.00717274,0.00107085,0.00887692
94,0.00063333,0.00705423,0.00853622,0.01622378
95,0.00063333,0.00489672,0.00348027,0.00901032
96,0.00063333,0.01495914,0.0014533,0.01704577
97,0.00063333,0.01156942,0.00461231,0.01681506
98,0.00063333,0.00262254,0.00183575,0.00509162
99,0.00063333,0.0109934,0.00963767,0.0212644
100,0.00063333,0.01234281,0.00286835,0.01584449
101,0.00063333,0.00353664,0.00344202,0.00761199
102,0.00063333,0.00239266,0.00477294,0.00779893
103,0.00063333,0.01022174,0.0021417,0.01299677
104,0.00063333,0.0037069,0.00446698,0.00880721
105,0.00063333,0.01175426,0.01018839,0.02257598
106,0.00063333,0.01574015,0.00284541,0.01921889
107,0.00063333,0.00450079,0.0036409,0.00877502
108,0.00063333,0.00731346,0.01032607,0.01827286
109,0.00063333,0.00349959,0.00201932,0.00615224
110,0.00063333,0.0047333,0.00633333,0.01169996
111,0.00063333,0.00258506,0.01009661,0.013315
112,0.00063333,0.00353846,0.00559903,0.00977082
113,0.00063333,0.00508384,0.00489532,0.01061249
114,0.00063333,0.00475462,0.00734299,0.01273094
115,0.00063333,0.00331448,0.01193235,0.01588016
116,0.00063333,0.0036056,0.00681521,0.01105414
117,0.00063333,0.00310137,0.00321256,0.00694726
118,0.00063333,0.01347908,0.00422222,0.01833463
119,0.00063333,0.0071046,0.00588969,0.01362762
120,0.00063333,0.01584078,0.00734299,0.0238171
121,0.00063333,0.01098549,0.00758775,0.01920657
122,0.00063333,0.00947811,0.00241707,0.01252851
123,0.00063333,0.00903149,0.00764129,0.01730611
124,0.00063333,0.00290825,0.00489532,0.0084369
125,0.00063333,0.0026951,0.00722825,0.01055668
126,0.00063333,0.00618705,0.00373268,0.01055306
127,0.00063333,0.00730687,0.00165217,0.00959237
128,0.00063333,0.00662179,0.00167512,0.00893024
129,0.00063333,0.00407903,0.00610386,0.01081622
130,0.00063333,0.0053191,0.00573671,0.01168914
131,0.00063333,0.00423249,0.0029066,0.00777242
132,0.00063333,0.01562797,0.00774456,0.02400586
133,0.00063333,0.00496787,0.00536956,0.01097076
134,0.00063333,0.00537459,0.00385507,0.00986299
135,0.00063333,0.00598987,0.00144565,0.00806885
136,0.00063333,0.01665316,0.01032607,0.02761256
137,0.00063333,0.00439518,0.01223831,0.01726682
