config_id,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg
0,True,0.0,4000.0,0.0,0.2571,0.002605,1.091,0.03779,0.005715,0.64283,1.18222,0.2055,0.01213
1,True,0.0,4000.0,0.0,0.1757,0.001943,0.8138,0.04015,0.0074,0.54366,1.0573,0.364,0.03233
2,True,0.0,4000.0,0.0,0.8104,0.01131,4.737,0.0586,0.01022,0.6939,1.24432,0.4695,0.01854
3,True,0.0,4000.0,0.0,0.3085,0.003444,1.443,0.04816,0.008145,0.64851,1.18967,0.2686,0.01678
4,True,0.0,4000.0,0.0,0.1543,0.001087,0.4553,0.02268,0.002385,0.71617,1.27053,0.2045,0.006952
5,True,0.0,4000.0,0.0,0.5877,0.006729,2.819,0.0725,0.01186,0.82297,1.39406,0.6392,0.007631
6,True,0.0,4000.0,0.0,0.09164,0.002433,1.019,0.008578,0.003037,0.13084,0.40903,0.0664,0.02727
7,True,0.0,4000.0,0.0,0.07469,0.001507,0.6313,0.00779,0.002153,0.15965,0.46721,0.0622,0.01836
8,True,0.0,4000.0,0.0,0.8664,0.01598,6.695,0.06932,0.0164,0.55664,1.0739,0.5146,0.04493
9,True,0.0,4000.0,0.0,0.0414,0.002662,1.115,0.003488,0.002913,0.03537,0.17101,0.0257,0.02602
10,True,0.0,4000.0,0.0,0.2019,0.00445,1.864,0.03564,0.01227,0.27411,0.66995,0.1503,0.04498
11,True,0.0,4000.0,0.0,0.2295,0.004554,1.908,0.01836,0.004672,0.26628,0.65696,0.0925,0.02176
12,True,0.0,4000.0,0.0,-0.03479,0.00378,1.583,-0.002784,0.003878,,,-0.0338,0.06035
13,True,0.0,4000.0,0.0,0.3535,0.006644,2.783,0.03309,0.008292,0.36295,0.80771,0.2593,0.04854
14,False,,,,,,,,,,,,
15,True,0.0,4000.0,0.0,0.01088,0.001538,0.644,0.002328,0.005392,0.01041,0.07571,0.027,0.07932
16,True,0.0,4000.0,0.0,0.08088,0.002382,0.9978,0.00615,0.002293,0.10518,0.35368,0.0575,0.02493
17,True,0.0,4000.0,0.0,0.408,0.004689,1.964,0.07672,0.01399,0.75919,1.32139,0.4499,0.009113
18,True,0.0,4000.0,0.0,0.0471,0.000828,0.3468,0.009442,0.002676,0.17136,0.48986,0.0837,0.02843
19,True,0.0,4000.0,0.0,0.6407,0.006697,2.805,0.04872,0.006446,0.83419,1.40663,0.6064,0.00665
20,True,0.0,4000.0,0.0,0.1483,0.001072,0.4492,0.01938,0.002031,0.66415,1.20841,0.1179,0.005237
21,True,0.0,4000.0,0.0,0.04056,0.006644,2.783,0.002933,0.006005,0.01322,0.08878,0.0173,0.04425
22,True,0.0,4000.0,0.0,0.04896,0.001724,0.7222,0.006397,0.003265,0.07836,0.29066,0.1058,0.06616
23,True,0.0,4000.0,0.0,0.4346,0.005361,2.246,0.04533,0.007659,0.62986,1.16664,0.3031,0.01663
24,True,0.0,4000.0,0.0,-0.3208,0.005405,2.264,-0.03168,0.007215,,,-0.274,0.07325
25,True,0.0,4000.0,0.0,0.1076,0.001329,0.5565,0.01679,0.003142,0.34638,0.78267,0.1095,0.01384
26,True,0.0,4000.0,0.0,0.1603,0.001735,0.7269,0.03214,0.00561,0.51331,1.01798,0.2013,0.01659
27,True,0.0,4000.0,0.0,0.08661,0.002758,1.155,0.007689,0.003221,0.10466,0.35254,0.0519,0.02499
28,True,0.0,4000.0,0.0,0.05382,0.001974,0.8269,0.0123,0.007519,0.09071,0.32048,0.1067,0.07528
29,True,0.0,4000.0,0.0,0.8609,0.01114,4.665,0.07254,0.01219,0.80155,1.36954,0.4636,0.00756
30,True,0.0,4000.0,0.0,-0.145,0.007979,3.342,-0.01287,0.009321,,,-0.1202,0.1087
31,True,0.0,4000.0,0.0,0.5722,0.01049,4.395,0.05651,0.014,0.4797,0.97284,0.2906,0.03623
32,False,,,,,,,,,,,,
33,True,0.0,4000.0,0.0,0.02992,0.000439,0.1839,0.002801,0.000548,0.13525,0.41827,0.0373,0.007598
34,True,0.0,4000.0,0.0,0.1621,0.002313,0.9691,0.02,0.004077,0.34678,0.78368,0.2894,0.05232
35,True,0.0,4000.0,0.0,0.1625,0.004146,1.737,0.013,0.004254,0.17427,0.49516,0.058,0.01953
36,True,0.0,4000.0,0.0,0.01717,0.001915,0.802,0.001791,0.002736,0.01385,0.09156,0.0226,0.04498
