config_id,radius,ring height,ring thickness,blade count,inner thickness,inner max pos,inner camber,inner chord,inner angle,mid radial pos,mid chord,mid angle,outer thickness,outer max pos,outer camber,outer chord,outer angle
62,69,4.0,2.0,4,21,7,3,5,20,0.6,15,12,14,5,1,10,8
101,75,4.0,2.0,4,20,3,4,6,24,0.6,14,10,16,3,1,10,3
219,77,5.0,2.5,5,18,4,8,7,23,0.6,19,9,11,4,9,15,9
250,68,4.0,2.0,5,22,5,5,5,23,0.5,24,12,14,2,4,14,5
349,77,5.0,2.5,5,24,6,2,5,22,0.6,25,10,19,4,8,21,7
418,74,4.0,2.0,3,22,6,2,7,21,0.5,25,11,9,7,7,13,4
533,67,5.0,2.5,6,23,3,4,6,21,0.4,15,14,16,5,7,12,11
617,76,4.0,2.0,3,17,6,3,7,21,0.5,25,6,15,3,2,14,2
629,74,5.0,2.5,3,19,4,5,8,21,0.5,16,12,18,7,4,15,11
679,76,4.0,2.0,5,18,5,6,7,20,0.6,17,10,10,6,9,15,6
689,74,4.0,2.0,3,20,6,1,9,24,0.6,13,9,12,6,4,12,5
751,74,6.0,3.0,5,19,7,4,7,18,0.4,26,12,16,4,9,20,11
835,69,4.0,2.0,3,15,5,2,10,22,0.6,22,8,11,5,5,11,7
879,63,4.0,2.0,5,18,7,6,6,22,0.5,25,15,10,6,6,19,4
1041,73,4.0,2.0,4,18,4,2,7,20,0.5,14,7,17,7,6,10,3
1102,65,4.0,2.0,3,20,7,0,6,22,0.4,28,12,10,4,3,23,4
1127,62,6.0,3.0,6,17,8,4,6,21,0.6,26,13,12,5,6,19,11
1143,64,4.0,2.0,4,19,7,5,7,19,0.5,19,7,10,5,6,11,6
1182,66,4.0,2.0,5,22,3,8,5,22,0.6,13,8,10,6,3,13,6
1268,68,4.0,2.0,5,22,7,6,6,19,0.3,16,9,18,4,1,11,4
1275,77,4.0,2.0,5,21,2,2,6,20,0.5,17,11,17,5,4,15,5
1290,65,4.0,2.0,6,21,6,5,5,21,0.5,17,14,15,5,1,15,8
1331,74,4.0,2.0,5,18,6,3,6,19,0.6,30,11,12,5,7,21,4
1337,66,4.0,2.0,3,22,6,6,6,24,0.6,18,10,21,3,7,12,9
1370,65,4.0,2.0,5,22,7,6,7,19,0.5,20,11,18,4,1,13,3
1427,66,4.0,2.0,4,23,3,7,7,19,0.6,21,10,18,5,5,14,7
1476,62,5.0,2.5,5,18,4,6,6,22,0.5,28,10,15,4,2,24,7
1481,76,4.0,2.0,5,22,6,2,5,25,0.5,13,12,19,8,9,12,7
1550,70,5.0,2.5,4,22,5,5,8,22,0.4,15,14,20,6,8,14,10
1584,73,4.0,2.0,3,20,6,2,7,20,0.5,30,9,18,2,8,14,5
1608,65,4.0,2.0,5,21,4,7,6,21,0.6,29,12,17,7,5,13,5
1617,62,4.0,2.0,4,14,3,5,8,22,0.4,15,16,14,5,4,14,7
1678,77,4.0,2.0,3,16,5,5,9,19,0.6,20,11,10,5,1,14,10
1824,70,4.0,2.0,4,20,5,5,6,23,0.5,25,7,9,4,4,19,3
1852,65,4.0,2.0,4,20,5,4,9,21,0.5,30,10,12,7,5,21,6
1894,77,4.0,2.0,5,21,5,4,6,23,0.4,24,11,10,7,1,15,5
2058,67,4.0,2.0,5,22,5,7,6,19,0.6,10,11,14,5,6,10,8
2145,66,4.0,2.0,5,19,4,1,6,20,0.6,29,7,15,6,5,12,6
2160,70,4.0,2.0,5,19,7,5,7,22,0.4,17,10,12,4,7,17,7
2176,69,4.0,2.0,5,18,6,6,7,25,0.5,12,14,14,5,6,11,11
2234,62,4.0,2.0,4,18,5,4,8,20,0.5,12,11,16,8,4,11,5
2273,68,7.0,3.5,4,23,2,8,7,21,0.5,24,12,18,4,1,21,12
2411,73,4.0,2.0,3,16,6,4,10,21,0.5,20,7,15,6,4,17,6
2421,76,4.0,2.0,4,19,5,7,6,21,0.6,17,14,12,8,8,12,8
2427,66,5.0,2.5,5,19,4,4,6,24,0.5,14,16,17,3,2,14,12
2438,70,4.0,2.0,4,21,7,4,6,22,0.6,19,12,13,4,6,11,5
2441,64,4.0,2.0,5,20,7,1,5,20,0.4,15,8,16,4,9,12,7
2507,68,4.0,2.0,4,24,4,2,8,22,0.5,17,11,19,4,2,13,7
2636,66,6.0,3.0,4,22,5,4,7,21,0.5,26,13,10,4,6,25,10
2681,63,4.0,2.0,5,22,4,6,6,20,0.6,26,9,20,5,7,24,4
2684,63,5.0,2.5,5,19,6,1,6,20,0.5,17,15,14,7,3,14,11
2745,73,4.0,2.0,4,21,5,9,8,20,0.7,25,8,12,7,4,20,3
2759,65,4.0,2.0,6,24,4,3,5,21,0.3,15,13,14,4,6,12,5
2798,65,4.0,2.0,5,19,5,6,7,20,0.5,17,6,14,3,8,11,4
2831,78,4.0,2.0,5,20,5,5,6,21,0.7,13,10,12,5,3,12,4
2873,67,4.0,2.0,6,22,5,8,6,19,0.6,25,11,19,4,1,18,3
2921,64,4.0,2.0,5,22,5,2,5,21,0.4,23,14,22,6,8,18,4
3007,63,4.0,2.0,5,22,5,3,5,22,0.4,14,13,11,4,4,13,5
3010,74,5.0,2.5,5,18,6,2,6,17,0.6,29,14,13,5,1,21,9
3070,67,4.0,2.0,6,22,3,7,5,25,0.4,20,11,19,8,8,15,6
3154,74,5.0,2.5,5,21,4,7,7,19,0.4,26,10,14,5,8,17,8
3237,67,4.0,2.0,5,21,5,3,6,25,0.3,13,15,17,3,2,12,6
3280,73,5.0,2.5,4,17,4,4,7,23,0.5,19,14,10,7,6,14,13
3447,76,4.0,2.0,5,24,6,4,5,21,0.5,15,9,23,7,7,13,7
3548,67,4.0,2.0,5,20,8,5,7,19,0.4,14,15,17,6,6,10,9
3549,68,4.0,2.0,4,22,7,6,8,18,0.6,12,12,16,4,7,11,8
3572,66,6.0,3.0,4,19,6,6,8,22,0.5,25,11,17,5,8,24,9
3582,67,6.0,3.0,4,19,4,8,6,23,0.3,21,13,14,3,6,19,11
3654,66,4.0,2.0,5,21,5,5,7,21,0.5,20,16,18,3,9,15,6
3719,75,4.0,2.0,3,23,4,8,8,23,0.5,22,7,13,5,7,17,6
3730,69,4.0,2.0,5,21,5,7,7,23,0.5,22,6,12,5,2,18,4
3748,74,4.0,2.0,5,19,5,9,6,20,0.5,14,6,13,4,6,12,3
3860,73,4.0,2.0,5,20,5,4,6,24,0.5,21,7,20,5,9,16,7
3862,76,4.0,2.0,5,24,5,3,5,22,0.4,28,9,15,6,3,16,2
3866,67,5.0,2.5,5,18,4,3,6,19,0.3,18,12,15,3,8,14,11
3902,75,4.0,2.0,5,21,7,4,6,21,0.6,21,12,18,6,7,20,3
3939,62,5.0,2.5,4,17,5,6,7,22,0.4,21,12,8,2,5,20,8
3950,66,4.0,2.0,6,23,4,2,5,22,0.6,11,7,21,5,2,11,4
3959,61,4.0,2.0,4,21,3,5,5,20,0.6,15,8,12,4,2,11,5
3995,66,8.0,4.0,3,14,7,3,8,21,0.4,27,15,10,3,1,26,13
4084,66,4.0,2.0,4,16,7,1,8,17,0.4,21,14,15,6,4,15,9
4121,69,4.0,2.0,5,21,6,3,6,20,0.5,18,8,11,8,5,15,3
4136,69,7.0,3.5,5,22,3,5,6,21,0.4,29,15,6,7,1,23,13
4156,66,4.0,2.0,4,16,3,7,8,21,0.4,15,16,10,5,1,12,9
4190,70,4.0,2.0,5,20,3,0,6,23,0.6,20,11,12,4,5,15,4
4206,75,6.0,3.0,5,22,6,5,5,20,0.6,26,13,7,2,3,24,10
4364,65,4.0,2.0,4,21,7,4,6,21,0.5,22,7,12,4,6,13,4
4365,62,4.0,2.0,4,17,7,7,7,20,0.5,19,15,13,5,2,17,4
4467,62,4.0,2.0,5,23,4,5,5,21,0.5,13,8,13,4,2,13,3
4500,63,4.0,2.0,5,18,3,4,6,22,0.4,14,9,13,5,4,14,4
4555,76,4.0,2.0,4,16,7,4,7,24,0.6,11,10,15,4,8,10,9
4563,70,4.0,2.0,5,22,5,4,6,18,0.4,25,9,21,3,6,13,7
4580,75,4.0,2.0,5,20,6,7,6,25,0.6,25,14,7,3,2,19,5
4596,79,4.0,2.0,5,18,5,8,7,21,0.5,22,7,16,6,8,18,5
4722,76,4.0,2.0,5,20,5,7,6,24,0.5,11,7,19,3,7,10,6
4762,68,4.0,2.0,3,13,7,2,10,22,0.6,21,5,13,5,1,14,4
4845,76,4.0,2.0,5,17,2,3,6,25,0.6,25,9,16,6,9,14,2
4903,78,4.0,2.0,6,20,3,2,5,25,0.4,25,8,17,6,8,13,2
4942,64,5.0,2.5,5,19,6,3,6,20,0.4,26,17,15,2,6,25,6
4977,76,4.0,2.0,5,21,6,3,6,19,0.6,18,11,20,2,7,12,5
