config_id,radius,ring height,ring thickness,blade count,inner thickness,inner max pos,inner camber,inner chord,inner angle,mid radial pos,mid chord,mid angle,outer thickness,outer max pos,outer camber,outer chord,outer angle,m_hub_kg,m_blades_kg,m_outer_ring_kg,m_total_kg,naca_hub,naca_inner,naca_mid,naca_outer,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s,inner_solidity,mid_radius_mm,mid_solidity,mid_thickness,inner_abs_thickness_mm,mid_abs_thickness_mm,outer_abs_thickness_mm,min_blade_abs_thickness_mm,max_section_solidity
62,69,4.0,2.0,4,21,7,3,5,20,0.6,15,12,14,5,1,10,8,0.000633,0.003509,0.002111,0.006253,3721,3721,2617,1514,True,0.0,4000.0,0.0,0.2711,0.002152,0.9013,0.03543,0.004075,0.81812,1.38874,0.4562,0.007728,True,True,4000.0,0.006253,1.6e-05,0.001081,0.2711,0.901428,0.002152,4.419298,33.3222,10.889518,3.508643,11.844071,-7.725205,906.185867,,0.38583,41.4,0.230659,16.8,1.05,2.52,1.4,1.05,0.38583
101,75,4.0,2.0,4,20,3,4,6,24,0.6,14,10,16,3,1,10,3,0.000633,0.00366,0.002295,0.006588,4320,4320,2318,1316,True,0.0,4000.0,0.0,0.1895,0.001271,0.5322,0.01774,0.001586,0.74494,1.30442,0.2569,0.006639,True,True,4000.0,0.006588,2.1e-05,0.001156,0.1895,0.532395,0.001271,2.932033,36.268016,13.606143,4.838245,9.40859,-7.145428,1332.799308,,0.462996,45.0,0.198059,17.6,1.2,2.464,1.6,1.2,0.462996
219,77,5.0,2.5,5,18,4,8,7,23,0.6,19,9,11,4,9,15,9,0.000633,0.006835,0.003681,0.01115,8418,8418,9414,9411,True,0.0,4000.0,0.0,0.9279,0.0127,5.318,0.07818,0.01389,0.78678,1.35299,0.7173,0.007327,True,True,4000.0,0.01115,3.7e-05,0.001423,0.9279,5.319764,0.0127,8.483358,35.023739,8.759979,2.32527,17.460606,-9.570099,488.615737,,0.675203,46.2,0.327267,13.8,1.26,2.622,1.65,1.26,0.675203
250,68,4.0,2.0,5,22,5,5,5,23,0.5,24,12,14,2,4,14,5,0.000633,0.011171,0.002081,0.013885,5522,5522,5418,4214,True,0.0,4000.0,0.0,0.2848,0.002374,0.9946,0.03946,0.004837,0.81002,1.37966,0.2657,0.005271,True,True,4000.0,0.013885,2.9e-05,0.001068,0.2848,0.994419,0.002374,2.090874,19.144681,7.644992,2.297326,6.855238,-9.799586,1610.497399,,0.482288,34.0,0.561723,18.0,1.1,4.32,1.96,1.1,0.561723
349,77,5.0,2.5,5,24,6,2,5,22,0.6,25,10,19,4,8,21,7,0.000633,0.01722,0.003681,0.021534,2624,2624,6521,8419,True,0.0,4000.0,0.0,0.9809,0.01435,6.013,0.08264,0.01571,0.75631,1.31747,0.5546,0.01064,True,True,4000.0,0.021534,6e-05,0.001423,0.9809,6.010914,0.01435,4.643309,32.760563,7.907917,2.006684,13.758797,-12.708773,724.436048,,0.482288,46.2,0.430614,21.0,1.2,5.25,3.99,1.2,0.482288
418,74,4.0,2.0,3,22,6,2,7,21,0.5,25,11,9,7,7,13,4,0.000633,0.006671,0.002264,0.009568,2621,2622,4616,7709,True,0.0,4000.0,0.0,0.2743,0.003263,1.367,0.02709,0.004355,0.51189,1.01582,0.3205,0.03028,True,True,4000.0,0.009568,2.6e-05,0.001144,0.2743,1.366802,0.003263,2.922342,21.963976,7.850431,2.372167,8.723968,-8.865286,1196.664915,,0.405122,37.0,0.322611,15.5,1.54,3.875,1.17,1.17,0.405122
533,67,5.0,2.5,6,23,3,4,6,21,0.4,15,14,16,5,7,12,11,0.000633,0.007189,0.003203,0.011026,4323,4323,5421,7516,True,0.0,4000.0,0.0,0.1044,0.003363,1.409,0.01534,0.007378,0.1288,0.40476,0.1335,0.07085,True,False,4000.0,0.011026,2.7e-05,0.001266,0.1044,1.40869,0.003363,0.965226,0.0,0.0,0.0,0.0,0.0,4000.0,,0.694494,26.8,0.534476,20.2,1.38,3.03,1.92,1.38,0.694494
617,76,4.0,2.0,3,17,6,3,7,21,0.5,25,6,15,3,2,14,2,0.000633,0.007427,0.002325,0.010386,3617,3617,3516,2315,True,0.0,4000.0,0.0,0.07863,0.000871,0.3648,0.006981,0.001017,0.28665,0.6903,0.0804,0.01043,True,False,4000.0,0.010386,2.9e-05,0.001169,0.07863,0.364844,0.000871,0.771742,0.0,0.0,0.0,0.0,0.0,4000.0,,0.405122,38.0,0.314122,16.0,1.19,4.0,2.1,1.19,0.405122
629,74,5.0,2.5,3,19,4,5,8,21,0.5,16,12,18,7,4,15,11,0.000633,0.004309,0.003538,0.00848,5419,5419,5519,4718,True,0.0,4000.0,0.0,0.1283,0.002493,1.044,0.01267,0.003328,0.21441,0.5684,0.1972,0.05432,True,True,4000.0,0.00848,2.8e-05,0.001376,0.1283,1.044265,0.002493,1.542242,3.581138,3.795698,1.146947,2.326274,-4.745318,2222.082809,,0.462996,37.0,0.206471,18.5,1.52,2.96,2.7,1.52,0.462996
679,76,4.0,2.0,5,18,5,6,7,20,0.6,17,10,10,6,9,15,6,0.000633,0.005392,0.002325,0.008351,6518,6518,8613,9610,True,0.0,4000.0,0.0,0.5497,0.008815,3.693,0.0488,0.0103,0.5234,1.03085,0.4595,0.04097,True,True,4000.0,0.008351,2.5e-05,0.001169,0.5497,3.692419,0.008815,6.71003,25.153715,7.198042,1.886632,13.720695,-9.046617,568.270479,,0.675203,45.6,0.29667,13.2,1.26,2.244,1.5,1.26,0.675203
