config_id,geometry_ok,stl_path,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error
0,False,stl\prop_0.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_0.step,
1,False,stl\prop_1.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_1.step,
2,False,stl\prop_2.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_2.step,
3,False,stl\prop_3.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_3.step,
4,False,stl\prop_4.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_4.step,
5,False,stl\prop_5.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_5.step,
6,False,stl\prop_6.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_6.step,
7,False,stl\prop_7.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_7.step,
8,False,stl\prop_8.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_8.step,
9,False,stl\prop_9.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_9.step,
10,False,stl\prop_10.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_10.step,
11,False,stl\prop_11.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_11.step,
12,False,stl\prop_12.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_12.step,
13,False,stl\prop_13.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_13.step,
14,False,stl\prop_14.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_14.step,
15,False,stl\prop_15.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_15.step,
16,False,stl\prop_16.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_16.step,
17,False,stl\prop_17.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_17.step,
18,False,stl\prop_18.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_18.step,
19,False,stl\prop_19.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_19.step,
20,False,stl\prop_20.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_20.step,
21,False,stl\prop_21.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_21.step,
22,False,stl\prop_22.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_22.step,
23,False,stl\prop_23.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_23.step,
24,False,stl\prop_24.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_24.step,
25,False,stl\prop_25.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_25.step,
26,False,stl\prop_26.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_26.step,
27,False,stl\prop_27.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_27.step,
28,False,stl\prop_28.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_28.step,
29,False,stl\prop_29.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_29.step,
30,False,stl\prop_30.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_30.step,
31,False,stl\prop_31.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_31.step,
32,False,stl\prop_32.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_32.step,
33,False,stl\prop_33.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_33.step,
