config_id,geometry_ok,stl_ok,stl_path,stl_size_bytes,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error,threedm_ok,threedm_path,all_output_names
6,False,False,stl\prop_6.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_6.step,,False,3dm\prop_6.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
142,False,False,stl\prop_142.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_142.step,,False,3dm\prop_142.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
190,False,False,stl\prop_190.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_190.step,,False,3dm\prop_190.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
501,False,False,stl\prop_501.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_501.step,,False,3dm\prop_501.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
524,False,False,stl\prop_524.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_524.step,,False,3dm\prop_524.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
603,False,False,stl\prop_603.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_603.step,,False,3dm\prop_603.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
606,False,False,stl\prop_606.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_606.step,,False,3dm\prop_606.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
652,False,False,stl\prop_652.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_652.step,,False,3dm\prop_652.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
685,False,False,stl\prop_685.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_685.step,,False,3dm\prop_685.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
742,False,False,stl\prop_742.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_742.step,,False,3dm\prop_742.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
766,False,False,stl\prop_766.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_766.step,,False,3dm\prop_766.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
