config_id,naca_hub,re_hub,tier_hub,naca_mid,re_mid,tier_mid,naca_outer,re_outer,tier_outer,hub_CL0,hub_CL_a,hub_CLmin,hub_CLmax,hub_CD0,hub_CD2u,hub_CD2l,hub_CLCD0,hub_REref,hub_REexp,hub_xfoil_ok,mid_CL0,mid_CL_a,mid_CLmin,mid_CLmax,mid_CD0,mid_CD2u,mid_CD2l,mid_CLCD0,mid_REref,mid_REexp,mid_xfoil_ok,outer_CL0,outer_CL_a,outer_CLmin,outer_CLmax,outer_CD0,outer_CD2u,outer_CD2l,outer_CLCD0,outer_REref,outer_REexp,outer_xfoil_ok
0,4617,10000,viscous,4615,20000,viscous,4712,20000,viscous,-0.1565,3.6289,-0.1378,0.5968,0.059892,0.20856,0.20856,-0.1372,10000,-0.5,True,-0.0847,3.9028,-0.4366,0.769,0.044431,0.218037,0.218037,-0.0699,20000,-0.5,True,0.0653,4.0,-0.4253,0.8684,0.03546,0.25101,0.25101,0.106,20000,-0.5,True
1,6519,10000,inviscid,7516,15000,viscous,8514,25000,viscous,0.8782,7.2016,0.2261,2.5952,0.0088,0.02,0.02,0.8782,10000,-0.5,False,-0.2126,5.6574,-0.4113,0.8315,0.074259,0.178442,0.178442,-0.0303,15000,-0.5,True,-0.1155,6.1848,-0.3958,0.9688,0.075877,0.102049,0.102049,-0.0473,25000,-0.5,True
2,5518,10000,viscous,4516,20000,viscous,2411,40000,viscous,-0.1841,3.7318,-0.1584,0.6099,0.069906,0.187887,0.187887,-0.1701,10000,-0.5,True,-0.1307,3.6629,-0.4537,0.7217,0.048654,0.19921,0.19921,-0.1526,20000,-0.5,True,-0.0769,8.1089,-0.4415,1.0536,0.02371,0.01,0.01,-0.0249,40000,-0.5,True
3,7421,10000,inviscid,5318,10000,viscous,2213,20000,inviscid,0.9491,7.3081,0.2838,2.6876,0.0092,0.02,0.02,0.9491,10000,-0.5,False,-0.2034,3.3186,-0.393,0.569,0.068694,0.146092,0.146092,-0.3505,10000,-0.5,True,0.2262,6.9417,-0.3646,1.9225,0.008,0.02,0.02,0.2262,20000,-0.5,False
4,8418,10000,inviscid,7418,15000,inviscid,3517,30000,viscous,1.0609,7.1373,0.4031,2.7498,0.0086,0.02,0.02,1.0609,10000,-0.5,False,0.9305,7.1495,0.2796,2.6312,0.0086,0.02,0.02,0.9305,15000,-0.5,False,-0.237,4.284,-0.5403,0.6678,0.040446,0.124572,0.124572,-0.346,30000,-0.5,True
5,9220,10000,inviscid,8315,25000,inviscid,8311,30000,viscous,1.0635,7.2693,0.3944,2.7846,0.009,0.02,0.02,1.0635,10000,-0.5,False,0.967,6.9989,0.3262,2.6281,0.008,0.02,0.02,0.967,25000,-0.5,False,-0.1413,6.9095,-0.3534,0.9901,0.07958,0.071112,0.071112,-0.1683,30000,-0.5,True
6,4821,10000,inviscid,4619,20000,viscous,3417,30000,viscous,0.936,7.2888,0.2732,2.6706,0.0092,0.02,0.02,0.936,10000,-0.5,False,-0.2537,3.8167,-0.4467,0.661,0.059204,0.191905,0.191905,-0.2287,20000,-0.5,True,-0.2349,4.0764,-0.5497,0.6688,0.030954,0.085862,0.085862,-0.5766,30000,-0.5,True
7,5316,10000,viscous,5315,10000,viscous,2610,30000,viscous,-0.1436,3.4684,-0.387,0.6251,0.063596,0.159609,0.159609,-0.2628,10000,-0.5,True,-0.0996,3.403,-0.377,0.6526,0.055626,0.136148,0.136148,-0.3069,10000,-0.5,True,-0.0902,7.8347,-0.4413,0.9728,0.0239,0.01,0.01,0.0115,30000,-0.5,True
8,1518,10000,inviscid,1513,25000,viscous,1506,35000,viscous,0.1471,7.2157,-0.4617,1.9163,0.0086,0.02,0.02,0.1471,10000,-0.5,False,-0.1634,5.5163,-0.5184,0.6496,0.010009,0.035135,0.035135,-0.8234,25000,-0.5,True,0.0398,5.9528,-0.4463,0.8186,0.016923,0.149306,0.149306,0.1927,35000,-0.5,True
9,7717,10000,viscous,2315,35000,viscous,0015,35000,viscous,-0.1962,5.1564,-0.111,0.8001,0.07617,0.161286,0.161286,-0.0435,10000,-0.5,True,-0.0044,4.5647,-0.5327,0.4151,0.03681,0.177869,0.177869,-0.0103,35000,-0.5,True,-0.0795,6.7641,-0.5573,0.7116,0.033521,0.019828,0.019828,-0.1894,35000,-0.5,True
10,4820,10000,inviscid,4717,15000,viscous,3513,20000,viscous,0.9321,7.235,0.2741,2.6537,0.009,0.02,0.02,0.9321,10000,-0.5,False,-0.15,3.714,-0.1783,0.7002,0.055295,0.234639,0.234639,-0.0991,15000,-0.5,True,-0.0308,3.382,-0.4389,0.7432,0.037506,0.24027,0.24027,-0.0376,20000,-0.5,True
11,2722,10000,inviscid,2620,15000,inviscid,2415,30000,viscous,0.3886,7.4114,-0.2511,2.1899,0.0094,0.02,0.02,0.3886,10000,-0.5,False,0.3323,7.3086,-0.2954,2.112,0.009,0.02,0.02,0.3323,15000,-0.5,False,-0.1864,5.3318,-0.535,0.3232,0.032966,0.086771,0.086771,-0.3349,30000,-0.5,True
12,0023,10000,inviscid,2419,10000,inviscid,7311,20000,viscous,0.0006,7.4986,-0.6227,1.8493,0.0096,0.02,0.02,0.0006,10000,-0.5,False,0.2701,7.2607,-0.3499,2.0421,0.0088,0.02,0.02,0.2701,10000,-0.5,False,-0.0466,4.955,-0.3712,0.9243,0.07199,0.142414,0.142414,-0.0032,20000,-0.5,True
13,3324,10000,inviscid,3320,10000,inviscid,2212,25000,viscous,0.3887,7.5248,-0.2604,2.218,0.0098,0.02,0.02,0.3887,10000,-0.5,False,0.3789,7.3078,-0.2516,2.1554,0.009,0.02,0.02,0.3789,10000,-0.5,False,0.0168,3.7704,-0.4537,0.7167,0.02922,0.01,0.01,-0.0346,25000,-0.5,True
14,7816,10000,viscous,7715,20000,viscous,8414,30000,inviscid,-0.1962,4.8723,-0.1009,0.8239,0.072095,0.162235,0.162235,-0.036,10000,-0.5,True,-0.1839,6.3836,-0.3739,0.9568,0.062996,0.174415,0.174415,0.0529,20000,-0.5,True,1.0306,6.9289,0.3919,2.6702,0.008,0.02,0.02,1.0306,30000,-0.5,False
15,1323,10000,inviscid,5321,30000,viscous,8319,25000,inviscid,0.1293,7.4898,-0.5011,1.9672,0.0096,0.02,0.02,0.1293,10000,-0.5,False,-0.3111,4.6182,-0.5755,0.6134,0.068995,0.101756,0.101756,-0.5032,30000,-0.5,True,0.9959,7.2068,0.3362,2.7064,0.0088,0.02,0.02,0.9959,25000,-0.5,False
16,8515,10000,viscous,7414,15000,viscous,6314,20000,viscous,-0.3147,7.2076,-0.3701,0.8448,0.079252,0.140942,0.140942,-0.0458,10000,-0.5,True,-0.1062,4.9354,-0.4056,0.8537,0.075409,0.184922,0.184922,0.0129,15000,-0.5,True,-0.0838,3.99,-0.4187,0.8152,0.07038,0.211322,0.211322,-0.0423,20000,-0.5,True
17,5422,10000,inviscid,6420,25000,viscous,8418,35000,inviscid,0.6849,7.3882,0.0291,2.4607,0.0094,0.02,0.02,0.6849,10000,-0.5,False,-0.3199,5.1141,-0.4946,0.6979,0.079112,0.143584,0.143584,-0.2602,25000,-0.5,True,1.0609,7.1373,0.4031,2.7498,0.0086,0.02,0.02,1.0609,35000,-0.5,False
18,0023,10000,inviscid,1623,10000,inviscid,7321,20000,inviscid,0.0006,7.4986,-0.6227,1.8493,0.0096,0.02,0.02,0.0006,10000,-0.5,False,0.1693,7.4861,-0.4633,2.0036,0.0096,0.02,0.02,0.1693,10000,-0.5,False,0.8849,7.322,0.2225,2.631,0.0092,0.02,0.02,0.8849,20000,-0.5,False
19,1715,10000,inviscid,5511,20000,viscous,8409,35000,viscous,0.1881,7.0501,-0.4094,1.9137,0.008,0.02,0.02,0.1881,10000,-0.5,False,0.1082,3.8301,-0.3836,0.8976,0.04097,0.186217,0.186217,0.0734,20000,-0.5,True,-0.093,7.6421,-0.3525,1.4024,0.065352,0.08686,0.08686,0.0427,35000,-0.5,True
20,4422,10000,inviscid,2518,20000,inviscid,1616,25000,viscous,0.5488,7.4006,-0.0997,2.3368,0.0094,0.02,0.02,0.5488,10000,-0.5,False,0.2935,7.2042,-0.3233,2.05,0.0086,0.02,0.02,0.2935,20000,-0.5,False,-0.1866,3.9977,-0.365,0.3273,0.018747,0.058551,0.058551,-0.7,25000,-0.5,True
21,6321,10000,inviscid,4516,30000,viscous,1808,40000,viscous,0.7598,7.3319,0.1041,2.5167,0.0092,0.02,0.02,0.7598,10000,-0.5,False,-0.1625,4.3901,-0.4877,0.7571,0.043618,0.130803,0.130803,-0.2466,30000,-0.5,True,-0.0139,6.9443,-0.4548,0.8096,0.016141,0.118265,0.118265,0.2638,40000,-0.5,True
22,2318,10000,inviscid,6316,40000,viscous,7315,40000,inviscid,0.2495,7.2086,-0.365,2.0101,0.0086,0.02,0.02,0.2495,10000,-0.5,False,0.199,3.7036,-0.2695,0.2778,0.064417,0.297573,0.297573,0.129,40000,-0.5,True,0.8476,7.0068,0.2136,2.5186,0.008,0.02,0.02,0.8476,40000,-0.5,False
23,3520,10000,inviscid,4716,35000,viscous,4814,50000,inviscid,0.4448,7.2995,-0.189,2.2147,0.009,0.02,0.02,0.4448,10000,-0.5,False,-0.2228,7.0527,-0.5005,0.7907,0.038852,0.03242,0.03242,-0.5545,35000,-0.5,True,0.9058,6.9151,0.2759,2.5504,0.008,0.02,0.02,0.9058,50000,-0.5,False
24,8622,10000,inviscid,6617,30000,viscous,4710,35000,viscous,1.3148,7.3001,0.628,3.027,0.0094,0.02,0.02,1.3148,10000,-0.5,False,-0.1529,5.2156,-0.3358,0.8543,0.06467,0.145599,0.145599,-0.0768,30000,-0.5,True,0.0472,7.8827,-0.433,1.2645,0.02802,0.01,0.01,0.1103,35000,-0.5,True
25,0022,10000,inviscid,4618,20000,viscous,7815,25000,viscous,0.0006,7.4442,-0.6183,1.8358,0.0094,0.02,0.02,0.0006,10000,-0.5,False,-0.2256,3.9789,-0.441,0.6822,0.054593,0.196816,0.196816,-0.1975,20000,-0.5,True,-0.239,6.1517,-0.3321,1.0006,0.063497,0.160305,0.160305,0.0158,25000,-0.5,True
26,3222,10000,inviscid,2220,30000,inviscid,1218,30000,inviscid,0.3624,7.419,-0.2764,2.1673,0.0094,0.02,0.02,0.3624,10000,-0.5,False,0.2387,7.3186,-0.3842,2.0271,0.009,0.02,0.02,0.2387,30000,-0.5,False,0.118,7.2183,-0.4892,1.8897,0.0086,0.02,0.02,0.118,30000,-0.5,False
27,2522,10000,inviscid,4416,35000,viscous,6312,30000,inviscid,0.3006,7.421,-0.3345,2.1101,0.0094,0.02,0.02,0.3006,10000,-0.5,False,-0.1763,4.6787,-0.4892,0.7414,0.03695,0.083867,0.083867,-0.4601,35000,-0.5,True,0.7103,6.8579,0.0969,2.3537,0.008,0.02,0.02,0.7103,30000,-0.5,False
