 
# QPROP Version 1.22
# 
# Propeller_0049                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000   1.021      0.1380E-01   5.781       5.452    1.1839   0.8956   0.0000   0.00000  0.7763E-01  0.1328E-01   9.2199   0.0000   6.454       0.000       0.5785  0.7819E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0063  24.665   0.3393  0.44173     1055  0.007   0.0000   0.1116  0.6346       15.19      0.2059E-01
   0.0090  0.0089  23.988   0.4037  0.25994     2202  0.011   0.0000   0.2513  0.9959       16.01      0.3257E-01
   0.0120  0.0112  23.305   0.4575  0.16885     3699  0.014   0.0000   0.3976   1.370       16.59      0.4507E-01
   0.0149  0.0134  22.614   0.5028  0.11581     5503  0.018   0.0000   0.5301   1.748       16.99      0.5775E-01
   0.0179  0.0154  21.916   0.5410  0.08225     7570  0.021   0.0000   0.6396   2.124       17.24      0.7036E-01
   0.0209  0.0172  21.211   0.5730  0.05990     9860  0.025   0.0000   0.7250   2.492       17.36      0.8269E-01
   0.0239  0.0188  20.498   0.5996  0.04449    12329  0.028   0.0000   0.7896   2.851       17.38      0.9459E-01
   0.0268  0.0202  19.778   0.6212  0.03360    14936  0.032   0.0000   0.8378   3.195       17.31      0.1059    
   0.0298  0.0215  19.051   0.6384  0.02574    17640  0.035   0.0000   0.8735   3.523       17.16      0.1166    
   0.0328  0.0225  18.316   0.6517  0.01999    20398  0.039   0.0000   0.9001   3.832       16.95      0.1266    
   0.0358  0.0234  17.575   0.6613  0.01570    23166  0.042   0.0000   0.9200   4.120       16.67      0.1357    
   0.0388  0.0242  16.826   0.6675  0.01246    25902  0.046   0.0000   0.9350   4.385       16.34      0.1439    
   0.0418  0.0247  16.069   0.6707  0.00998    28560  0.049   0.0000   0.9465   4.625       15.97      0.1512    
   0.0447  0.0250  15.306   0.6709  0.00807    31095  0.053   0.0000   0.9554   4.838       15.55      0.1575    
   0.0477  0.0252  14.535   0.6683  0.00658    33463  0.057   0.0000   0.9622   5.022       15.09      0.1628    
   0.0507  0.0252  13.756   0.6629  0.00542    35615  0.060   0.0000   0.9675   5.176       14.59      0.1670    
   0.0537  0.0250  12.971   0.6547  0.00454    37504  0.064   0.0000   0.9714   5.299       14.06      0.1702    
   0.0566  0.0246  12.178   0.6437  0.00388    39082  0.068   0.0000   0.9741   5.390       13.51      0.1723    
   0.0596  0.0241  11.378   0.6295  0.00344    40300  0.072   0.0000   0.9755   5.448       12.93      0.1733    
   0.0626  0.0233  10.571   0.6115  0.00320    41108  0.075   0.0000   0.9755   5.474       12.34      0.1733    
   0.0656  0.0224   9.756   0.5889  0.00315    41455  0.079   0.0000   0.9738   5.471       11.73      0.1725    
   0.0686  0.0213   8.934   0.5598  0.00332    41290  0.083   0.0000   0.9696   5.446       11.14      0.1710    
   0.0716  0.0200   8.105   0.5200  0.00375    40560  0.087   0.0000   0.9616   5.417       10.60      0.1694    
   0.0745  0.0185   7.268   0.4589  0.00455    39204  0.090   0.0000   0.9460   5.433       10.18      0.1695    
   0.0775  0.0169   6.425   0.3316  0.00629    37137  0.094   0.0000   0.9023   5.705       10.29      0.1781    
