 
# QPROP Version 1.22
# 
# Propeller_0073                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000 -0.2239E-01  0.1892E-02  0.7925       5.358    0.2486   0.5950   0.0000   0.00000 -0.3714E-02  0.4830E-02 NaN        0.0000   1.332       0.000      -0.0309  0.4985E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0088  23.750   0.8453  0.03917     1303  0.006   0.0000   0.8911  0.9275       25.43      0.4177E-01
   0.0081  0.0102  21.365   0.7726  0.04225     2218  0.009   0.0000   0.8619   1.188       22.13      0.5087E-01
   0.0106  0.0116  19.132   0.6653  0.04455     3321  0.012   0.0000   0.8196   1.377       19.27      0.5675E-01
   0.0130  0.0128  17.050   0.5487  0.04649     4593  0.015   0.0000   0.7597   1.493       16.68      0.5977E-01
   0.0154  0.0140  15.120   0.4343  0.04814     6012  0.018   0.0000   0.6767   1.539       14.26      0.6017E-01
   0.0178  0.0150  13.342   0.3277  0.04963     7554  0.021   0.0000   0.5645   1.513       11.97      0.5807E-01
   0.0202  0.0160  11.715   0.2322  0.05112     9195  0.025   0.0000   0.4220   1.416       9.763      0.5355E-01
   0.0226  0.0169  10.240   0.1498  0.05280    10912  0.028   0.0000   0.2621   1.247       7.618      0.4661E-01
   0.0251  0.0176   8.918   0.0824  0.05489    12678  0.031   0.0000   0.1182   1.001       5.497      0.3712E-01
   0.0275  0.0183   7.746   0.0324  0.05770    14468  0.034   0.0000   0.0285  0.6727       3.355      0.2479E-01
   0.0299  0.0189   6.727   0.0038  0.06190    16254  0.037   0.0000   0.0008  0.2430       1.112      0.8928E-02
   0.0323  0.0193   5.859   0.0000  0.06835    18003  0.040   0.0000  -0.0005 -0.3088       178.7     -0.1135E-01
   0.0348  0.0197   5.143  -0.0297  0.07036    19701  0.043   0.0000   0.0182 -0.7266       177.1     -0.2675E-01
   0.0372  0.0200   4.579  -0.1119  0.06377    21363  0.046   0.0000   0.0784 -0.7772       177.1     -0.2862E-01
   0.0396  0.0201   4.167  -0.1681  0.05920    22950  0.049   0.0000   0.1222 -0.8278       177.1     -0.3048E-01
   0.0420  0.0202   3.906  -0.1995  0.05609    24442  0.052   0.0000   0.1490 -0.8784       177.1     -0.3234E-01
   0.0444  0.0202   3.798  -0.2069  0.05410    25819  0.055   0.0000   0.1585 -0.9290       177.1     -0.3421E-01
   0.0468  0.0201   3.840  -0.1902  0.05310    27059  0.058   0.0000   0.1498 -0.9796       177.1     -0.3607E-01
   0.0493  0.0198   4.035  -0.1488  0.05313    28143  0.061   0.0000   0.1208  -1.030       177.1     -0.3793E-01
   0.0517  0.0195   4.382  -0.0817  0.05435    29049  0.064   0.0000   0.0677  -1.081       177.1     -0.3979E-01
   0.0541  0.0191   4.880   0.0000  0.05560    29763  0.067   0.0000  -0.0021  -1.038       177.4     -0.3822E-01
   0.0565  0.0186   5.530   0.0000  0.04692    30283  0.070   0.0000  -0.0001 -0.2133       179.5     -0.7836E-02
   0.0590  0.0180   6.332   0.0156  0.03964    30524  0.073   0.0000   0.0099  0.6783       1.575      0.2493E-01
   0.0614  0.0173   7.285   0.0687  0.03480    30475  0.075   0.0000   0.0997   1.485       3.317      0.5471E-01
   0.0638  0.0164   8.390   0.1153  0.02919    30103  0.078   0.0000   0.2649   2.499       5.389      0.9258E-01
