 
# QPROP Version 1.22
# 
# Propeller_0134                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000 -0.6442E-01  0.4917E-02   2.060       5.382    0.4862   0.7871   0.0000   0.00000 -0.1211E-01  0.1467E-01 NaN        0.0000   2.617       0.000      -0.0956  0.1610    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0060  24.230   0.7335  0.05268      913  0.006   0.0000   0.8255  0.8316       22.22      0.3677E-01
   0.0080  0.0080  22.746   0.6420  0.06548     1733  0.009   0.0000   0.7535   1.087       20.19      0.4676E-01
   0.0104  0.0098  21.340   0.5484  0.07423     2778  0.012   0.0000   0.6771   1.288       18.23      0.5410E-01
   0.0127  0.0115  20.010   0.4570  0.08075     4023  0.015   0.0000   0.5909   1.430       16.28      0.5882E-01
   0.0150  0.0130  18.757   0.3695  0.08575     5440  0.018   0.0000   0.4930   1.510       14.33      0.6096E-01
   0.0174  0.0143  17.581   0.2868  0.08955     6997  0.021   0.0000   0.3842   1.521       12.36      0.6042E-01
   0.0197  0.0155  16.481   0.2094  0.09235     8664  0.024   0.0000   0.2691   1.457       10.34      0.5707E-01
   0.0221  0.0165  15.459   0.1386  0.09436    10407  0.027   0.0000   0.1579   1.307       8.223      0.5058E-01
   0.0244  0.0174  14.513   0.0760  0.09593    12189  0.030   0.0000   0.0662   1.053       5.950      0.4035E-01
   0.0267  0.0182  13.644   0.0256  0.09779    13974  0.033   0.0000   0.0118  0.6570       3.370      0.2498E-01
   0.0291  0.0187  12.852  -0.0162  0.34263    15692  0.036   0.0000  -0.0001 -0.6078       177.1     -0.2309E-01
   0.0314  0.0192  12.137  -0.1022  0.34196    17343  0.039   0.0000   0.0123 -0.6568       177.1     -0.2495E-01
   0.0338  0.0195  11.499  -0.1637  0.34742    18904  0.042   0.0000   0.0206 -0.7057       177.1     -0.2681E-01
   0.0361  0.0196  10.937  -0.2025  0.35582    20343  0.044   0.0000   0.0253 -0.7546       177.1     -0.2867E-01
   0.0384  0.0195  10.452  -0.2227  0.36223    21629  0.047   0.0000   0.0274 -0.8035       177.1     -0.3053E-01
   0.0408  0.0194  10.044  -0.2297  0.36122    22732  0.050   0.0000   0.0284 -0.8525       177.1     -0.3238E-01
   0.0431  0.0190   9.713  -0.2269  0.34964    23620  0.053   0.0000   0.0290 -0.9014       177.1     -0.3424E-01
   0.0454  0.0185   9.459  -0.2784  0.06974    24263  0.056   0.0000   0.1644 -0.9503       177.1     -0.3610E-01
   0.0478  0.0179   9.281  -0.2421  0.07007    24630  0.059   0.0000   0.1453 -0.9992       177.1     -0.3796E-01
   0.0501  0.0171   9.181  -0.1855  0.07169    24689  0.062   0.0000   0.1124  -1.048       177.1     -0.3982E-01
   0.0525  0.0162   9.157  -0.1082  0.07480    24410  0.065   0.0000   0.0652  -1.097       177.1     -0.4168E-01
   0.0548  0.0151   9.210  -0.0095  0.07976    23761  0.067   0.0000   0.0034  -1.146       177.1     -0.4354E-01
   0.0571  0.0138   9.340   0.0000  0.07051    22741  0.070   0.0000   0.0000  0.2544E-01  0.6089E-01  0.9640E-03
   0.0595  0.0124   9.546   0.0334  0.06388    21245  0.073   0.0000   0.0178  0.9316       2.144      0.3535E-01
   0.0618  0.0108   9.830   0.0837  0.05854    19275  0.076   0.0000   0.0820   1.696       3.763      0.6455E-01
