 
# QPROP Version 1.22
# 
# Propeller_0173                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -2.711883546847170E-003
 -8.948307789435772E-002  0.273959318574138     
#   0.000   4000.      0.000  0.2065      0.1922E-02  0.8052       5.358    0.2510   0.5987   0.0000   0.00000  0.4719E-01  0.7322E-02   5.4596   0.0000   1.345       0.000       0.3166  0.1204E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0056  0.0068  23.864   0.8373  0.03296     1001  0.006   0.0000   0.9059  0.9078       25.29      0.4418E-01
   0.0078  0.0085  21.685   0.7990  0.02544     1754  0.009   0.0000   0.9185   1.193       23.33      0.5629E-01
   0.0100  0.0100  19.630   0.7440  0.02139     2686  0.012   0.0000   0.9218   1.442       21.63      0.6641E-01
   0.0123  0.0114  17.698   0.6842  0.01898     3777  0.014   0.0000   0.9201   1.658       20.09      0.7478E-01
   0.0145  0.0127  15.889   0.6248  0.01745     5009  0.017   0.0000   0.9149   1.841       18.67      0.8161E-01
   0.0167  0.0138  14.204   0.5683  0.01644     6361  0.020   0.0000   0.9071   1.994       17.36      0.8708E-01
   0.0189  0.0149  12.642   0.5158  0.01573     7813  0.022   0.0000   0.8968   2.119       16.15      0.9138E-01
   0.0211  0.0159  11.203   0.4680  0.01520     9343  0.025   0.0000   0.8843   2.219       15.03      0.9468E-01
   0.0234  0.0167   9.888   0.4251  0.01479    10928  0.028   0.0000   0.8700   2.299       14.01      0.9716E-01
   0.0256  0.0175   8.696   0.3873  0.01445    12547  0.031   0.0000   0.8540   2.361       13.07      0.9900E-01
   0.0278  0.0181   7.628   0.3547  0.01415    14176  0.033   0.0000   0.8371   2.410       12.22      0.1004    
   0.0300  0.0186   6.683   0.3270  0.01388    15795  0.036   0.0000   0.8198   2.449       11.46      0.1015    
   0.0323  0.0190   5.861   0.3043  0.01361    17380  0.039   0.0000   0.8031   2.484       10.79      0.1024    
   0.0345  0.0193   5.163   0.2865  0.01334    18910  0.042   0.0000   0.7880   2.519       10.21      0.1035    
   0.0367  0.0195   4.588   0.2736  0.01307    20363  0.045   0.0000   0.7757   2.559       9.725      0.1048    
   0.0389  0.0196   4.136   0.2656  0.01278    21716  0.047   0.0000   0.7673   2.607       9.329      0.1065    
   0.0411  0.0196   3.808   0.2740  0.01228    22955  0.050   0.0000   0.7727   2.643       8.935      0.1078    
   0.0433  0.0195   3.603   0.2651  0.01216    24040  0.053   0.0000   0.7660   2.746       8.802      0.1119    
   0.0456  0.0192   3.522   0.2730  0.01182    24968  0.056   0.0000   0.7737   2.844       8.669      0.1158    
   0.0478  0.0189   3.564   0.2866  0.01145    25711  0.058   0.0000   0.7867   2.966       8.620      0.1207    
   0.0500  0.0184   3.729   0.3056  0.01107    26248  0.061   0.0000   0.8034   3.118       8.658      0.1269    
   0.0522  0.0178   4.018   0.3283  0.01070    26558  0.064   0.0000   0.8219   3.307       8.797      0.1347    
   0.0544  0.0172   4.430   0.3496  0.01042    26616  0.066   0.0000   0.8387   3.552       9.075      0.1450    
   0.0567  0.0164   4.965   0.3555  0.01045    26392  0.069   0.0000   0.8477   3.903       9.599      0.1597    
   0.0589  0.0155   5.624   0.2927  0.01163    25831  0.071   0.0000   0.8211   4.531       10.78      0.1868    
