 
# QPROP Version 1.22
# 
# Propeller_0258                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -8.498781549789849E-003
 -9.594649034945560E-002   1.31144167145626     
#   0.000   4000.      0.000   1.140      0.2028E-01   8.495       5.503    1.6929   0.9120   0.0000   0.00000  0.9603E-01  0.2219E-01   9.9949   0.0000   9.315       0.000       1.3729  0.5789E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0054  24.026   0.7667  0.04276      872  0.007   0.0000   0.8549  0.8373       21.11      0.2983E-01
   0.0089  0.0063  22.152   0.8908  0.02855     1510  0.010   0.0000   0.9087   1.196       20.09      0.4204E-01
   0.0118  0.0071  20.379   0.9752  0.02088     2268  0.014   0.0000   0.9355   1.541       19.38      0.5368E-01
   0.0147  0.0078  18.706   1.0384  0.01709     3133  0.017   0.0000   0.9486   1.875       18.83      0.6489E-01
   0.0175  0.0085  17.134   1.0891  0.01567     4090  0.021   0.0000   0.9539   2.200       18.38      0.7575E-01
   0.0204  0.0091  15.662   1.1316  0.01566     5128  0.024   0.0000   0.9548   2.517       17.99      0.8627E-01
   0.0233  0.0097  14.290   1.1685  0.01647     6232  0.027   0.0000   0.9533   2.825       17.64      0.9645E-01
   0.0262  0.0102  13.018   1.2013  0.01769     7388  0.031   0.0000   0.9505   3.125       17.32      0.1063    
   0.0292  0.0107  11.847   1.2308  0.01906     8585  0.034   0.0000   0.9473   3.415       17.01      0.1158    
   0.0321  0.0111  10.776   1.3114  0.01884     9828  0.038   0.0000   0.9491   3.611       16.27      0.1215    
   0.0350  0.0114   9.805   1.2679  0.04773    11046  0.041   0.0000   0.8763   3.947       16.31      0.1329    
   0.0379  0.0117   8.935   1.3308  0.05426    12265  0.045   0.0000   0.8669   4.262       16.26      0.1434    
   0.0408  0.0119   8.165   1.3816  0.05986    13471  0.048   0.0000   0.8588   4.555       16.13      0.1530    
   0.0437  0.0121   7.495   1.4215  0.06421    14652  0.052   0.0000   0.8522   4.825       15.93      0.1618    
   0.0466  0.0122   6.925   1.4514  0.06713    15794  0.055   0.0000   0.8473   5.071       15.67      0.1696    
   0.0495  0.0123   6.456   1.4720  0.06852    16882  0.059   0.0000   0.8442   5.293       15.37      0.1765    
   0.0524  0.0123   6.087   1.4836  0.06841    17902  0.062   0.0000   0.8429   5.493       15.03      0.1826    
   0.0552  0.0122   5.818   1.4865  0.06688    18840  0.066   0.0000   0.8433   5.669       14.67      0.1878    
   0.0581  0.0121   5.650   1.4803  0.06410    19680  0.069   0.0000   0.8453   5.827       14.29      0.1924    
   0.0611  0.0119   5.582   1.4645  0.06036    20406  0.073   0.0000   0.8486   5.971       13.92      0.1965    
   0.0640  0.0117   5.614   1.4383  0.05607    21002  0.077   0.0000   0.8529   6.114       13.58      0.2006    
   0.0669  0.0114   5.746   1.4003  0.05185    21447  0.080   0.0000   0.8573   6.282       13.33      0.2057    
   0.0698  0.0111   5.979   1.3486  0.04890    21716  0.084   0.0000   0.8596   6.540       13.30      0.2141    
   0.0727  0.0107   6.312   1.2790  0.05055    21759  0.087   0.0000   0.8535   7.077       13.86      0.2328    
   0.0756  0.0102   6.746   1.1711  0.08176    21325  0.089   0.0000   0.7980   8.922       17.16      0.3030    
