 
# QPROP Version 1.22
# 
# Propeller_0290                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000 -0.1063      0.1416E-02  0.5933       5.354    0.2112   0.5245   0.0000   0.00000 -0.2132E-01  0.4579E-02 NaN        0.0000   1.131       0.000      -0.1472  0.3599E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0057  23.581   0.7279  0.04071      857  0.006   0.0000   0.8651  0.8699       23.66      0.3993E-01
   0.0080  0.0071  20.866   0.6214  0.04472     1533  0.009   0.0000   0.8169   1.099       20.65      0.4833E-01
   0.0103  0.0085  18.314   0.5067  0.04669     2376  0.012   0.0000   0.7551   1.257       17.92      0.5347E-01
   0.0126  0.0097  15.926   0.3968  0.04762     3369  0.015   0.0000   0.6730   1.343       15.36      0.5560E-01
   0.0149  0.0108  13.700   0.2966  0.04804     4489  0.018   0.0000   0.5643   1.355       12.91      0.5492E-01
   0.0171  0.0118  11.637   0.2080  0.04823     5715  0.021   0.0000   0.4260   1.292       10.54      0.5146E-01
   0.0194  0.0127   9.737   0.1319  0.04843     7025  0.024   0.0000   0.2667   1.148       8.187      0.4513E-01
   0.0217  0.0135   8.000   0.0693  0.04886     8394  0.027   0.0000   0.1168  0.9147       5.792      0.3558E-01
   0.0241  0.0142   6.427   0.0226  0.04990     9796  0.030   0.0000   0.0218  0.5661       3.227      0.2187E-01
   0.0264  0.0147   5.016   0.0000  0.05277    11202  0.032   0.0000   0.0000  0.2849E-01  0.1479      0.1097E-02
   0.0286  0.0152   3.768  -0.0243  0.05529    12572  0.035   0.0000   0.0190 -0.5990       177.1     -0.2312E-01
   0.0310  0.0156   2.684  -0.1279  0.04830    13931  0.038   0.0000   0.1148 -0.6471       177.1     -0.2498E-01
   0.0333  0.0159   1.762  -0.2055  0.04440    15244  0.041   0.0000   0.1861 -0.6952       177.1     -0.2684E-01
   0.0356  0.0161   1.004  -0.2611  0.04200    16492  0.044   0.0000   0.2354 -0.7433       177.1     -0.2869E-01
   0.0379  0.0162   0.408  -0.2978  0.04027    17655  0.047   0.0000   0.2682 -0.7914       177.1     -0.3055E-01
   0.0402  0.0162  -0.024  -0.3178  0.03881    18712  0.049   0.0000   0.2889 -0.8395       177.1     -0.3241E-01
   0.0425  0.0161  -0.293  -0.3228  0.03743    19644  0.052   0.0000   0.2997 -0.8876       177.1     -0.3426E-01
   0.0447  0.0159  -0.400  -0.3133  0.03606    20429  0.055   0.0000   0.3012 -0.9357       177.1     -0.3612E-01
   0.0470  0.0155  -0.343  -0.2891  0.03470    21048  0.058   0.0000   0.2925 -0.9838       177.1     -0.3798E-01
   0.0493  0.0151  -0.123  -0.2492  0.03341    21482  0.061   0.0000   0.2700  -1.032       177.1     -0.3983E-01
   0.0516  0.0146   0.260  -0.1918  0.03238    21709  0.064   0.0000   0.2267  -1.080       177.1     -0.4169E-01
   0.0539  0.0140   0.806  -0.1141  0.03197    21709  0.066   0.0000   0.1494  -1.128       177.1     -0.4354E-01
   0.0563  0.0133   1.514  -0.0126  0.03285    21463  0.069   0.0000   0.0164  -1.176       177.1     -0.4540E-01
   0.0585  0.0124   2.386   0.0000  0.02778    20976  0.072   0.0000   0.0000 -0.8142E-01   179.8     -0.3135E-02
   0.0609  0.0115   3.421   0.0265  0.02405    20161  0.075   0.0000   0.0382  0.9503       2.138      0.3664E-01
