 
# QPROP Version 1.22
# 
# Propeller_0326                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -3.693114429512243E-003
 -9.158980142491818E-002  0.415094038259121     
 GVCALC: Not converged.  Res a CL = -3.184487593748481E-003
 -9.204600924497175E-002  0.412629648454177     
 GVCALC: Not converged.  Res a CL = -4.472555601619368E-003
 -9.123879605328225E-002  0.417927162255560     
#   0.000   4000.      0.000  0.5815      0.7109E-02   2.978       5.399    0.6583   0.8378   0.0000   0.00000  0.5744E-01  0.9489E-02   7.4288   0.0000   3.554       0.000       0.4310  0.1469E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0068  24.093   0.7362  0.02822     1038  0.007   0.0000   0.9080  0.9509       25.21      0.3748E-01
   0.0087  0.0082  22.339   0.7639  0.02070     1880  0.010   0.0000   0.9300   1.323       23.39      0.5067E-01
   0.0115  0.0095  20.664   0.7572  0.01675     2921  0.013   0.0000   0.9394   1.660       21.91      0.6222E-01
   0.0142  0.0108  19.069   0.7351  0.01440     4139  0.016   0.0000   0.9435   1.965       20.62      0.7236E-01
   0.0170  0.0119  17.553   0.7058  0.01292     5515  0.020   0.0000   0.9446   2.239       19.47      0.8126E-01
   0.0198  0.0130  16.117   0.6734  0.01197     7025  0.023   0.0000   0.9437   2.484       18.41      0.8903E-01
   0.0226  0.0139  14.760   0.6403  0.01136     8647  0.027   0.0000   0.9413   2.703       17.44      0.9580E-01
   0.0253  0.0148  13.483   0.6077  0.01097    10358  0.030   0.0000   0.9376   2.896       16.53      0.1017    
   0.0281  0.0155  12.285   0.5765  0.01071    12135  0.033   0.0000   0.9330   3.067       15.68      0.1067    
   0.0309  0.0162  11.166   0.5472  0.01055    13954  0.037   0.0000   0.9276   3.216       14.89      0.1111    
   0.0337  0.0168  10.128   0.5201  0.01045    15790  0.040   0.0000   0.9215   3.347       14.16      0.1149    
   0.0365  0.0172   9.168   0.4955  0.01038    17619  0.044   0.0000   0.9150   3.462       13.47      0.1181    
   0.0393  0.0176   8.289   0.4736  0.01033    19418  0.047   0.0000   0.9081   3.562       12.84      0.1209    
   0.0420  0.0179   7.488   0.4545  0.01029    21162  0.051   0.0000   0.9012   3.651       12.25      0.1234    
   0.0448  0.0180   6.768   0.4383  0.01023    22827  0.054   0.0000   0.8944   3.732       11.71      0.1256    
   0.0476  0.0181   6.126   0.4250  0.01017    24389  0.058   0.0000   0.8881   3.805       11.22      0.1276    
   0.0504  0.0181   5.565   0.4149  0.01009    25823  0.061   0.0000   0.8826   3.875       10.78      0.1296    
   0.0531  0.0180   5.083   0.4080  0.00999    27107  0.064   0.0000   0.8780   3.944       10.37      0.1315    
   0.0559  0.0178   4.680   0.4151  0.00970    28223  0.068   0.0000   0.8786   3.979       9.928      0.1323    
   0.0587  0.0175   4.357   0.4126  0.00960    29130  0.071   0.0000   0.8760   4.056       9.630      0.1346    
   0.0615  0.0170   4.113   0.4179  0.00940    29819  0.075   0.0000   0.8764   4.125       9.340      0.1367    
   0.0643  0.0165   3.949   0.4088  0.00945    30249  0.078   0.0000   0.8722   4.267       9.240      0.1413    
   0.0670  0.0159   3.864   0.4086  0.00940    30413  0.082   0.0000   0.8716   4.403       9.136      0.1457    
   0.0698  0.0152   3.859   0.3902  0.02694    30274  0.085   0.0000   0.6931   4.613       9.193      0.1527    
   0.0726  0.0144   3.933   0.3822  0.04314    29626  0.088   0.0000   0.6256   5.868       11.35      0.1969    
