 
# QPROP Version 1.22
# 
# Propeller_0396                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000   1.054      0.2524E-01   10.57       5.542    2.0822   0.9162   0.0000   0.00000  0.8015E-01  0.2429E-01   9.3686   0.0000   11.54       0.000       0.6358  0.1035    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0072  23.555   0.6754  0.02753     1151  0.007   0.0000   0.8956  0.8926       22.68      0.3168E-01
   0.0090  0.0095  20.790   0.6524  0.01874     2304  0.010   0.0000   0.9201   1.257       20.99      0.4356E-01
   0.0120  0.0117  18.193   0.6128  0.01537     3797  0.014   0.0000   0.9257   1.578       19.55      0.5372E-01
   0.0149  0.0137  15.763   0.5691  0.01440     5592  0.017   0.0000   0.9210   1.861       18.26      0.6236E-01
   0.0179  0.0155  13.500   0.5260  0.01457     7650  0.021   0.0000   0.9095   2.107       17.08      0.6968E-01
   0.0209  0.0172  11.405   0.4853  0.01527     9930  0.025   0.0000   0.8930   2.319       16.00      0.7584E-01
   0.0239  0.0186   9.477   0.4577  0.03561    12379  0.028   0.0000   0.7606   2.525       15.17      0.8191E-01
   0.0268  0.0200   7.716   0.5136  0.05304    14873  0.032   0.0000   0.7097   2.925       15.67      0.9533E-01
   0.0298  0.0211   6.123   0.5609  0.07236    17451  0.035   0.0000   0.6638   3.305       15.97      0.1081    
   0.0328  0.0221   4.698   0.6004  0.09153    20075  0.039   0.0000   0.6258   3.665       16.12      0.1200    
   0.0358  0.0229   3.439   0.6327  0.10912    22707  0.042   0.0000   0.5952   4.001       16.13      0.1310    
   0.0388  0.0236   2.348   0.6588  0.12414    25307  0.046   0.0000   0.5713   4.312       16.04      0.1411    
   0.0418  0.0240   1.424   0.6790  0.13592    27837  0.049   0.0000   0.5532   4.597       15.86      0.1501    
   0.0447  0.0244   0.668   0.6939  0.14403    30255  0.053   0.0000   0.5403   4.852       15.60      0.1580    
   0.0477  0.0245   0.079   0.7039  0.14826    32520  0.057   0.0000   0.5320   5.077       15.27      0.1648    
   0.0507  0.0245  -0.342   0.7091  0.14855    34590  0.060   0.0000   0.5280   5.270       14.88      0.1705    
   0.0537  0.0243  -0.597   0.7095  0.14499    36421  0.064   0.0000   0.5282   5.429       14.44      0.1749    
   0.0566  0.0240  -0.684   0.7051  0.13783    37969  0.068   0.0000   0.5325   5.554       13.95      0.1782    
   0.0596  0.0234  -0.603   0.6956  0.12747    39189  0.071   0.0000   0.5411   5.643       13.43      0.1803    
   0.0626  0.0228  -0.355   0.6805  0.11446    40034  0.075   0.0000   0.5540   5.699       12.88      0.1812    
   0.0656  0.0219   0.060   0.6594  0.09961    40457  0.079   0.0000   0.5716   5.727       12.32      0.1813    
   0.0686  0.0209   0.643   0.6315  0.08398    40407  0.083   0.0000   0.5938   5.742       11.78      0.1811    
   0.0716  0.0197   1.393   0.5960  0.06917    39829  0.086   0.0000   0.6191   5.789       11.36      0.1820    
   0.0745  0.0183   2.310   0.5518  0.05832    38643  0.090   0.0000   0.6406   6.010       11.32      0.1889    
   0.0775  0.0168   3.395   0.4941  0.06847    36583  0.093   0.0000   0.6095   7.261       13.28      0.2316    
