 
# QPROP Version 1.22
# 
# Propeller_0558                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -3.825597250382465E-003
 -9.224162223603777E-002  0.588018668603458     
 GVCALC: Not converged.  Res a CL = -1.004821045081132E-002
 -9.419902564668389E-002  0.687741932113363     
#   0.000   4000.      0.000  0.5006      0.6501E-02   2.723       5.394    0.6105   0.8267   0.0000   0.00000  0.8306E-01  0.1659E-01   7.8468   0.0000   3.294       0.000       0.6164  0.2321E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0073  24.230   0.3540  0.30365     1144  0.007   0.0000   0.1938  0.6686       16.99      0.2685E-01
   0.0081  0.0097  22.738   0.4069  0.17068     2156  0.010   0.0000   0.3732  0.9809       17.59      0.3965E-01
   0.0106  0.0118  21.309   0.4474  0.10552     3427  0.012   0.0000   0.5342   1.294       17.93      0.5251E-01
   0.0130  0.0138  19.944   0.4784  0.07089     4920  0.015   0.0000   0.6544   1.602       18.07      0.6511E-01
   0.0154  0.0156  18.642   0.5019  0.05183     6599  0.018   0.0000   0.7340   1.901       18.07      0.7724E-01
   0.0178  0.0173  17.405   0.5197  0.04111     8429  0.021   0.0000   0.7832   2.187       17.95      0.8876E-01
   0.0202  0.0187  16.231   0.5330  0.03486    10373  0.024   0.0000   0.8129   2.460       17.75      0.9961E-01
   0.0226  0.0199  15.121   0.5429  0.03089    12394  0.027   0.0000   0.8318   2.718       17.48      0.1097    
   0.0251  0.0209  14.074   0.5503  0.02797    14453  0.030   0.0000   0.8452   2.961       17.16      0.1191    
   0.0275  0.0218  13.091   0.5561  0.02539    16514  0.032   0.0000   0.8567   3.187       16.81      0.1277    
   0.0299  0.0224  12.172   0.5608  0.02284    18536  0.035   0.0000   0.8681   3.398       16.43      0.1357    
   0.0323  0.0229  11.316   0.5652  0.02017    20479  0.038   0.0000   0.8804   3.594       16.03      0.1429    
   0.0348  0.0231  10.525   0.5696  0.01739    22305  0.041   0.0000   0.8938   3.773       15.61      0.1494    
   0.0372  0.0232   9.796   0.5880  0.01428    23985  0.044   0.0000   0.9113   3.912       15.08      0.1541    
   0.0396  0.0231   9.132   0.5866  0.03164    25431  0.047   0.0000   0.8190   4.107       14.84      0.1614    
   0.0420  0.0227   8.531   0.6037  0.03109    26644  0.050   0.0000   0.8232   4.274       14.53      0.1675    
   0.0444  0.0222   7.994   0.6175  0.03015    27584  0.053   0.0000   0.8275   4.413       14.16      0.1724    
   0.0468  0.0215   7.521   0.6279  0.02885    28209  0.056   0.0000   0.8322   4.522       13.72      0.1760    
   0.0493  0.0206   7.111   0.6350  0.02726    28475  0.059   0.0000   0.8371   4.600       13.24      0.1783    
   0.0517  0.0195   6.765   0.6387  0.02553    28341  0.062   0.0000   0.8419   4.649       12.72      0.1795    
   0.0541  0.0182   6.482   0.6390  0.02385    27760  0.065   0.0000   0.8457   4.674       12.18      0.1797    
   0.0565  0.0167   6.264   0.6877  0.00469    26687  0.068   0.0000   0.9667   4.687       11.66      0.1795    
   0.0590  0.0150   6.109   0.6635  0.00606    25041  0.071   0.0000   0.9556   4.863       11.60      0.1862    
   0.0614  0.0132   6.018   0.6458  0.00808    22833  0.074   0.0000   0.9396   5.023       11.50      0.1921    
   0.0638  0.0111   5.990   0.5955  0.04167    19894  0.077   0.0000   0.7556   5.877       13.05      0.2274    
