 
# QPROP Version 1.22
# 
# Propeller_0586                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.1704E-01  0.1822E-03  0.7631E-01   5.345    0.1143   0.1249   0.0000   0.00000  0.3008E-02  0.5025E-03   1.4702   0.0000  0.6109       0.000       0.0409  0.6808E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0083  23.770   0.8408  0.02768     1234  0.006   0.0000   0.9191  0.9057       24.73      0.4095E-01
   0.0081  0.0088  21.408   0.8213  0.02092     1911  0.009   0.0000   0.9294   1.144       21.31      0.4918E-01
   0.0105  0.0093  19.174   0.7506  0.01751     2661  0.012   0.0000   0.9274   1.316       18.47      0.5455E-01
   0.0128  0.0098  17.069   0.6571  0.01522     3473  0.015   0.0000   0.9192   1.426       16.03      0.5758E-01
   0.0152  0.0102  15.093   0.5555  0.01347     4336  0.018   0.0000   0.9050   1.481       13.85      0.5859E-01
   0.0176  0.0106  13.246   0.4544  0.01208     5241  0.021   0.0000   0.8828   1.485       11.88      0.5783E-01
   0.0200  0.0109  11.528   0.3590  0.01096     6178  0.024   0.0000   0.8488   1.442       10.08      0.5549E-01
   0.0223  0.0112   9.939   0.2725  0.01006     7136  0.027   0.0000   0.7962   1.357       8.425      0.5173E-01
   0.0247  0.0115   8.479   0.1969  0.00933     8107  0.030   0.0000   0.7144   1.234       6.892      0.4671E-01
   0.0271  0.0117   7.148   0.1335  0.00874     9081  0.033   0.0000   0.5902   1.078       5.474      0.4060E-01
   0.0295  0.0119   5.945   0.0827  0.00829    10049  0.036   0.0000   0.4179  0.8950       4.166      0.3356E-01
   0.0319  0.0120   4.872   0.0448  0.00794    11003  0.039   0.0000   0.2241  0.6900       2.967      0.2581E-01
   0.0343  0.0121   3.928   0.0192  0.00768    11932  0.042   0.0000   0.0747  0.4705       1.880      0.1757E-01
   0.0366  0.0122   3.112   0.0048  0.00750    12830  0.045   0.0000   0.0100  0.2455      0.9169      0.9160E-02
   0.0390  0.0122   2.425   0.0001  0.00736    13689  0.048   0.0000   0.0000  0.2622E-01  0.9192E-01  0.9779E-03
   0.0414  0.0122   1.868   0.0000  0.00722    14501  0.051   0.0000  -0.0001 -0.1669       179.4     -0.6227E-02
   0.0438  0.0121   1.439   0.0000  0.00703    15259  0.054   0.0000  -0.0003 -0.3110       179.0     -0.1160E-01
   0.0461  0.0120   1.139   0.0000  0.00680    15957  0.057   0.0000  -0.0004 -0.3943       178.8     -0.1471E-01
   0.0485  0.0119   0.968   0.0000  0.00653    16588  0.060   0.0000  -0.0004 -0.4053       178.9     -0.1513E-01
   0.0509  0.0117   0.926   0.0000  0.00625    17143  0.063   0.0000  -0.0002 -0.3330       179.1     -0.1243E-01
   0.0533  0.0115   1.013   0.0000  0.00598    17613  0.066   0.0000  -0.0001 -0.1665       179.6     -0.6213E-02
   0.0557  0.0112   1.229   0.0006  0.00577    17988  0.069   0.0000   0.0004  0.1026      0.2520      0.3826E-02
   0.0581  0.0109   1.574   0.0114  0.00568    18259  0.072   0.0000   0.0354  0.4490       1.058      0.1675E-01
   0.0604  0.0106   2.048   0.0398  0.00571    18416  0.074   0.0000   0.1892  0.8504       1.926      0.3176E-01
   0.0628  0.0102   2.650   0.0711  0.00583    18448  0.077   0.0000   0.3869   1.366       2.981      0.5111E-01
