 
# QPROP Version 1.22
# 
# Propeller_0607                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  1.047015445841090E-002
 -0.130092656428111       0.966819264063908     
#   0.000   4000.      0.000  0.8995      0.1266E-01   5.301       5.443    1.0940   0.8903   0.0000   0.00000  0.7985E-01  0.1478E-01   8.9960   0.0000   5.954       0.000       0.9832  0.1789E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0089  23.631   0.4724  0.20591     1434  0.007   0.0000   0.3749  0.7638       18.97      0.2683E-01
   0.0088  0.0105  21.025   0.5496  0.10954     2528  0.010   0.0000   0.5830   1.098       18.31      0.3828E-01
   0.0117  0.0120  18.593   0.6005  0.06752     3842  0.014   0.0000   0.7138   1.420       17.79      0.4919E-01
   0.0145  0.0134  16.335   0.6357  0.04815     5343  0.017   0.0000   0.7856   1.728       17.32      0.5954E-01
   0.0174  0.0146  14.252   0.6609  0.03752     7002  0.020   0.0000   0.8279   2.021       16.88      0.6934E-01
   0.0202  0.0157  12.344   0.6794  0.02919     8787  0.024   0.0000   0.8619   2.301       16.45      0.7859E-01
   0.0231  0.0167  10.609   0.6820  0.03809    10673  0.027   0.0000   0.8228   2.549       15.90      0.8656E-01
   0.0259  0.0175   9.050   0.7541  0.03938    12573  0.031   0.0000   0.8344   2.905       16.15      0.9890E-01
   0.0288  0.0182   7.665   0.8148  0.04150    14502  0.034   0.0000   0.8386   3.241       16.25      0.1105    
   0.0317  0.0187   6.454   0.8655  0.04330    16431  0.037   0.0000   0.8408   3.556       16.21      0.1212    
   0.0345  0.0192   5.418   0.9074  0.04419    18328  0.041   0.0000   0.8434   3.849       16.08      0.1309    
   0.0374  0.0194   4.556   0.9415  0.04393    20161  0.044   0.0000   0.8476   4.117       15.86      0.1398    
   0.0403  0.0196   3.869   0.9688  0.04245    21899  0.048   0.0000   0.8536   4.361       15.58      0.1476    
   0.0431  0.0196   3.356   0.9899  0.03984    23508  0.051   0.0000   0.8617   4.578       15.23      0.1545    
   0.0460  0.0195   3.018   1.0052  0.03624    24956  0.055   0.0000   0.8718   4.768       14.84      0.1603    
   0.0488  0.0192   2.854   1.0150  0.03182    26208  0.058   0.0000   0.8841   4.929       14.41      0.1651    
   0.0517  0.0188   2.865   1.0191  0.02678    27230  0.062   0.0000   0.8983   5.061       13.93      0.1688    
   0.0545  0.0183   3.050   1.0172  0.02135    27987  0.065   0.0000   0.9146   5.162       13.43      0.1714    
   0.0574  0.0176   3.409   1.0088  0.01582    28445  0.069   0.0000   0.9325   5.232       12.90      0.1730    
   0.0603  0.0168   3.944   0.9931  0.01055    28567  0.073   0.0000   0.9515   5.272       12.34      0.1735    
   0.0631  0.0159   4.652   0.9668  0.00866    28282  0.076   0.0000   0.9581   5.422       12.11      0.1782    
   0.0660  0.0148   5.535   1.0535 -0.01229    27575  0.080   0.0000   1.0605   5.638       12.04      0.1851    
   0.0689  0.0136   6.593   1.0762 -0.00574    26419  0.083   0.0000   1.0267   5.910       12.10      0.1942    
   0.0717  0.0123   7.825   1.0624 -0.00015    24766  0.086   0.0000   1.0007   6.333       12.47      0.2087    
   0.0746  0.0108   9.231   0.9065  0.00615    22504  0.089   0.0000   0.9719   7.344       14.02      0.2451    
