 
# QPROP Version 1.22
# 
# Propeller_0631                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  5.369975003344934E-003
 -9.881287786614565E-002  0.870142812898767     
#   0.000   4000.      0.000   1.134      0.2258E-01   9.459       5.521    1.8735   0.9145   0.0000   0.00000  0.1120      0.3014E-01  10.3746   0.0000   10.34       0.000       1.0306  0.5791E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0093  24.257   0.7557  0.02667     1435  0.007   0.0000   0.9130  0.9285       24.41      0.3612E-01
   0.0087  0.0117  22.816   0.8118  0.01953     2683  0.010   0.0000   0.9376   1.326       23.46      0.5084E-01
   0.0115  0.0139  21.433   0.8422  0.01601     4244  0.013   0.0000   0.9490   1.709       22.72      0.6479E-01
   0.0142  0.0160  20.111   0.8608  0.01422     6077  0.016   0.0000   0.9545   2.077       22.09      0.7805E-01
   0.0170  0.0179  18.847   0.8731  0.01336     8143  0.019   0.0000   0.9569   2.432       21.52      0.9066E-01
   0.0198  0.0195  17.642   0.8821  0.01303    10400  0.023   0.0000   0.9575   2.773       21.00      0.1026    
   0.0226  0.0210  16.497   0.8892  0.01300    12809  0.026   0.0000   0.9571   3.100       20.49      0.1140    
   0.0253  0.0223  15.411   0.8952  0.01314    15328  0.029   0.0000   0.9561   3.414       20.01      0.1248    
   0.0281  0.0234  14.385   0.9007  0.01336    17913  0.033   0.0000   0.9548   3.714       19.54      0.1349    
   0.0309  0.0244  13.417   0.8701  0.03383    20524  0.036   0.0000   0.8869   4.000       19.08      0.1445    
   0.0337  0.0251  12.509   0.9181  0.03688    23108  0.039   0.0000   0.8817   4.283       18.69      0.1540    
   0.0365  0.0257  11.660   0.9580  0.04210    25591  0.043   0.0000   0.8712   4.610       18.56      0.1655    
   0.0393  0.0260  10.871   0.9920  0.04680    27975  0.046   0.0000   0.8618   4.915       18.36      0.1760    
   0.0420  0.0262  10.140   1.0205  0.05078    30217  0.049   0.0000   0.8537   5.197       18.09      0.1856    
   0.0448  0.0262   9.469   1.0437  0.05393    32275  0.053   0.0000   0.8469   5.456       17.77      0.1941    
   0.0476  0.0261   8.857   1.0619  0.05620    34104  0.056   0.0000   0.8414   5.691       17.41      0.2016    
   0.0504  0.0257   8.305   1.0752  0.05761    35657  0.059   0.0000   0.8370   5.902       17.01      0.2082    
   0.0531  0.0251   7.811   1.0837  0.05822    36889  0.063   0.0000   0.8337   6.092       16.59      0.2140    
   0.0559  0.0244   7.377   1.0872  0.05814    37752  0.066   0.0000   0.8311   6.262       16.16      0.2190    
   0.0587  0.0234   7.002   1.0858  0.05758    38196  0.070   0.0000   0.8290   6.420       15.74      0.2236    
   0.0615  0.0223   6.687   1.0791  0.05689    38169  0.073   0.0000   0.8268   6.579       15.36      0.2282    
   0.0643  0.0210   6.431   1.0665  0.05670    37616  0.076   0.0000   0.8233   6.763       15.08      0.2340    
   0.0670  0.0195   6.233   1.0470  0.05845    36471  0.080   0.0000   0.8155   7.037       15.04      0.2434    
   0.0698  0.0179   6.096   1.0174  0.06678    34628  0.083   0.0000   0.7951   7.589       15.63      0.2640    
   0.0726  0.0160   6.017   0.9585  0.11607    31640  0.085   0.0000   0.7102   9.422       19.14      0.3406    
