 
# QPROP Version 1.22
# 
# Propeller_0722                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.2549E-01 -0.2893E-04 -0.1212E-01   5.343    0.0977  -0.0232   0.0000   0.00000  0.5109E-02 -0.9353E-04   1.8563   0.0000  0.5222       0.000       0.0408 -0.3804E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0090  23.478   0.3993  0.25314     1400  0.007   0.0000   0.2695  0.6978       18.07      0.2973E-01
   0.0080  0.0110  20.575   0.3632  0.14759     2426  0.009   0.0000   0.3662  0.8858       16.07      0.3694E-01
   0.0103  0.0128  17.858   0.3169  0.09020     3673  0.012   0.0000   0.4381   1.027       14.29      0.4212E-01
   0.0126  0.0145  15.327   0.2693  0.05650     5112  0.015   0.0000   0.4929   1.125       12.67      0.4552E-01
   0.0149  0.0160  12.983   0.2242  0.03534     6711  0.018   0.0000   0.5389   1.183       11.18      0.4734E-01
   0.0171  0.0173  10.825   0.1832  0.02120     8438  0.021   0.0000   0.5867   1.205       9.799      0.4778E-01
   0.0194  0.0185   8.854   0.1470  0.01123    10260  0.024   0.0000   0.6549   1.195       8.528      0.4704E-01
   0.0217  0.0195   7.069   0.1160  0.00390    12144  0.027   0.0000   0.7901   1.158       7.364      0.4534E-01
   0.0241  0.0204   5.470   0.0900 -0.00163    14056  0.029   0.0000   1.1979   1.100       6.306      0.4287E-01
   0.0264  0.0211   4.057   0.0687 -0.00582    15964  0.032   0.0000  10.4234   1.026       5.357      0.3985E-01
   0.0286  0.0217   2.832   0.0517 -0.00895    17835  0.035   0.0000  -0.8507  0.9422       4.517      0.3651E-01
   0.0310  0.0221   1.792   0.0386 -0.01122    19637  0.038   0.0000  -0.3007  0.8548       3.789      0.3306E-01
   0.0333  0.0223   0.939   0.0288 -0.01274    21338  0.041   0.0000  -0.1467  0.7701       3.174      0.2974E-01
   0.0356  0.0224   0.272   0.0218 -0.01363    22908  0.044   0.0000  -0.0830  0.6942       2.675      0.2679E-01
   0.0379  0.0223  -0.208   0.0171 -0.01398    24314  0.047   0.0000  -0.0530  0.6333       2.291      0.2442E-01
   0.0402  0.0221  -0.503   0.0142 -0.01385    25526  0.049   0.0000  -0.0390  0.5932       2.022      0.2287E-01
   0.0425  0.0217  -0.610   0.0131 -0.01329    26513  0.052   0.0000  -0.0342  0.5789       1.867      0.2231E-01
   0.0447  0.0211  -0.531   0.0134 -0.01233    27243  0.055   0.0000  -0.0368  0.5944       1.818      0.2291E-01
   0.0470  0.0204  -0.266   0.0154 -0.01095    27686  0.058   0.0000  -0.0492  0.6422       1.868      0.2476E-01
   0.0493  0.0196   0.185   0.0194 -0.00907    27810  0.061   0.0000  -0.0822  0.7225       2.004      0.2785E-01
   0.0516  0.0185   0.823   0.0260 -0.00655    27584  0.064   0.0000  -0.1822  0.8326       2.207      0.3211E-01
   0.0539  0.0174   1.647   0.0358 -0.00309    26977  0.066   0.0000  -0.9884  0.9666       2.454      0.3729E-01
   0.0563  0.0160   2.658   0.0493  0.00180    25959  0.069   0.0000   0.5645   1.116       2.719      0.4309E-01
   0.0585  0.0145   3.855   0.0647  0.00889    24498  0.072   0.0000   0.2740   1.281       2.998      0.4946E-01
   0.0609  0.0129   5.238   0.0687  0.01881    22560  0.075   0.0000   0.1771   1.527       3.440      0.5899E-01
