 
# QPROP Version 1.22
# 
# Propeller_1107                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -6.615767410572343E-004
 -9.475972652755194E-002   1.21443940988887     
#   0.000   4000.      0.000  0.1726      0.1321E-02  0.5532       5.354    0.2037   0.5072   0.0000   0.00000  0.3459E-01  0.4270E-02   4.8299   0.0000   1.091       0.000       0.2209  0.7064E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0060  24.196   1.2144  0.06809      856  0.006   0.0000   0.8812   1.017       29.63      0.5182E-01
   0.0080  0.0080  22.637   1.0503  0.04954     1623  0.009   0.0000   0.8957   1.384       28.10      0.6847E-01
   0.0103  0.0099  21.144   0.9514  0.03598     2612  0.011   0.0000   0.9113   1.700       26.19      0.8132E-01
   0.0126  0.0115  19.718   0.8571  0.02764     3796  0.014   0.0000   0.9199   1.976       24.37      0.9170E-01
   0.0149  0.0130  18.357   0.7688  0.02204     5150  0.017   0.0000   0.9245   2.210       22.64      0.9987E-01
   0.0171  0.0144  17.062   0.6872  0.01808     6645  0.020   0.0000   0.9263   2.401       20.98      0.1060    
   0.0194  0.0156  15.833   0.6121  0.01517     8251  0.023   0.0000   0.9261   2.552       19.39      0.1104    
   0.0217  0.0167  14.670   0.5437  0.01298     9935  0.026   0.0000   0.9240   2.663       17.89      0.1132    
   0.0241  0.0175  13.574   0.4816  0.01130    11667  0.028   0.0000   0.9200   2.738       16.46      0.1146    
   0.0264  0.0183  12.543   0.4258  0.00999    13411  0.031   0.0000   0.9143   2.778       15.11      0.1148    
   0.0286  0.0189  11.578   0.3758  0.00896    15136  0.034   0.0000   0.9064   2.789       13.85      0.1139    
   0.0310  0.0193  10.679   0.3316  0.00816    16806  0.037   0.0000   0.8963   2.775       12.67      0.1122    
   0.0333  0.0196   9.846   0.2928  0.00753    18390  0.040   0.0000   0.8838   2.739       11.58      0.1099    
   0.0356  0.0197   9.079   0.2591  0.00704    19853  0.043   0.0000   0.8686   2.686       10.58      0.1070    
   0.0379  0.0197   8.378   0.2304  0.00666    21163  0.046   0.0000   0.8507   2.623       9.662      0.1039    
   0.0402  0.0195   7.743   0.2064  0.00637    22288  0.049   0.0000   0.8304   2.554       8.840      0.1007    
   0.0425  0.0191   7.174   0.1869  0.00616    23196  0.052   0.0000   0.8085   2.484       8.113      0.9760E-01
   0.0447  0.0187   6.670   0.1718  0.00601    23855  0.055   0.0000   0.7861   2.419       7.480      0.9477E-01
   0.0470  0.0180   6.233   0.1611  0.00592    24235  0.058   0.0000   0.7648   2.365       6.942      0.9240E-01
   0.0493  0.0172   5.862   0.1549  0.00588    24304  0.060   0.0000   0.7467   2.325       6.498      0.9067E-01
   0.0516  0.0162   5.557   0.1534  0.00590    24033  0.063   0.0000   0.7337   2.303       6.147      0.8972E-01
   0.0539  0.0151   5.318   0.1568  0.00598    23391  0.066   0.0000   0.7272   2.306       5.887      0.8972E-01
   0.0563  0.0139   5.144   0.1648  0.00612    22347  0.069   0.0000   0.7268   2.336       5.719      0.9087E-01
   0.0585  0.0124   5.037   0.1732  0.00636    20871  0.072   0.0000   0.7277   2.415       5.678      0.9390E-01
   0.0609  0.0108   4.996   0.1550  0.00682    18924  0.075   0.0000   0.7008   2.640       5.979      0.1028    
