 
# QPROP Version 1.22
# 
# Propeller_1250                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -1.444317184041005E-002
 -9.648861973173456E-002   1.26914665687258     
#   0.000   4000.      0.000   1.348      0.2907E-01   12.18       5.572    2.3830   0.9171   0.0000   0.00000  0.1079      0.2982E-01  10.7299   0.0000   13.28       0.000       1.2082  0.7072E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0087  24.219   0.9145  0.02528     1345  0.007   0.0000   0.9331  0.9777       25.72      0.3687E-01
   0.0089  0.0100  22.704   1.0390  0.01903     2335  0.010   0.0000   0.9528   1.392       24.12      0.5116E-01
   0.0119  0.0112  21.250   1.1114  0.01598     3514  0.013   0.0000   0.9613   1.783       22.96      0.6437E-01
   0.0148  0.0123  19.859   1.1558  0.01436     4864  0.017   0.0000   0.9653   2.154       22.03      0.7674E-01
   0.0177  0.0134  18.530   1.1838  0.01355     6366  0.020   0.0000   0.9671   2.509       21.25      0.8839E-01
   0.0207  0.0143  17.264   1.2012  0.01325     8002  0.024   0.0000   0.9674   2.847       20.56      0.9940E-01
   0.0236  0.0152  16.060   1.2117  0.01325     9754  0.027   0.0000   0.9669   3.170       19.94      0.1098    
   0.0266  0.0161  14.917   1.2172  0.01344    11604  0.031   0.0000   0.9658   3.479       19.36      0.1196    
   0.0295  0.0168  13.837   1.2193  0.01373    13533  0.034   0.0000   0.9643   3.773       18.83      0.1289    
   0.0324  0.0175  12.820   1.2188  0.01406    15521  0.038   0.0000   0.9626   4.053       18.32      0.1376    
   0.0354  0.0181  11.864   1.2691  0.01325    17594  0.042   0.0000   0.9646   4.226       17.39      0.1420    
   0.0383  0.0186  10.971   1.1870  0.03867    19622  0.045   0.0000   0.8956   4.529       17.18      0.1519    
   0.0413  0.0190  10.140   1.2128  0.04291    21654  0.049   0.0000   0.8863   4.818       16.95      0.1612    
   0.0442  0.0194   9.371   1.2333  0.04687    23670  0.052   0.0000   0.8774   5.092       16.69      0.1699    
   0.0471  0.0197   8.664   1.2487  0.05043    25651  0.056   0.0000   0.8690   5.351       16.41      0.1780    
   0.0501  0.0199   8.020   1.2591  0.05352    27577  0.059   0.0000   0.8611   5.597       16.13      0.1856    
   0.0530  0.0200   7.437   1.2648  0.05614    29429  0.063   0.0000   0.8539   5.832       15.84      0.1929    
   0.0559  0.0201   6.917   1.2657  0.05835    31184  0.066   0.0000   0.8470   6.060       15.57      0.1999    
   0.0589  0.0200   6.460   1.2617  0.06027    32821  0.070   0.0000   0.8404   6.287       15.32      0.2069    
   0.0618  0.0199   6.064   1.2526  0.06217    34315  0.074   0.0000   0.8336   6.526       15.13      0.2143    
   0.0648  0.0198   5.730   1.2379  0.06452    35639  0.077   0.0000   0.8258   6.797       15.03      0.2230    
   0.0677  0.0195   5.459   1.2168  0.06826    36759  0.081   0.0000   0.8155   7.138       15.11      0.2344    
   0.0707  0.0192   5.250   1.1876  0.07564    37622  0.084   0.0000   0.7992   7.637       15.54      0.2518    
   0.0736  0.0188   5.104   1.1452  0.09397    38105  0.087   0.0000   0.7667   8.525       16.79      0.2847    
   0.0765  0.0183   5.019   1.0594  0.17384    37507  0.088   0.0000   0.6603   10.93       21.50      0.3866    
