 
# QPROP Version 1.22
# 
# Propeller_1272                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.2226E-01  0.1790E-02  0.7498       5.357    0.2406   0.5817   0.0000   0.00000  0.4762E-02  0.6277E-02   1.7633   0.0000   1.289       0.000       0.0669  0.1091    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0056  0.0073  24.516   0.8299  0.04670     1094  0.006   0.0000   0.8631  0.8573       23.32      0.3979E-01
   0.0079  0.0080  23.562   0.8461  0.07428     1699  0.009   0.0000   0.7854   1.099       20.84      0.4923E-01
   0.0102  0.0086  22.624   0.8114  0.09833     2382  0.012   0.0000   0.7063   1.292       18.72      0.5638E-01
   0.0124  0.0092  21.704   0.7490  0.11712     3134  0.015   0.0000   0.6280   1.440       16.82      0.6152E-01
   0.0147  0.0097  20.800   0.6721  0.13047     3946  0.017   0.0000   0.5510   1.545       15.09      0.6485E-01
   0.0169  0.0101  19.913   0.5885  0.13910     4807  0.020   0.0000   0.4750   1.608       13.48      0.6653E-01
   0.0192  0.0105  19.043   0.5034  0.14397     5709  0.023   0.0000   0.3998   1.630       11.97      0.6667E-01
   0.0215  0.0109  18.190   0.4205  0.14604     6640  0.026   0.0000   0.3262   1.615       10.54      0.6541E-01
   0.0237  0.0112  17.354   0.3423  0.14612     7590  0.029   0.0000   0.2558   1.565       9.186      0.6285E-01
   0.0260  0.0115  16.535   0.2708  0.14489     8550  0.032   0.0000   0.1908   1.483       7.909      0.5915E-01
   0.0282  0.0118  15.733   0.2074  0.14283     9509  0.035   0.0000   0.1341   1.372       6.710      0.5445E-01
   0.0305  0.0120  14.947   0.1530  0.14028    10458  0.037   0.0000   0.0878   1.239       5.592      0.4894E-01
   0.0328  0.0121  14.179   0.1081  0.13744    11385  0.040   0.0000   0.0531   1.089       4.566      0.4287E-01
   0.0350  0.0122  13.427   0.0729  0.13437    12283  0.043   0.0000   0.0295  0.9296       3.642      0.3653E-01
   0.0373  0.0122  12.693   0.0310  0.16636    13146  0.046   0.0000   0.0058  0.6278       2.307      0.2461E-01
   0.0395  0.0123  11.975   0.0101  0.16442    13957  0.049   0.0000   0.0009  0.3692       1.278      0.1446E-01
   0.0418  0.0122  11.274   0.0074  0.15663    14706  0.051   0.0000   0.0005  0.3243       1.062      0.1270E-01
   0.0440  0.0121  10.590   0.0119  0.11734    15389  0.054   0.0000   0.0018  0.4219       1.311      0.1652E-01
   0.0463  0.0120   9.923   0.0095  0.11088    16002  0.057   0.0000   0.0013  0.3833       1.132      0.1501E-01
   0.0486  0.0118   9.273   0.0096  0.10341    16532  0.060   0.0000   0.0014  0.3922       1.105      0.1536E-01
   0.0508  0.0116   8.640   0.0121  0.09513    16970  0.063   0.0000   0.0022  0.4451       1.198      0.1743E-01
   0.0531  0.0113   8.024   0.0170  0.08636    17308  0.065   0.0000   0.0041  0.5340       1.376      0.2091E-01
   0.0553  0.0110   7.424   0.0248  0.07743    17537  0.068   0.0000   0.0081  0.6495       1.606      0.2544E-01
   0.0576  0.0106   6.842   0.0354  0.06859    17647  0.071   0.0000   0.0155  0.7846       1.864      0.3074E-01
   0.0599  0.0102   6.276   0.0413  0.05964    17629  0.074   0.0000   0.0246  0.9657       2.208      0.3785E-01
