 
# QPROP Version 1.22
# 
# Propeller_1301                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000 -0.3639E-01  0.4845E-03  0.2029       5.347    0.1380   0.2749   0.0000   0.00000 -0.4489E-02  0.8537E-03 NaN        0.0000  0.7382       0.000      -0.0406  0.6858E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0068  23.594   0.9165  0.03485     1025  0.006   0.0000   0.9102  0.9559       25.89      0.4028E-01
   0.0084  0.0083  20.902   0.8050  0.02301     1869  0.010   0.0000   0.9241   1.244       22.41      0.4965E-01
   0.0111  0.0097  18.371   0.6698  0.01727     2920  0.013   0.0000   0.9232   1.449       19.38      0.5552E-01
   0.0137  0.0110  16.001   0.5346  0.01386     4153  0.016   0.0000   0.9130   1.569       16.62      0.5827E-01
   0.0163  0.0122  13.792   0.4094  0.01162     5540  0.019   0.0000   0.8917   1.606       14.04      0.5820E-01
   0.0189  0.0132  11.744   0.2987  0.01009     7051  0.023   0.0000   0.8530   1.563       11.62      0.5556E-01
   0.0215  0.0141   9.857   0.2046  0.00903     8655  0.026   0.0000   0.7827   1.444       9.339      0.5058E-01
   0.0242  0.0149   8.131   0.1281  0.00832    10319  0.030   0.0000   0.6546   1.255       7.184      0.4349E-01
   0.0268  0.0156   6.567   0.0698  0.00791    12014  0.033   0.0000   0.4388   1.003       5.155      0.3450E-01
   0.0294  0.0162   5.163   0.0294  0.00774    13706  0.036   0.0000   0.1748  0.6972       3.252      0.2385E-01
   0.0320  0.0167   3.920   0.0064  0.00779    15367  0.039   0.0000   0.0203  0.3462       1.480      0.1181E-01
   0.0346  0.0170   2.839   0.0000  0.00804    16967  0.043   0.0000   0.0000 -0.3877E-01   179.8     -0.1322E-02
   0.0373  0.0172   1.918   0.0000  0.00836    18478  0.046   0.0000  -0.0007 -0.4259       178.4     -0.1454E-01
   0.0399  0.0173   1.159   0.0000  0.00861    19880  0.049   0.0000  -0.0022 -0.7864       177.3     -0.2688E-01
   0.0425  0.0173   0.560  -0.0859  0.00766    21162  0.052   0.0000   0.3577 -0.8884       177.1     -0.3038E-01
   0.0451  0.0172   0.123  -0.1578  0.00689    22292  0.056   0.0000   0.5330 -0.9432       177.1     -0.3225E-01
   0.0477  0.0169  -0.153  -0.1958  0.00643    23239  0.059   0.0000   0.6028 -0.9980       177.1     -0.3412E-01
   0.0503  0.0165  -0.269  -0.2001  0.00622    23978  0.062   0.0000   0.6158  -1.053       177.1     -0.3599E-01
   0.0530  0.0161  -0.223  -0.1704  0.00622    24480  0.065   0.0000   0.5771  -1.108       177.1     -0.3787E-01
   0.0556  0.0154  -0.016  -0.1068  0.00644    24720  0.068   0.0000   0.4523  -1.162       177.1     -0.3974E-01
   0.0582  0.0147   0.352  -0.0091  0.00691    24670  0.072   0.0000   0.0597  -1.217       177.1     -0.4161E-01
   0.0608  0.0139   0.881   0.0000  0.00647    24323  0.075   0.0000  -0.0011 -0.8317       178.1     -0.2840E-01
   0.0635  0.0129   1.571   0.0000  0.00601    23626  0.078   0.0000  -0.0001 -0.2464       179.5     -0.8402E-02
   0.0661  0.0118   2.422   0.0087  0.00573    22545  0.081   0.0000   0.0259  0.4881       1.011      0.1665E-01
   0.0687  0.0106   3.434   0.0503  0.00575    21053  0.085   0.0000   0.2796   1.283       2.559      0.4386E-01
