 
# QPROP Version 1.22
# 
# Propeller_1330                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.8315E-01  0.2179E-02  0.9125       5.360    0.2711   0.6279   0.0000   0.00000  0.7784E-02  0.2719E-02   2.7717   0.0000   1.453       0.000       0.1380  0.5200E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0077  24.070   1.4232  0.04241     1173  0.007   0.0000   0.9289  0.9785       26.12      0.3863E-01
   0.0087  0.0089  22.271   1.3964  0.04397     2067  0.010   0.0000   0.9188   1.321       23.13      0.4972E-01
   0.0116  0.0101  20.551   1.3077  0.04626     3141  0.013   0.0000   0.9024   1.605       20.78      0.5844E-01
   0.0144  0.0112  18.912   1.1941  0.04807     4375  0.017   0.0000   0.8819   1.835       18.78      0.6516E-01
   0.0172  0.0121  17.352   1.0717  0.04937     5743  0.020   0.0000   0.8568   2.014       17.00      0.7009E-01
   0.0200  0.0130  15.872   0.9485  0.05026     7221  0.024   0.0000   0.8263   2.143       15.38      0.7339E-01
   0.0228  0.0137  14.472   0.8288  0.05087     8784  0.027   0.0000   0.7888   2.227       13.88      0.7520E-01
   0.0256  0.0144  13.153   0.7152  0.05128    10406  0.031   0.0000   0.7432   2.266       12.47      0.7564E-01
   0.0285  0.0150  11.913   0.6094  0.05155    12063  0.034   0.0000   0.6881   2.263       11.15      0.7484E-01
   0.0313  0.0154  10.753   0.5121  0.05171    13726  0.038   0.0000   0.6226   2.223       9.914      0.7292E-01
   0.0341  0.0158   9.673   0.4239  0.05180    15371  0.042   0.0000   0.5470   2.148       8.750      0.7000E-01
   0.0369  0.0161   8.673   0.3452  0.05183    16971  0.045   0.0000   0.4629   2.043       7.658      0.6620E-01
   0.0398  0.0163   7.753   0.2759  0.05182    18501  0.049   0.0000   0.3742   1.912       6.638      0.6168E-01
   0.0426  0.0163   6.913   0.2161  0.05178    19935  0.052   0.0000   0.2867   1.760       5.691      0.5657E-01
   0.0454  0.0163   6.153   0.1654  0.05173    21248  0.056   0.0000   0.2068   1.592       4.820      0.5103E-01
   0.0482  0.0162   5.473   0.1236  0.05167    22414  0.059   0.0000   0.1399   1.415       4.028      0.4526E-01
   0.0510  0.0159   4.873   0.0901  0.05162    23410  0.063   0.0000   0.0888   1.235       3.319      0.3946E-01
   0.0538  0.0156   4.353   0.0641  0.05159    24211  0.066   0.0000   0.0533   1.061       2.699      0.3384E-01
   0.0567  0.0152   3.912   0.0450  0.05159    24794  0.070   0.0000   0.0307  0.8999       2.174      0.2869E-01
   0.0595  0.0147   3.552   0.0318  0.05164    25134  0.073   0.0000   0.0176  0.7617       1.752      0.2427E-01
   0.0623  0.0140   3.272   0.0235  0.05175    25208  0.077   0.0000   0.0107  0.6558       1.440      0.2089E-01
   0.0651  0.0133   3.072   0.0193  0.05196    24993  0.080   0.0000   0.0075  0.5919       1.244      0.1885E-01
   0.0680  0.0125   2.951   0.0188  0.05234    24464  0.084   0.0000   0.0068  0.5782       1.164      0.1841E-01
   0.0708  0.0116   2.911   0.0223  0.05297    23598  0.087   0.0000   0.0083  0.6203       1.199      0.1975E-01
   0.0736  0.0105   2.950   0.0269  0.05400    22370  0.091   0.0000   0.0112  0.7357       1.368      0.2343E-01
