 
# QPROP Version 1.22
# 
# Propeller_1347                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.1641      0.8875E-03  0.3717       5.350    0.1697   0.4094   0.0000   0.00000  0.3290E-01  0.2869E-02   4.7106   0.0000  0.9079       0.000       0.3710 -0.9198E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0094  24.128   0.3279  0.25449     1467  0.007   0.0000   0.2140  0.6524       16.73      0.2739E-01
   0.0080  0.0102  22.463   0.3842  0.17575     2243  0.009   0.0000   0.3336  0.8770       15.89      0.3651E-01
   0.0103  0.0109  20.900   0.4176  0.11970     3106  0.012   0.0000   0.4475   1.080       15.11      0.4463E-01
   0.0126  0.0115  19.440   0.4345  0.07855     4044  0.015   0.0000   0.5588   1.262       14.35      0.5177E-01
   0.0149  0.0121  18.084   0.4395  0.04826     5046  0.018   0.0000   0.6697   1.423       13.61      0.5798E-01
   0.0171  0.0127  16.831   0.4362  0.02608     6100  0.021   0.0000   0.7821   1.563       12.90      0.6333E-01
   0.0194  0.0131  15.680   0.4273  0.00995     7195  0.023   0.0000   0.8984   1.685       12.21      0.6791E-01
   0.0217  0.0135  14.633   0.4151 -0.00172     8316  0.026   0.0000   1.0215   1.790       11.57      0.7179E-01
   0.0241  0.0139  13.689   0.4012 -0.01011     9454  0.029   0.0000   1.1551   1.880       10.96      0.7511E-01
   0.0264  0.0142  12.848   0.3872 -0.01611    10594  0.032   0.0000   1.3031   1.959       10.40      0.7796E-01
   0.0286  0.0144  12.111   0.3739 -0.02036    11724  0.035   0.0000   1.4686   2.029       9.879      0.8048E-01
   0.0310  0.0146  11.476   0.3622 -0.02331    12832  0.038   0.0000   1.6519   2.092       9.414      0.8276E-01
   0.0333  0.0147  10.944   0.3528 -0.02530    13906  0.040   0.0000   1.8477   2.152       9.000      0.8494E-01
   0.0356  0.0147  10.516   0.3462 -0.02652    14933  0.043   0.0000   2.0403   2.211       8.638      0.8711E-01
   0.0379  0.0147  10.191   0.3427 -0.02712    15902  0.046   0.0000   2.2012   2.272       8.329      0.8937E-01
   0.0402  0.0147   9.968   0.3427 -0.02715    16799  0.049   0.0000   2.2931   2.337       8.068      0.9180E-01
   0.0425  0.0145   9.849   0.3462 -0.02663    17613  0.052   0.0000   2.2845   2.407       7.855      0.9446E-01
   0.0447  0.0143   9.833   0.3533 -0.02546    18331  0.055   0.0000   2.1680   2.484       7.683      0.9737E-01
   0.0470  0.0141   9.920   0.3637 -0.02347    18943  0.057   0.0000   1.9655   2.567       7.549      0.1006    
   0.0493  0.0138  10.111   0.3766 -0.02032    19437  0.060   0.0000   1.7151   2.656       7.446      0.1040    
   0.0516  0.0134  10.404   0.3906 -0.01557    19799  0.063   0.0000   1.4527   2.753       7.372      0.1078    
   0.0539  0.0130  10.800   0.4025 -0.00861    20019  0.066   0.0000   1.2027   2.861       7.334      0.1120    
   0.0563  0.0125  11.300   0.4068  0.00112    20083  0.069   0.0000   0.9788   2.993       7.359      0.1172    
   0.0585  0.0119  11.903   0.3916  0.01369    19975  0.072   0.0000   0.7874   3.191       7.541      0.1250    
   0.0609  0.0113  12.608   0.3147  0.02647    19660  0.074   0.0000   0.6277   3.659       8.342      0.1439    
