 
# QPROP Version 1.22
# 
# Propeller_1481                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  1.489682039016432E-002
 -0.103919516302818        1.30605778714592     
 GVCALC: Not converged.  Res a CL =  1.463055034434943E-002
 -0.105632975679508        1.31871984439088     
 GVCALC: Not converged.  Res a CL =  1.467216095893678E-002
 -0.106472340602886        1.32358099961869     
 GVCALC: Not converged.  Res a CL =  1.484420604357650E-002
 -0.106649268826745        1.32058047172668     
 GVCALC: Not converged.  Res a CL =  1.478548363423657E-002
 -0.106530003901675        1.30948858309634     
 GVCALC: Not converged.  Res a CL =  1.378897881467636E-002
 -0.106790881450053        1.28984596306867     
#   0.000   4000.      0.000   1.089      0.1838E-01   7.699       5.488    1.5435   0.9089   0.0000   0.00000  0.9667E-01  0.2147E-01   9.8981   0.0000   8.470       0.000       1.2892  0.3459E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0055  24.315   0.7866  0.04044      880  0.007   0.0000   0.8669  0.8492       21.57      0.3084E-01
   0.0088  0.0066  22.984   0.9071  0.02815     1552  0.010   0.0000   0.9133   1.219       20.72      0.4375E-01
   0.0117  0.0075  21.707   0.9910  0.02084     2363  0.013   0.0000   0.9385   1.578       20.14      0.5622E-01
   0.0145  0.0084  20.483   1.0554  0.01649     3296  0.017   0.0000   0.9528   1.928       19.69      0.6833E-01
   0.0174  0.0092  19.312   1.1081  0.01398     4334  0.020   0.0000   0.9610   2.271       19.32      0.8011E-01
   0.0202  0.0099  18.193   1.1530  0.01265     5462  0.024   0.0000   0.9654   2.606       18.98      0.9155E-01
   0.0231  0.0106  17.128   1.1923  0.01206     6662  0.027   0.0000   0.9676   2.933       18.67      0.1026    
   0.0259  0.0112  16.116   1.2272  0.01194     7920  0.030   0.0000   0.9684   3.250       18.36      0.1133    
   0.0288  0.0117  15.158   1.2586  0.01209     9218  0.034   0.0000   0.9683   3.557       18.06      0.1236    
   0.0317  0.0121  14.252   1.2870  0.01240    10540  0.037   0.0000   0.9678   3.853       17.76      0.1335    
   0.0345  0.0125  13.399   1.3126  0.01277    11870  0.041   0.0000   0.9670   4.137       17.45      0.1428    
   0.0374  0.0128  12.599   1.3357  0.01314    13191  0.044   0.0000   0.9661   4.408       17.13      0.1516    
   0.0403  0.0130  11.853   1.3563  0.01347    14487  0.047   0.0000   0.9652   4.664       16.79      0.1598    
   0.0431  0.0132  11.159   1.3745  0.01372    15741  0.051   0.0000   0.9644   4.904       16.45      0.1675    
   0.0460  0.0133  10.519   1.3901  0.01389    16935  0.054   0.0000   0.9637   5.129       16.09      0.1745    
   0.0488  0.0133   9.932   1.4030  0.01397    18052  0.058   0.0000   0.9631   5.336       15.72      0.1809    
   0.0517  0.0133   9.398   1.3061  0.03789    19074  0.061   0.0000   0.8972   5.528       15.35      0.1867    
   0.0545  0.0132   8.916   1.3187  0.03833    19985  0.065   0.0000   0.8949   5.702       14.97      0.1919    
   0.0574  0.0130   8.488   1.3236  0.03842    20765  0.068   0.0000   0.8929   5.862       14.59      0.1966    
   0.0603  0.0127   8.113   1.3206  0.03825    21396  0.072   0.0000   0.8909   6.013       14.22      0.2010    
   0.0631  0.0124   7.792   1.3095  0.03796    21857  0.075   0.0000   0.8887   6.165       13.90      0.2055    
   0.0660  0.0120   7.523   1.2898  0.03788    22127  0.079   0.0000   0.8857   6.335       13.64      0.2107    
   0.0689  0.0115   7.307   1.2643  0.03580    22215  0.083   0.0000   0.8861   6.399       13.17      0.2120    
   0.0717  0.0110   7.144   1.2207  0.04160    21986  0.086   0.0000   0.8706   6.945       13.77      0.2313    
   0.0746  0.0103   7.035   1.1434  0.07728    21229  0.088   0.0000   0.8031   8.796       17.14      0.3026    
