 
# QPROP Version 1.22
# 
# Propeller_1630                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.8275E-01  0.6998E-03  0.2931       5.349    0.1550   0.3537   0.0000   0.00000  0.6621E-02  0.7179E-03   2.6586   0.0000  0.8289       0.000       0.1008  0.1246E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0071  24.007   0.3079  0.35683     1186  0.007   0.0000   0.1308  0.6403       15.40      0.2108E-01
   0.0089  0.0074  22.090   0.3589  0.27288     1853  0.011   0.0000   0.1993  0.8702       13.90      0.2826E-01
   0.0119  0.0077  20.262   0.3843  0.21265     2566  0.014   0.0000   0.2534   1.065       12.71      0.3426E-01
   0.0148  0.0080  18.525   0.3920  0.16635     3322  0.018   0.0000   0.2990   1.229       11.69      0.3922E-01
   0.0177  0.0082  16.878   0.3869  0.13001     4117  0.021   0.0000   0.3383   1.363       10.77      0.4324E-01
   0.0207  0.0084  15.322   0.3722  0.10142     4946  0.025   0.0000   0.3724   1.470       9.925      0.4637E-01
   0.0236  0.0086  13.855   0.3508  0.07901     5805  0.029   0.0000   0.4014   1.550       9.133      0.4866E-01
   0.0266  0.0088  12.479   0.3248  0.06153     6692  0.032   0.0000   0.4254   1.604       8.385      0.5017E-01
   0.0295  0.0090  11.193   0.2960  0.04798     7601  0.036   0.0000   0.4440   1.635       7.676      0.5096E-01
   0.0324  0.0092   9.997   0.2658  0.03751     8529  0.040   0.0000   0.4573   1.644       7.004      0.5108E-01
   0.0354  0.0093   8.892   0.2356  0.02943     9472  0.043   0.0000   0.4653   1.633       6.369      0.5061E-01
   0.0383  0.0095   7.876   0.2063  0.02319    10426  0.047   0.0000   0.4680   1.605       5.770      0.4963E-01
   0.0413  0.0096   6.951   0.1786  0.01836    11387  0.051   0.0000   0.4658   1.563       5.211      0.4823E-01
   0.0442  0.0097   6.116   0.1533  0.01460    12352  0.054   0.0000   0.4592   1.509       4.692      0.4649E-01
   0.0471  0.0098   5.372   0.1306  0.01167    13316  0.058   0.0000   0.4491   1.447       4.216      0.4454E-01
   0.0501  0.0099   4.717   0.1110  0.00940    14275  0.062   0.0000   0.4361   1.382       3.786      0.4248E-01
   0.0530  0.0100   4.153   0.0943  0.00765    15226  0.065   0.0000   0.4211   1.316       3.405      0.4043E-01
   0.0559  0.0100   3.679   0.0808  0.00633    16166  0.069   0.0000   0.4049   1.256       3.076      0.3854E-01
   0.0589  0.0101   3.295   0.0702  0.00538    17090  0.072   0.0000   0.3882   1.204       2.801      0.3694E-01
   0.0618  0.0101   3.002   0.0626  0.00476    17994  0.076   0.0000   0.3714   1.167       2.584      0.3578E-01
   0.0648  0.0101   2.798   0.0577  0.00442    18876  0.080   0.0000   0.3553   1.148       2.427      0.3519E-01
   0.0677  0.0101   2.685   0.0556  0.00434    19732  0.083   0.0000   0.3414   1.152       2.329      0.3531E-01
   0.0707  0.0101   2.662   0.0562  0.00451    20557  0.087   0.0000   0.3316   1.183       2.292      0.3625E-01
   0.0736  0.0101   2.730   0.0592  0.00492    21349  0.091   0.0000   0.3264   1.246       2.318      0.3819E-01
   0.0765  0.0100   2.887   0.0561  0.00554    22102  0.094   0.0000   0.3031   1.381       2.471      0.4234E-01
