 
# QPROP Version 1.22
# 
# Propeller_1632                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000 -0.1024      0.4743E-02   1.987       5.381    0.4725   0.7814   0.0000   0.00000 -0.8194E-02  0.4865E-02 NaN        0.0000   2.542       0.000      -0.0823  0.6102E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0078  23.698   0.6954  0.03767     1225  0.007   0.0000   0.8696  0.9256       23.88      0.3388E-01
   0.0089  0.0093  21.216   0.6325  0.04841     2228  0.010   0.0000   0.8060   1.221       20.44      0.4257E-01
   0.0119  0.0106  18.898   0.5327  0.05515     3458  0.014   0.0000   0.7281   1.422       17.48      0.4785E-01
   0.0148  0.0119  16.743   0.4243  0.05943     4886  0.018   0.0000   0.6293   1.530       14.80      0.5010E-01
   0.0177  0.0130  14.752   0.3194  0.06227     6479  0.021   0.0000   0.5054   1.545       12.30      0.4955E-01
   0.0207  0.0140  12.925   0.2240  0.06435     8205  0.025   0.0000   0.3593   1.469       9.916      0.4632E-01
   0.0236  0.0149  11.261   0.1415  0.06617    10027  0.029   0.0000   0.2085   1.299       7.615      0.4047E-01
   0.0266  0.0156   9.761   0.0747  0.06816    11912  0.033   0.0000   0.0852   1.033       5.355      0.3191E-01
   0.0295  0.0163   8.425   0.0265  0.07085    13822  0.036   0.0000   0.0169  0.6648       3.089      0.2041E-01
   0.0324  0.0168   7.252   0.0016  0.07514    15718  0.040   0.0000   0.0001  0.1750      0.7382      0.5357E-02
   0.0354  0.0172   6.243   0.0000  0.08170    17559  0.044   0.0000  -0.0009 -0.4395       178.3     -0.1346E-01
   0.0383  0.0175   5.398  -0.0573  0.07990    19331  0.047   0.0000   0.0322 -0.8010       177.1     -0.2458E-01
   0.0413  0.0177   4.716  -0.1562  0.07189    21027  0.051   0.0000   0.0958 -0.8625       177.1     -0.2646E-01
   0.0442  0.0178   4.198  -0.2281  0.06658    22603  0.054   0.0000   0.1442 -0.9240       177.1     -0.2835E-01
   0.0471  0.0177   3.843  -0.2746  0.06304    24030  0.058   0.0000   0.1769 -0.9854       177.1     -0.3024E-01
   0.0501  0.0175   3.652  -0.2964  0.06070    25277  0.062   0.0000   0.1944  -1.047       177.1     -0.3212E-01
   0.0530  0.0172   3.625  -0.2935  0.05931    26315  0.065   0.0000   0.1965  -1.108       177.1     -0.3401E-01
   0.0559  0.0168   3.761  -0.2655  0.05888    27114  0.069   0.0000   0.1821  -1.170       177.1     -0.3590E-01
   0.0589  0.0163   4.061  -0.2112  0.05968    27643  0.072   0.0000   0.1483  -1.231       177.1     -0.3778E-01
   0.0618  0.0157   4.525  -0.1286  0.06226    27874  0.076   0.0000   0.0914  -1.293       177.1     -0.3967E-01
   0.0648  0.0149   5.152  -0.0152  0.06749    27775  0.080   0.0000   0.0087  -1.354       177.1     -0.4155E-01
   0.0677  0.0140   5.943   0.0000  0.06075    27347  0.083   0.0000  -0.0004 -0.5340       178.9     -0.1635E-01
   0.0707  0.0130   6.898   0.0088  0.05312    26500  0.087   0.0000   0.0026  0.5315       1.029      0.1627E-01
   0.0736  0.0119   8.016   0.0686  0.04934    25209  0.091   0.0000   0.0600   1.466       2.729      0.4496E-01
   0.0765  0.0107   9.298   0.1424  0.04574    23448  0.094   0.0000   0.1925   2.519       4.521      0.7757E-01
