 
# QPROP Version 1.22
# 
# Propeller_1731                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -5.786507419164129E-004
 -9.562973556809840E-002   1.16906385323443     
#   0.000   4000.      0.000  0.9159E-01  0.5238E-02   2.194       5.384    0.5114   0.7968   0.0000   0.00000  0.7329E-02  0.5374E-02   2.7970   0.0000   2.754       0.000       0.0422  0.3467E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0065  24.065   1.1691  0.06845      970  0.006   0.0000   0.8763   1.073       29.54      0.4338E-01
   0.0089  0.0093  22.264   0.9723  0.04957     2114  0.010   0.0000   0.8866   1.528       27.49      0.5944E-01
   0.0119  0.0119  20.554   0.8362  0.03748     3671  0.013   0.0000   0.8935   1.908       25.12      0.7122E-01
   0.0148  0.0143  18.933   0.7117  0.03053     5604  0.017   0.0000   0.8911   2.215       22.82      0.7978E-01
   0.0177  0.0164  17.404   0.5990  0.02639     7867  0.020   0.0000   0.8802   2.446       20.60      0.8542E-01
   0.0207  0.0184  15.965   0.4977  0.02405    10412  0.024   0.0000   0.8594   2.600       18.45      0.8843E-01
   0.0236  0.0202  14.616   0.4076  0.02295    13186  0.028   0.0000   0.8254   2.678       16.40      0.8907E-01
   0.0266  0.0218  13.358   0.3281  0.02277    16132  0.032   0.0000   0.7735   2.684       14.43      0.8758E-01
   0.0295  0.0231  12.191   0.2589  0.02328    19190  0.035   0.0000   0.6981   2.621       12.56      0.8421E-01
   0.0324  0.0243  11.114   0.1995  0.02431    22302  0.039   0.0000   0.5958   2.497       10.78      0.7920E-01
   0.0354  0.0252  10.128   0.1495  0.02571    25408  0.043   0.0000   0.4695   2.319       9.121      0.7280E-01
   0.0383  0.0260   9.232   0.1082  0.02739    28448  0.047   0.0000   0.3329   2.096       7.573      0.6530E-01
   0.0413  0.0265   8.426   0.0752  0.02922    31364  0.051   0.0000   0.2079   1.840       6.148      0.5697E-01
   0.0442  0.0269   7.712   0.0496  0.03111    34101  0.054   0.0000   0.1128   1.561       4.856      0.4813E-01
   0.0471  0.0270   7.088   0.0306  0.03297    36604  0.058   0.0000   0.0528   1.273       3.705      0.3913E-01
   0.0501  0.0269   6.554   0.0174  0.03469    38820  0.062   0.0000   0.0210  0.9899       2.708      0.3036E-01
   0.0530  0.0266   6.111   0.0089  0.03618    40698  0.065   0.0000   0.0070  0.7265       1.876      0.2226E-01
   0.0559  0.0262   5.758   0.0041  0.03736    42190  0.069   0.0000   0.0019  0.4993       1.221      0.1529E-01
   0.0589  0.0255   5.496   0.0017  0.03814    43244  0.073   0.0000   0.0004  0.3252      0.7555      0.9956E-02
   0.0618  0.0246   5.325   0.0008  0.03847    43813  0.076   0.0000   0.0001  0.2216      0.4902      0.6782E-02
   0.0648  0.0235   5.244   0.0007  0.03832    43845  0.080   0.0000   0.0001  0.2045      0.4318      0.6259E-02
   0.0677  0.0222   5.253   0.0013  0.03772    43289  0.083   0.0000   0.0003  0.2874      0.5806      0.8798E-02
   0.0707  0.0207   5.354   0.0037  0.03676    42092  0.087   0.0000   0.0014  0.4784      0.9264      0.1465E-01
   0.0736  0.0190   5.544   0.0103  0.03560    40200  0.091   0.0000   0.0066  0.7773       1.445      0.2381E-01
   0.0765  0.0170   5.825   0.0224  0.03439    37560  0.094   0.0000   0.0222   1.187       2.124      0.3639E-01
