 
# QPROP Version 1.22
# 
# Propeller_1776                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.1104      0.2643E-02   1.107       5.364    0.3076   0.6710   0.0000   0.00000  0.1443E-01  0.5006E-02   3.4714   0.0000   1.650       0.000       0.1116  0.4068E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0079  24.297   0.8728  0.04826     1170  0.006   0.0000   0.8771  0.9851       27.16      0.4305E-01
   0.0084  0.0095  22.928   0.8538  0.04542     2091  0.009   0.0000   0.8744   1.331       24.71      0.5581E-01
   0.0110  0.0111  21.609   0.7983  0.04373     3230  0.012   0.0000   0.8635   1.627       22.59      0.6603E-01
   0.0135  0.0125  20.339   0.7278  0.04315     4564  0.016   0.0000   0.8449   1.872       20.67      0.7399E-01
   0.0161  0.0138  19.119   0.6520  0.04324     6067  0.019   0.0000   0.8186   2.067       18.89      0.7988E-01
   0.0187  0.0150  17.948   0.5757  0.04371     7715  0.022   0.0000   0.7842   2.212       17.20      0.8387E-01
   0.0213  0.0161  16.827   0.5017  0.04436     9480  0.025   0.0000   0.7408   2.308       15.60      0.8610E-01
   0.0238  0.0170  15.755   0.4315  0.04508    11333  0.028   0.0000   0.6875   2.358       14.08      0.8672E-01
   0.0264  0.0178  14.732   0.3664  0.04578    13245  0.032   0.0000   0.6241   2.363       12.64      0.8588E-01
   0.0290  0.0185  13.759   0.3069  0.04639    15186  0.035   0.0000   0.5514   2.328       11.27      0.8375E-01
   0.0316  0.0191  12.835   0.2534  0.04687    17128  0.038   0.0000   0.4716   2.257       9.972      0.8050E-01
   0.0342  0.0196  11.961   0.2064  0.04718    19040  0.042   0.0000   0.3886   2.155       8.763      0.7633E-01
   0.0368  0.0199  11.137   0.1658  0.04729    20892  0.045   0.0000   0.3078   2.029       7.644      0.7148E-01
   0.0393  0.0201  10.361   0.1317  0.04718    22656  0.048   0.0000   0.2347   1.888       6.625      0.6620E-01
   0.0419  0.0202   9.635   0.1040  0.04682    24304  0.051   0.0000   0.1737   1.740       5.717      0.6081E-01
   0.0445  0.0202   8.959   0.0822  0.04617    25806  0.055   0.0000   0.1268   1.597       4.933      0.5565E-01
   0.0471  0.0201   8.332   0.0661  0.04522    27137  0.058   0.0000   0.0936   1.469       4.286      0.5112E-01
   0.0496  0.0198   7.755   0.0551  0.04397    28269  0.061   0.0000   0.0726   1.371       3.788      0.4764E-01
   0.0522  0.0194   7.227   0.0490  0.04242    29175  0.064   0.0000   0.0616   1.313       3.447      0.4560E-01
   0.0548  0.0189   6.748   0.0474  0.04065    29830  0.067   0.0000   0.0594   1.307       3.268      0.4535E-01
   0.0574  0.0183   6.319   0.0506  0.03874    30208  0.071   0.0000   0.0659   1.358       3.243      0.4713E-01
   0.0600  0.0175   5.939   0.0590  0.03682    30281  0.074   0.0000   0.0828   1.469       3.358      0.5099E-01
   0.0626  0.0167   5.609   0.0733  0.03503    30023  0.077   0.0000   0.1126   1.638       3.591      0.5689E-01
   0.0651  0.0157   5.328   0.0921  0.03345    29407  0.080   0.0000   0.1558   1.877       3.955      0.6526E-01
   0.0677  0.0146   5.097   0.0976  0.03230    28396  0.083   0.0000   0.1934   2.315       4.698      0.8064E-01
