 
# QPROP Version 1.22
# 
# Propeller_1845                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -1.872696985188507E-002
 -9.108101776348368E-002  0.872810800374044     
#   0.000   4000.      0.000   1.296      0.2275E-01   9.528       5.522    1.8865   0.9146   0.0000   0.00000  0.1151      0.2657E-01  10.7990   0.0000   10.42       0.000       0.9198  0.1882E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0067  24.565   0.6259  0.02899     1049  0.007   0.0000   0.8842  0.8964       23.10      0.3328E-01
   0.0088  0.0079  23.705   0.7278  0.02139     1863  0.010   0.0000   0.9221   1.295       22.36      0.4758E-01
   0.0117  0.0092  22.856   0.7978  0.01674     2853  0.013   0.0000   0.9423   1.685       21.84      0.6143E-01
   0.0145  0.0103  22.020   0.8501  0.01373     4002  0.017   0.0000   0.9544   2.066       21.42      0.7490E-01
   0.0174  0.0113  21.196   0.8912  0.01174     5293  0.020   0.0000   0.9620   2.439       21.05      0.8798E-01
   0.0202  0.0123  20.385   0.9243  0.01042     6710  0.023   0.0000   0.9669   2.803       20.71      0.1007    
   0.0231  0.0132  19.585   0.9513  0.00954     8235  0.027   0.0000   0.9701   3.158       20.38      0.1129    
   0.0259  0.0140  18.798   0.9735  0.00898     9851  0.030   0.0000   0.9721   3.501       20.05      0.1246    
   0.0288  0.0148  18.023   0.9914  0.00864    11542  0.033   0.0000   0.9732   3.833       19.72      0.1359    
   0.0317  0.0154  17.260   1.0057  0.00844    13290  0.037   0.0000   0.9738   4.152       19.37      0.1465    
   0.0345  0.0160  16.510   1.0165  0.00834    15078  0.040   0.0000   0.9740   4.456       19.02      0.1566    
   0.0374  0.0165  15.771   1.0241  0.00832    16889  0.044   0.0000   0.9738   4.744       18.64      0.1660    
   0.0403  0.0170  15.045   1.0286  0.00833    18705  0.047   0.0000   0.9734   5.016       18.26      0.1747    
   0.0431  0.0173  14.331   1.0300  0.00837    20508  0.051   0.0000   0.9728   5.269       17.85      0.1827    
   0.0460  0.0176  13.630   1.0284  0.00842    22281  0.054   0.0000   0.9721   5.503       17.43      0.1899    
   0.0488  0.0178  12.940   1.0235  0.00848    24004  0.058   0.0000   0.9711   5.716       16.99      0.1963    
   0.0517  0.0180  12.263   1.0152  0.00854    25659  0.061   0.0000   0.9700   5.908       16.54      0.2020    
   0.0545  0.0180  11.598   1.0029  0.00860    27228  0.065   0.0000   0.9687   6.080       16.07      0.2068    
   0.0574  0.0180  10.945   0.9860  0.00867    28689  0.068   0.0000   0.9671   6.231       15.61      0.2110    
   0.0603  0.0179  10.305   0.9634  0.00876    30022  0.072   0.0000   0.9651   6.366       15.14      0.2146    
   0.0631  0.0177   9.676   0.9329  0.00890    31206  0.075   0.0000   0.9625   6.490       14.70      0.2179    
   0.0660  0.0175   9.060   0.8910  0.00914    32217  0.079   0.0000   0.9588   6.619       14.31      0.2214    
   0.0689  0.0172   8.456   0.8728  0.00898    33076  0.082   0.0000   0.9570   6.625       13.67      0.2204    
   0.0717  0.0167   7.865   0.7646  0.03580    33538  0.086   0.0000   0.8353   7.222       14.37      0.2418    
   0.0746  0.0163   7.285   0.7143  0.08033    33249  0.087   0.0000   0.7163   9.207       18.06      0.3199    
