 
# QPROP Version 1.22
# 
# Propeller_1902                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  3.636248644144857E-003
 -9.600677725280010E-002  0.773181836585682     
#   0.000   4000.      0.000  0.9129      0.1823E-01   7.638       5.487    1.5321   0.9086   0.0000   0.00000  0.1265      0.3714E-01  10.1293   0.0000   8.406       0.000       0.8466  0.6343E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0071  24.427   0.8170  0.03846     1053  0.006   0.0000   0.8945  0.9890       27.46      0.4410E-01
   0.0083  0.0093  23.299   0.8405  0.02882     1989  0.009   0.0000   0.9197   1.391       26.52      0.6098E-01
   0.0109  0.0113  22.196   0.8475  0.02396     3174  0.012   0.0000   0.9317   1.777       25.71      0.7684E-01
   0.0134  0.0131  21.118   0.8469  0.02113     4578  0.015   0.0000   0.9381   2.147       24.97      0.9171E-01
   0.0159  0.0147  20.065   0.8424  0.01935     6172  0.018   0.0000   0.9417   2.500       24.27      0.1056    
   0.0185  0.0162  19.037   0.8356  0.01816     7925  0.021   0.0000   0.9435   2.837       23.58      0.1186    
   0.0210  0.0176  18.034   0.8275  0.01734     9804  0.024   0.0000   0.9443   3.156       22.91      0.1306    
   0.0236  0.0187  17.056   0.8186  0.01677    11779  0.027   0.0000   0.9443   3.458       22.26      0.1417    
   0.0261  0.0198  16.104   0.7732  0.03563    13815  0.030   0.0000   0.8794   3.741       21.60      0.1519    
   0.0286  0.0206  15.176   0.7944  0.03599    15888  0.033   0.0000   0.8784   3.995       20.89      0.1607    
   0.0312  0.0213  14.273   0.8114  0.03945    17910  0.036   0.0000   0.8692   4.296       20.57      0.1721    
   0.0337  0.0218  13.396   0.8261  0.04290    19892  0.039   0.0000   0.8596   4.579       20.22      0.1826    
   0.0363  0.0222  12.543   0.8386  0.04619    21800  0.042   0.0000   0.8502   4.843       19.82      0.1921    
   0.0388  0.0224  11.716   0.8490  0.04923    23601  0.045   0.0000   0.8410   5.086       19.38      0.2006    
   0.0413  0.0224  10.913   0.8573  0.05192    25260  0.048   0.0000   0.8321   5.306       18.90      0.2081    
   0.0439  0.0223  10.136   0.8636  0.05423    26742  0.051   0.0000   0.8236   5.502       18.39      0.2145    
   0.0464  0.0220   9.384   0.8679  0.05615    28011  0.054   0.0000   0.8154   5.674       17.86      0.2199    
   0.0490  0.0215   8.656   0.8702  0.05771    29029  0.058   0.0000   0.8074   5.822       17.30      0.2242    
   0.0515  0.0209   7.954   0.8705  0.05898    29757  0.061   0.0000   0.7995   5.947       16.73      0.2277    
   0.0540  0.0202   7.277   0.8686  0.06013    30157  0.064   0.0000   0.7911   6.054       16.17      0.2304    
   0.0566  0.0192   6.625   0.8644  0.06148    30187  0.067   0.0000   0.7816   6.154       15.65      0.2330    
   0.0591  0.0181   5.998   0.8576  0.06370    29801  0.070   0.0000   0.7696   6.270       15.21      0.2364    
   0.0617  0.0169   5.396   0.8474  0.06839    28946  0.073   0.0000   0.7520   6.460       15.01      0.2431    
   0.0642  0.0154   4.819   0.8311  0.08087    27539  0.076   0.0000   0.7196   6.898       15.44      0.2606    
   0.0667  0.0139   4.267   0.7932  0.13936    25233  0.078   0.0000   0.6198   8.513       18.76      0.3334    
