 
# QPROP Version 1.22
# 
# Propeller_1925                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000 -0.9120E-03  0.3397E-02   1.423       5.370    0.3668   0.7224   0.0000   0.00000 -0.8538E-04  0.4240E-02 NaN        0.0000   1.970       0.000      -0.0006  0.4799E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0087  23.745   1.1771  0.04365     1335  0.007   0.0000   0.9110  0.9565       25.30      0.3725E-01
   0.0087  0.0118  21.343   0.9911  0.04845     2750  0.010   0.0000   0.8762   1.291       22.45      0.4810E-01
   0.0116  0.0147  19.089   0.8103  0.04997     4620  0.013   0.0000   0.8349   1.543       19.81      0.5547E-01
   0.0144  0.0174  16.980   0.6447  0.05006     6897  0.017   0.0000   0.7810   1.709       17.30      0.5966E-01
   0.0172  0.0199  15.017   0.4971  0.04946     9529  0.020   0.0000   0.7084   1.787       14.88      0.6091E-01
   0.0200  0.0221  13.201   0.3687  0.04861    12456  0.024   0.0000   0.6098   1.779       12.56      0.5944E-01
   0.0228  0.0241  11.531   0.2596  0.04781    15615  0.028   0.0000   0.4805   1.686       10.32      0.5544E-01
   0.0256  0.0259  10.007   0.1697  0.04734    18940  0.031   0.0000   0.3262   1.511       8.170      0.4910E-01
   0.0285  0.0274   8.629   0.0991  0.04742    22364  0.035   0.0000   0.1733   1.261       6.104      0.4059E-01
   0.0313  0.0287   7.397   0.0474  0.04827    25820  0.038   0.0000   0.0613  0.9406       4.126      0.3010E-01
   0.0341  0.0298   6.312   0.0147  0.05007    29242  0.042   0.0000   0.0098  0.5581       2.240      0.1779E-01
   0.0369  0.0306   5.372   0.0006  0.05298    32565  0.045   0.0000   0.0000  0.1220      0.4519      0.3883E-02
   0.0398  0.0312   4.579   0.0000  0.05673    35729  0.049   0.0000  -0.0004 -0.3416       178.8     -0.1088E-01
   0.0426  0.0316   3.932   0.0000  0.06004    38682  0.052   0.0000  -0.0019 -0.7732       177.5     -0.2466E-01
   0.0454  0.0317   3.432  -0.0517  0.05774    41402  0.056   0.0000   0.0405 -0.9491       177.1     -0.3029E-01
   0.0482  0.0316   3.077  -0.1050  0.05430    43833  0.059   0.0000   0.0860  -1.008       177.1     -0.3217E-01
   0.0510  0.0312   2.869  -0.1276  0.05225    45905  0.063   0.0000   0.1066  -1.067       177.1     -0.3405E-01
   0.0538  0.0307   2.807  -0.1197  0.05132    47562  0.066   0.0000   0.1023  -1.126       177.1     -0.3593E-01
   0.0567  0.0299   2.891  -0.0815  0.05142    48747  0.070   0.0000   0.0712  -1.185       177.1     -0.3781E-01
   0.0595  0.0288   3.121  -0.0130  0.05257    49403  0.073   0.0000   0.0098  -1.244       177.1     -0.3969E-01
   0.0623  0.0276   3.497   0.0000  0.04878    49509  0.077   0.0000  -0.0011 -0.8468       178.1     -0.2698E-01
   0.0651  0.0261   4.020   0.0000  0.04391    48963  0.080   0.0000   0.0000 -0.1728       179.6     -0.5499E-02
   0.0680  0.0243   4.689   0.0124  0.03985    47679  0.084   0.0000   0.0066  0.6551       1.319      0.2086E-01
   0.0708  0.0224   5.503   0.0608  0.03724    45605  0.087   0.0000   0.0743   1.503       2.909      0.4795E-01
   0.0736  0.0202   6.465   0.1077  0.03466    42670  0.090   0.0000   0.2023   2.585       4.828      0.8287E-01
