 
# QPROP Version 1.22
# 
# Propeller_1974                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  4.662194624437926E-002
 -9.573294495242929E-002 -0.279054530670102     
#   0.000   4000.      0.000 -0.6373E-01  0.3151E-02   1.320       5.368    0.3475   0.7076   0.0000   0.00000 -0.5658E-02  0.3681E-02 NaN        0.0000   1.865       0.000      -0.0687  0.6041E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0065  23.340   0.3377  0.36080     1067  0.007   0.0000   0.1446  0.6359       15.40      0.2149E-01
   0.0088  0.0074  20.176   0.3051  0.26196     1820  0.011   0.0000   0.1688  0.7987       12.86      0.2640E-01
   0.0117  0.0082  17.216   0.2540  0.19890     2705  0.014   0.0000   0.1663  0.8955       10.77      0.2915E-01
   0.0145  0.0090  14.463   0.1982  0.15741     3705  0.018   0.0000   0.1444  0.9311       8.921      0.2997E-01
   0.0174  0.0097  11.915   0.1440  0.12961     4803  0.021   0.0000   0.1094  0.9078       7.225      0.2897E-01
   0.0202  0.0103   9.573   0.0954  0.11073     5982  0.025   0.0000   0.0693  0.8272       5.629      0.2624E-01
   0.0231  0.0109   7.436   0.0547  0.09770     7226  0.028   0.0000   0.0337  0.6903       4.103      0.2179E-01
   0.0259  0.0114   5.505   0.0240  0.08853     8516  0.032   0.0000   0.0102  0.4973       2.625      0.1565E-01
   0.0288  0.0118   3.780   0.0051  0.08188     9834  0.035   0.0000   0.0009  0.2475       1.175      0.7778E-02
   0.0317  0.0122   2.260   0.0000  0.07695    11162  0.039   0.0000   0.0000 -0.6135E-01   179.7     -0.1927E-02
   0.0345  0.0125   0.946   0.0000  0.07296    12484  0.043   0.0000  -0.0008 -0.3973       178.4     -0.1249E-01
   0.0374  0.0128  -0.163   0.0000  0.06953    13784  0.046   0.0000  -0.0022 -0.7323       177.3     -0.2305E-01
   0.0403  0.0130  -1.065  -0.0555  0.06549    15059  0.050   0.0000   0.0383 -0.8416       177.1     -0.2650E-01
   0.0431  0.0131  -1.763  -0.1106  0.06291    16287  0.053   0.0000   0.0786 -0.9014       177.1     -0.2839E-01
   0.0460  0.0132  -2.254  -0.1511  0.06124    17453  0.057   0.0000   0.1077 -0.9612       177.1     -0.3027E-01
   0.0488  0.0132  -2.540  -0.1764  0.05982    18539  0.060   0.0000   0.1264  -1.021       177.1     -0.3215E-01
   0.0517  0.0131  -2.620  -0.2791  0.09214    19530  0.064   0.0000  -0.1816   1.081       2.865      0.3403E-01
   0.0545  0.0130  -2.495  -0.1795  0.05643    20410  0.067   0.0000   0.1352  -1.141       177.1     -0.3592E-01
   0.0574  0.0128  -2.164  -0.1565  0.05440    21163  0.071   0.0000   0.1237  -1.200       177.1     -0.3780E-01
   0.0603  0.0125  -1.627  -0.1166  0.05252    21774  0.074   0.0000   0.0977  -1.260       177.1     -0.3968E-01
   0.0631  0.0122  -0.885  -0.0593  0.05137    22227  0.078   0.0000   0.0523  -1.320       177.1     -0.4157E-01
   0.0660  0.0118   0.063   0.0000  0.05137    22509  0.081   0.0000  -0.0022  -1.289       177.3     -0.4059E-01
   0.0689  0.0114   1.216   0.0000  0.05057    22614  0.085   0.0000  -0.0007 -0.7873       178.4     -0.2475E-01
   0.0717  0.0109   2.576   0.0000  0.04995    22505  0.088   0.0000   0.0000 -0.1317       179.7     -0.4137E-02
   0.0746  0.0103   4.140   0.0129  0.04992    22162  0.092   0.0000   0.0046  0.6060       1.112      0.1904E-01
