 
# QPROP Version 1.22
# 
# Propeller_2215                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  5.368474346978847E-003
 -9.735757230836962E-002  0.786537723764644     
 GVCALC: Not converged.  Res a CL =  5.139395426835780E-003
 -9.786820601281976E-002  0.793605796303517     
 GVCALC: Not converged.  Res a CL =  5.591049340128385E-003
 -9.768707538631481E-002  0.797558551581922     
 GVCALC: Not converged.  Res a CL =  6.430391650370293E-003
 -9.706468184923694E-002  0.798339881582676     
 GVCALC: Not converged.  Res a CL =  7.046230697082795E-003
 -9.647703853938658E-002  0.795826002337005     
 GVCALC: Not converged.  Res a CL =  6.197373735872730E-003
 -9.693242472495554E-002  0.789755862342657     
#   0.000   4000.      0.000  0.3142      0.3610E-02   1.512       5.372    0.3835   0.7340   0.0000   0.00000  0.6297E-01  0.1167E-01   6.5171   0.0000   2.060       0.000       0.8098  0.2651E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0059  24.097   1.1519  0.04038      901  0.006   0.0000   0.9052  0.8033       21.38      0.3567E-01
   0.0080  0.0077  22.356   1.1274  0.02669     1661  0.009   0.0000   0.9318   1.087       20.37      0.4761E-01
   0.0103  0.0094  20.700   1.0937  0.01950     2614  0.012   0.0000   0.9460   1.351       19.50      0.5854E-01
   0.0126  0.0109  19.130   1.0576  0.01553     3739  0.015   0.0000   0.9537   1.597       18.71      0.6855E-01
   0.0149  0.0123  17.644   1.0221  0.01331     5010  0.017   0.0000   0.9574   1.826       17.98      0.7772E-01
   0.0171  0.0136  16.244   0.9883  0.01211     6404  0.020   0.0000   0.9585   2.039       17.29      0.8611E-01
   0.0194  0.0147  14.930   0.9570  0.01153     7896  0.023   0.0000   0.9578   2.236       16.65      0.9379E-01
   0.0217  0.0157  13.701   0.9285  0.01132     9460  0.026   0.0000   0.9559   2.419       16.04      0.1008    
   0.0241  0.0166  12.557   0.9030  0.01134    11071  0.029   0.0000   0.9533   2.589       15.46      0.1073    
   0.0264  0.0173  11.498   0.8806  0.01147    12703  0.031   0.0000   0.9501   2.746       14.92      0.1133    
   0.0286  0.0179  10.525   0.8615  0.01166    14330  0.034   0.0000   0.9466   2.893       14.41      0.1188    
   0.0310  0.0184   9.637   0.8456  0.01187    15926  0.037   0.0000   0.9432   3.030       13.93      0.1238    
   0.0333  0.0187   8.834   0.8331  0.01206    17464  0.040   0.0000   0.9398   3.158       13.48      0.1286    
   0.0356  0.0190   8.117   0.8238  0.01220    18919  0.043   0.0000   0.9368   3.279       13.06      0.1330    
   0.0379  0.0190   7.485   0.8178  0.01230    20263  0.045   0.0000   0.9341   3.393       12.67      0.1373    
   0.0402  0.0190   6.938   0.8150  0.01234    21471  0.048   0.0000   0.9320   3.503       12.31      0.1413    
   0.0425  0.0188   6.477   0.8152  0.01233    22515  0.051   0.0000   0.9305   3.610       11.98      0.1452    
   0.0447  0.0185   6.101   0.7865  0.03175    23370  0.054   0.0000   0.8296   3.716       11.68      0.1492    
   0.0470  0.0181   5.810   0.7936  0.03179    24008  0.057   0.0000   0.8277   3.824       11.42      0.1533    
   0.0493  0.0175   5.604   0.7976  0.03163    24403  0.060   0.0000   0.8266   3.939       11.20      0.1576    
   0.0516  0.0168   5.484   0.7983  0.03135    24527  0.062   0.0000   0.8261   4.068       11.05      0.1626    
   0.0539  0.0160   5.450   0.7958  0.03116    24352  0.065   0.0000   0.8257   4.225       10.98      0.1688    
   0.0563  0.0150   5.500   0.7898  0.03146    23848  0.068   0.0000   0.8242   4.434       11.05      0.1772    
   0.0585  0.0139   5.636   0.7797  0.03298    22982  0.071   0.0000   0.8193   4.743       11.38      0.1900    
   0.0609  0.0127   5.857   0.7545  0.05714    21520  0.073   0.0000   0.7565   6.116       14.34      0.2509    
