 
# QPROP Version 1.22
# 
# Propeller_2276                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  1.308931982286818E-002
 -0.100676952470431        1.11269480379720     
 GVCALC: Not converged.  Res a CL =  9.163288845898898E-003
 -0.102409918965938        1.06442412127644     
#   0.000   4000.      0.000  0.8424      0.1196E-01   5.010       5.437    1.0394   0.8865   0.0000   0.00000  0.8320E-01  0.1597E-01   8.9411   0.0000   5.652       0.000       1.2255  0.2226E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0066  24.344   0.9348  0.03209     1033  0.007   0.0000   0.9116  0.8865       22.97      0.3374E-01
   0.0087  0.0078  23.062   1.0608  0.02350     1799  0.010   0.0000   0.9393   1.257       21.89      0.4709E-01
   0.0115  0.0088  21.823   1.1439  0.01828     2717  0.013   0.0000   0.9543   1.612       21.12      0.5978E-01
   0.0142  0.0098  20.625   1.2037  0.01505     3766  0.016   0.0000   0.9631   1.956       20.51      0.7192E-01
   0.0170  0.0107  19.469   1.2493  0.01308     4928  0.020   0.0000   0.9683   2.288       19.98      0.8355E-01
   0.0198  0.0115  18.355   1.2851  0.01194     6185  0.023   0.0000   0.9712   2.607       19.49      0.9466E-01
   0.0226  0.0122  17.283   1.3137  0.01133     7516  0.026   0.0000   0.9727   2.915       19.03      0.1052    
   0.0253  0.0129  16.253   1.3365  0.01107     8903  0.030   0.0000   0.9733   3.209       18.59      0.1152    
   0.0281  0.0134  15.264   1.3545  0.01103    10327  0.033   0.0000   0.9732   3.488       18.15      0.1246    
   0.0309  0.0139  14.318   1.3683  0.01111    11767  0.036   0.0000   0.9727   3.753       17.71      0.1334    
   0.0337  0.0142  13.413   1.3781  0.01126    13205  0.040   0.0000   0.9719   4.000       17.27      0.1415    
   0.0365  0.0145  12.550   1.3841  0.01143    14621  0.043   0.0000   0.9710   4.230       16.81      0.1489    
   0.0393  0.0147  11.730   1.3864  0.01160    15994  0.046   0.0000   0.9699   4.441       16.35      0.1556    
   0.0420  0.0148  10.950   1.3849  0.01174    17304  0.050   0.0000   0.9687   4.632       15.87      0.1615    
   0.0448  0.0149  10.213   1.3795  0.01185    18530  0.053   0.0000   0.9674   4.802       15.39      0.1667    
   0.0476  0.0148   9.518   1.3700  0.01192    19653  0.057   0.0000   0.9661   4.951       14.89      0.1710    
   0.0504  0.0147   8.864   1.3561  0.01194    20650  0.060   0.0000   0.9646   5.079       14.39      0.1746    
   0.0531  0.0145   8.253   1.3373  0.01194    21499  0.064   0.0000   0.9630   5.185       13.88      0.1775    
   0.0559  0.0141   7.683   1.3130  0.01191    22180  0.067   0.0000   0.9612   5.272       13.37      0.1797    
   0.0587  0.0137   7.155   1.2819  0.01189    22670  0.071   0.0000   0.9590   5.343       12.88      0.1814    
   0.0615  0.0133   6.669   1.2423  0.01190    22945  0.074   0.0000   0.9563   5.405       12.41      0.1828    
   0.0643  0.0127   6.225   1.1127  0.03373    22983  0.077   0.0000   0.8695   5.472       11.99      0.1845    
   0.0670  0.0120   5.823   1.0644  0.03437    22757  0.081   0.0000   0.8592   5.573       11.69      0.1875    
   0.0698  0.0113   5.462   1.0059  0.03660    22238  0.084   0.0000   0.8434   5.776       11.63      0.1942    
   0.0726  0.0104   5.144   0.9223  0.06292    21206  0.087   0.0000   0.7734   7.204       14.14      0.2472    
