 
# QPROP Version 1.22
# 
# Propeller_2312                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  2.742016979633403E-002
 -7.982878742319585E-002 -0.135742958980953     
 GVCALC: Not converged.  Res a CL =  2.960562620794597E-002
 -9.267898333968747E-002 -0.133488866384471     
 GVCALC: Not converged.  Res a CL =  3.234925649679306E-002
 -0.101908039689162      -0.134786695566982     
 GVCALC: Not converged.  Res a CL =  3.575459658385370E-002
 -0.107515956471620      -0.139640245359640     
 GVCALC: Not converged.  Res a CL =  3.990222698264093E-002
 -0.109502733687061      -0.148055298921342     
 GVCALC: Not converged.  Res a CL =  4.484333024278662E-002
 -0.107868371335485      -0.160041089234471     
 GVCALC: Not converged.  Res a CL =  5.059287175786687E-002
 -0.102612869416892      -0.175610137284465     
#   0.000   4000.      0.000 -0.4339E-01  0.2667E-02   1.117       5.364    0.3094   0.6729   0.0000   0.00000 -0.3852E-02  0.3115E-02 NaN        0.0000   1.660       0.000      -0.0379  0.4732E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0088  23.309   0.5349  0.04662     1409  0.007   0.0000   0.7815  0.7999       20.05      0.2847E-01
   0.0088  0.0102  20.083   0.4799  0.05431     2482  0.010   0.0000   0.7038   1.025       16.92      0.3519E-01
   0.0117  0.0116  17.065   0.3979  0.05482     3775  0.014   0.0000   0.6262   1.167       14.29      0.3904E-01
   0.0145  0.0129  14.254   0.3122  0.05324     5259  0.017   0.0000   0.5341   1.232       11.96      0.4045E-01
   0.0174  0.0140  11.650   0.2325  0.05162     6906  0.021   0.0000   0.4222   1.228       9.862      0.3973E-01
   0.0202  0.0150   9.254   0.1629  0.05052     8686  0.025   0.0000   0.2968   1.159       7.938      0.3712E-01
   0.0231  0.0160   7.066   0.1053  0.04992    10570  0.028   0.0000   0.1760   1.032       6.162      0.3280E-01
   0.0259  0.0168   5.084   0.0603  0.04959    12528  0.032   0.0000   0.0819  0.8527       4.513      0.2695E-01
   0.0288  0.0175   3.311   0.0279  0.04929    14530  0.035   0.0000   0.0259  0.6256       2.975      0.1970E-01
   0.0317  0.0181   1.745   0.0079  0.04885    16548  0.039   0.0000   0.0036  0.3557       1.537      0.1118E-01
   0.0345  0.0186   0.386   0.0001  0.04822    18553  0.043   0.0000   0.0000  0.4728E-01  0.1873      0.1485E-02
   0.0374  0.0190  -0.765   0.0000  0.04741    20518  0.046   0.0000  -0.0003 -0.2805       179.0     -0.8814E-02
   0.0403  0.0193  -1.709  -0.1357  0.06458    22403  0.050   0.0000  -0.1203  0.8416       2.865      0.2650E-01
   0.0431  0.0195  -2.445  -0.1335  0.06792    24227  0.053   0.0000  -0.1119  0.9014       2.865      0.2839E-01
   0.0460  0.0196  -2.974  -0.1348  0.07021    25940  0.057   0.0000  -0.1090  0.9612       2.865      0.3027E-01
   0.0488  0.0196  -3.295  -0.1396  0.07106    27516  0.060   0.0000  -0.1118   1.021       2.865      0.3215E-01
   0.0517  0.0194  -3.409  -0.1481  0.07025    28929  0.064   0.0000  -0.1207   1.081       2.865      0.3403E-01
   0.0545  0.0192  -3.316  -0.1600  0.06777    30153  0.067   0.0000  -0.1369   1.141       2.865      0.3592E-01
   0.0574  0.0189  -3.014  -0.1756  0.06377    31161  0.071   0.0000  -0.1627   1.200       2.865      0.3780E-01
   0.0603  0.0184  -2.506   0.0000  0.03708    31940  0.074   0.0000  -0.0017  -1.045       177.6     -0.3287E-01
   0.0631  0.0178  -1.790   0.0000  0.03531    32454  0.078   0.0000  -0.0007 -0.6939       178.5     -0.2181E-01
   0.0660  0.0172  -0.866   0.0000  0.03343    32667  0.081   0.0000  -0.0001 -0.1992       179.6     -0.6258E-02
   0.0689  0.0164   0.265   0.0055  0.03140    32546  0.085   0.0000   0.0023  0.4182      0.8310      0.1314E-01
   0.0717  0.0155   1.603   0.0352  0.02919    32063  0.088   0.0000   0.0396   1.057       2.018      0.3324E-01
   0.0746  0.0145   3.149   0.0723  0.02689    31188  0.092   0.0000   0.1334   1.828       3.360      0.5761E-01
