 
# QPROP Version 1.22
# 
# Propeller_2392                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.6727      0.1076E-01   4.508       5.428    0.9453   0.8786   0.0000   0.00000  0.1348      0.3480E-01   9.5367   0.0000   5.131       0.000       0.9022  0.9582E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0104  24.499   0.7826  0.02550     1516  0.006   0.0000   0.9239  0.9513       26.75      0.4594E-01
   0.0080  0.0131  23.531   0.8126  0.01920     2707  0.009   0.0000   0.9426   1.306       25.83      0.6208E-01
   0.0103  0.0156  22.608   0.8267  0.01580     4181  0.011   0.0000   0.9522   1.648       25.08      0.7736E-01
   0.0126  0.0179  21.732   0.8338  0.01371     5903  0.014   0.0000   0.9578   1.978       24.41      0.9186E-01
   0.0149  0.0200  20.902   0.8377  0.01230     7841  0.017   0.0000   0.9615   2.297       23.80      0.1056    
   0.0171  0.0219  20.117   0.8402  0.01129     9957  0.019   0.0000   0.9640   2.604       23.23      0.1187    
   0.0194  0.0236  19.379   0.8425  0.01054    12216  0.022   0.0000   0.9659   2.900       22.70      0.1312    
   0.0217  0.0251  18.686   0.8453  0.00994    14581  0.025   0.0000   0.9673   3.186       22.19      0.1431    
   0.0241  0.0264  18.040   0.8488  0.00946    17014  0.028   0.0000   0.9685   3.462       21.71      0.1544    
   0.0264  0.0275  17.439   0.8536  0.00905    19479  0.030   0.0000   0.9695   3.728       21.24      0.1652    
   0.0286  0.0284  16.884   0.8597  0.00868    21937  0.033   0.0000   0.9704   3.984       20.80      0.1755    
   0.0310  0.0291  16.375   0.8672  0.00835    24350  0.036   0.0000   0.9712   4.231       20.37      0.1854    
   0.0333  0.0296  15.912   0.8762  0.00805    26678  0.039   0.0000   0.9721   4.470       19.97      0.1948    
   0.0356  0.0299  15.495   0.8866  0.00777    28883  0.041   0.0000   0.9729   4.701       19.57      0.2039    
   0.0379  0.0300  15.124   0.8983  0.00750    30926  0.044   0.0000   0.9738   4.925       19.20      0.2126    
   0.0402  0.0299  14.799   0.9112  0.00724    32766  0.047   0.0000   0.9746   5.142       18.85      0.2211    
   0.0425  0.0296  14.520   0.9247  0.00700    34362  0.050   0.0000   0.9754   5.356       18.52      0.2294    
   0.0447  0.0291  14.286   0.9383  0.00679    35675  0.052   0.0000   0.9762   5.568       18.22      0.2376    
   0.0470  0.0284  14.099   0.9512  0.00660    36663  0.055   0.0000   0.9768   5.781       17.96      0.2460    
   0.0493  0.0275  13.957   0.9619  0.00646    37284  0.058   0.0000   0.9773   6.000       17.74      0.2547    
   0.0516  0.0264  13.862   0.9679  0.00639    37494  0.061   0.0000   0.9776   6.235       17.60      0.2642    
   0.0539  0.0251  13.812   0.9649  0.00642    37246  0.063   0.0000   0.9774   6.499       17.56      0.2753    
   0.0563  0.0236  13.808   0.9437  0.00665    36489  0.066   0.0000   0.9762   6.825       17.70      0.2895    
   0.0585  0.0219  13.851   0.8811  0.00739    35145  0.069   0.0000   0.9724   7.285       18.22      0.3109    
   0.0609  0.0200  13.939   0.7036  0.03534    32921  0.070   0.0000   0.8646   8.329       20.40      0.3651    
