 
# QPROP Version 1.22
# 
# Propeller_2418                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -9.905626812728982E-003
 -9.285532621922099E-002  0.933312852420791     
#   0.000   4000.      0.000  0.5338      0.7431E-02   3.112       5.402    0.6836   0.8429   0.0000   0.00000  0.1004      0.2218E-01   8.3602   0.0000   3.693       0.000       0.8977  0.2792E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0056  23.960   0.9123  0.03713      820  0.006   0.0000   0.9046  0.9347       25.96      0.4382E-01
   0.0080  0.0067  21.977   0.9329  0.02911     1406  0.009   0.0000   0.9220   1.256       24.23      0.5723E-01
   0.0104  0.0077  20.120   0.9247  0.02518     2116  0.012   0.0000   0.9285   1.551       22.84      0.6919E-01
   0.0127  0.0086  18.391   0.9041  0.02312     2937  0.015   0.0000   0.9299   1.822       21.64      0.7993E-01
   0.0150  0.0095  16.789   0.8786  0.02205     3853  0.017   0.0000   0.9285   2.073       20.59      0.8964E-01
   0.0174  0.0103  15.315   0.8521  0.02151     4850  0.020   0.0000   0.9256   2.304       19.65      0.9846E-01
   0.0197  0.0110  13.967   0.8266  0.02125     5912  0.023   0.0000   0.9217   2.519       18.81      0.1065    
   0.0221  0.0116  12.747   0.8036  0.02112     7024  0.026   0.0000   0.9174   2.720       18.04      0.1140    
   0.0244  0.0122  11.654   0.7716  0.04020     8175  0.029   0.0000   0.8422   2.889       17.22      0.1200    
   0.0267  0.0126  10.689   0.7914  0.04422     9319  0.031   0.0000   0.8309   3.128       16.98      0.1296    
   0.0291  0.0130   9.851   0.8084  0.04777    10467  0.034   0.0000   0.8208   3.355       16.72      0.1386    
   0.0314  0.0134   9.140   0.8230  0.05050    11601  0.037   0.0000   0.8128   3.569       16.43      0.1470    
   0.0338  0.0136   8.556   0.8351  0.05216    12709  0.040   0.0000   0.8074   3.769       16.11      0.1548    
   0.0361  0.0138   8.100   0.8451  0.05258    13775  0.043   0.0000   0.8051   3.955       15.77      0.1618    
   0.0384  0.0138   7.771   0.8529  0.05169    14782  0.046   0.0000   0.8061   4.124       15.41      0.1681    
   0.0408  0.0138   7.569   0.8586  0.04952    15717  0.049   0.0000   0.8104   4.276       15.03      0.1737    
   0.0431  0.0138   7.494   0.8621  0.04618    16562  0.051   0.0000   0.8181   4.411       14.62      0.1785    
   0.0454  0.0136   7.547   0.8635  0.04186    17301  0.054   0.0000   0.8290   4.528       14.20      0.1826    
   0.0478  0.0134   7.727   0.8625  0.03686    17919  0.057   0.0000   0.8426   4.630       13.78      0.1860    
   0.0501  0.0131   8.035   0.9333  0.01285    18398  0.060   0.0000   0.9421   4.719       13.35      0.1889    
   0.0525  0.0127   8.469   0.9393  0.01244    18667  0.063   0.0000   0.9452   5.038       13.64      0.2022    
   0.0548  0.0122   9.031   0.9807  0.01141    18780  0.066   0.0000   0.9519   5.300       13.75      0.2129    
   0.0571  0.0117   9.720   1.0097  0.01069    18691  0.068   0.0000   0.9569   5.639       14.05      0.2271    
   0.0595  0.0111  10.537   0.9985  0.01064    18365  0.071   0.0000   0.9585   6.146       14.78      0.2491    
   0.0618  0.0104  11.480   0.8301  0.01342    17703  0.073   0.0000   0.9447   7.189       16.86      0.2974    
