 
# QPROP Version 1.22
# 
# Propeller_2436                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  3.360740028319714E-002
 -0.106903436118723        1.62440998338500     
 GVCALC: Not converged.  Res a CL =  3.396662782879772E-002
 -0.108780437000106        1.63026519162164     
 GVCALC: Not converged.  Res a CL =  3.432018193189357E-002
 -0.109540548597977        1.62461277736261     
 GVCALC: Not converged.  Res a CL = -4.986731374907100E-002
 -9.613886980696398E-002   1.87314802219764     
 GVCALC: Not converged.  Res a CL = -5.017979532622530E-002
 -9.532022898888540E-002   1.83703724480464     
 GVCALC: Not converged.  Res a CL =  3.342632744080498E-002
 -0.107051650807162        1.53547940494807     
 GVCALC: Not converged.  Res a CL =  3.094227241612474E-002
 -0.106001164026156        1.47921745860109     
 GVCALC: Not converged.  Res a CL =  2.515937022211018E-002
 -0.106587844015133        1.40755253674328     
#   0.000   4000.      0.000   1.070      0.1768E-01   7.407       5.482    1.4889   0.9075   0.0000   0.00000  0.9019E-01  0.1935E-01   9.6862   0.0000   8.162       0.000       1.5702  0.3048E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0077  24.266   0.8469  0.04122     1232  0.007   0.0000   0.8679  0.8114       20.31      0.2860E-01
   0.0089  0.0089  22.846   1.0132  0.02716     2139  0.010   0.0000   0.9213   1.175       19.67      0.4108E-01
   0.0118  0.0101  21.491   1.1408  0.01909     3218  0.014   0.0000   0.9487   1.533       19.27      0.5335E-01
   0.0147  0.0111  20.200   1.2464  0.01452     4448  0.017   0.0000   0.9634   1.888       18.98      0.6545E-01
   0.0175  0.0121  18.973   1.3376  0.01208     5807  0.020   0.0000   0.9711   2.238       18.75      0.7738E-01
   0.0204  0.0130  17.811   1.4181  0.01094     7277  0.024   0.0000   0.9750   2.583       18.54      0.8909E-01
   0.0233  0.0138  16.713   1.4900  0.01060     8836  0.027   0.0000   0.9767   2.921       18.34      0.1005    
   0.0262  0.0146  15.679   1.5544  0.01071    10464  0.031   0.0000   0.9772   3.252       18.13      0.1116    
   0.0292  0.0152  14.709   1.6119  0.01107    12142  0.034   0.0000   0.9770   3.572       17.91      0.1223    
   0.0321  0.0157  13.804   1.6627  0.01153    13850  0.038   0.0000   0.9765   3.882       17.66      0.1325    
   0.0350  0.0162  12.963   1.7069  0.01200    15566  0.041   0.0000   0.9759   4.178       17.40      0.1423    
   0.0379  0.0166  12.187   1.7442  0.01241    17271  0.045   0.0000   0.9753   4.461       17.12      0.1514    
   0.0408  0.0168  11.475   1.7744  0.01273    18943  0.048   0.0000   0.9747   4.729       16.82      0.1600    
   0.0437  0.0170  10.827   1.7973  0.01295    20561  0.052   0.0000   0.9742   4.982       16.51      0.1680    
   0.0466  0.0172  10.243   1.8122  0.01305    22104  0.055   0.0000   0.9738   5.218       16.18      0.1754    
   0.0495  0.0172   9.724   1.6244  0.04003    23548  0.059   0.0000   0.9137   5.442       15.85      0.1823    
   0.0524  0.0171   9.269   1.6303  0.04047    24875  0.062   0.0000   0.9115   5.648       15.50      0.1886    
   0.0552  0.0170   8.879   1.6246  0.04038    26059  0.066   0.0000   0.9098   5.840       15.15      0.1943    
   0.0581  0.0167   8.553   1.8731  0.01086    27170  0.069   0.0000   0.9760   5.740       14.06      0.1891    
   0.0611  0.0164   8.291   1.8370  0.01062    28000  0.073   0.0000   0.9756   5.905       13.75      0.1940    
   0.0640  0.0160   8.093   1.5355  0.03782    28524  0.076   0.0000   0.9058   6.381       14.23      0.2106    
   0.0669  0.0155   7.960   1.4792  0.03687    28899  0.080   0.0000   0.9036   6.587       14.03      0.2170    
   0.0698  0.0149   7.891   1.4076  0.03666    29001  0.083   0.0000   0.8995   6.857       14.00      0.2258    
   0.0727  0.0142   7.886   1.3214  0.03617    28826  0.087   0.0000   0.8948   7.137       13.99      0.2350    
   0.0756  0.0134   7.946   1.1887  0.06684    27897  0.089   0.0000   0.8323   8.989       17.31      0.3058    
