 
# QPROP Version 1.22
# 
# Propeller_2548                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.4812      0.9382E-02   3.930       5.417    0.8369   0.8669   0.0000   0.00000  0.1100      0.3574E-01   8.3348   0.0000   4.533       0.000       0.9126  0.1047    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0056  0.0090  23.895   0.6631  0.02668     1344  0.006   0.0000   0.8984  0.8503       23.18      0.4004E-01
   0.0078  0.0110  21.772   0.6786  0.01993     2306  0.009   0.0000   0.9211   1.137       21.95      0.5260E-01
   0.0100  0.0128  19.764   0.6767  0.01691     3474  0.012   0.0000   0.9297   1.404       20.93      0.6405E-01
   0.0123  0.0145  17.871   0.6672  0.01586     4824  0.014   0.0000   0.9306   1.654       20.02      0.7453E-01
   0.0145  0.0160  16.093   0.6546  0.01589     6330  0.017   0.0000   0.9270   1.886       19.21      0.8416E-01
   0.0167  0.0174  14.430   0.6409  0.01652     7964  0.020   0.0000   0.9204   2.103       18.47      0.9302E-01
   0.0189  0.0187  12.882   0.6276  0.01746     9700  0.022   0.0000   0.9120   2.306       17.79      0.1012    
   0.0211  0.0198  11.449   0.6259  0.03901    11501  0.025   0.0000   0.8171   2.515       17.30      0.1098    
   0.0234  0.0207  10.131   0.6898  0.05180    13287  0.027   0.0000   0.7899   2.832       17.67      0.1241    
   0.0256  0.0215   8.929   0.7456  0.06517    15089  0.030   0.0000   0.7647   3.134       17.89      0.1377    
   0.0278  0.0221   7.841   0.7939  0.07802    16885  0.033   0.0000   0.7431   3.419       17.98      0.1504    
   0.0300  0.0226   6.868   0.8356  0.08959    18647  0.035   0.0000   0.7253   3.689       17.95      0.1622    
   0.0323  0.0230   6.011   0.8710  0.09939    20351  0.038   0.0000   0.7112   3.940       17.84      0.1730    
   0.0345  0.0232   5.268   0.9009  0.10712    21969  0.040   0.0000   0.7005   4.174       17.66      0.1829    
   0.0367  0.0233   4.641   0.9256  0.11263    23475  0.043   0.0000   0.6931   4.391       17.42      0.1919    
   0.0389  0.0232   4.129   0.9454  0.11587    24839  0.046   0.0000   0.6886   4.590       17.14      0.2000    
   0.0411  0.0229   3.731   0.9605  0.11690    26034  0.049   0.0000   0.6868   4.774       16.83      0.2073    
   0.0433  0.0226   3.449   0.9710  0.11589    27029  0.051   0.0000   0.6875   4.943       16.49      0.2139    
   0.0456  0.0220   3.282   0.9768  0.11310    27794  0.054   0.0000   0.6905   5.102       16.16      0.2200    
   0.0478  0.0214   3.230   0.9778  0.10892    28298  0.057   0.0000   0.6953   5.256       15.84      0.2259    
   0.0500  0.0205   3.293   0.9735  0.10395    28507  0.059   0.0000   0.7015   5.417       15.57      0.2323    
   0.0522  0.0196   3.471   0.9632  0.09922    28385  0.062   0.0000   0.7075   5.610       15.43      0.2402    
   0.0544  0.0184   3.764   0.9457  0.09679    27883  0.065   0.0000   0.7102   5.889       15.55      0.2525    
   0.0567  0.0172   4.172   0.9175  0.10282    26919  0.067   0.0000   0.7000   6.418       16.37      0.2774    
   0.0589  0.0158   4.695   0.8594  0.15984    25089  0.068   0.0000   0.6200   8.038       20.33      0.3637    
