 
# QPROP Version 1.22
# 
# Propeller_2672                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -1.495317988893988E-002
 -0.101043919032772       0.864067938448767     
 GVCALC: Not converged.  Res a CL = -1.421428261108526E-002
 -0.103123829427453       0.861834436710828     
#   0.000   4000.      0.000  0.4801      0.5754E-02   2.410       5.389    0.5519   0.8104   0.0000   0.00000  0.9027E-01  0.1717E-01   7.9289   0.0000   2.974       0.000       0.8050  0.3365E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0080  24.299   0.4491  0.32526     1253  0.007   0.0000   0.2217  0.6137       15.56      0.2506E-01
   0.0080  0.0116  22.938   0.5414  0.15290     2565  0.009   0.0000   0.4788  0.9547       17.34      0.3970E-01
   0.0104  0.0150  21.633   0.6129  0.07948     4253  0.012   0.0000   0.6886   1.299       18.41      0.5469E-01
   0.0127  0.0181  20.383   0.6677  0.04556     6262  0.015   0.0000   0.8153   1.639       19.04      0.6950E-01
   0.0150  0.0209  19.189   0.7095  0.02953     8541  0.017   0.0000   0.8810   1.969       19.36      0.8381E-01
   0.0174  0.0234  18.051   0.7411  0.02167    11039  0.020   0.0000   0.9140   2.286       19.46      0.9744E-01
   0.0197  0.0256  16.969   0.7648  0.01713    13702  0.023   0.0000   0.9328   2.588       19.41      0.1103    
   0.0221  0.0275  15.943   0.7826  0.01353    16476  0.026   0.0000   0.9470   2.874       19.25      0.1222    
   0.0244  0.0290  14.972   0.7958  0.00979    19309  0.028   0.0000   0.9614   3.144       18.99      0.1332    
   0.0267  0.0303  14.057   0.8057  0.00557    22142  0.031   0.0000   0.9777   3.396       18.67      0.1434    
   0.0291  0.0313  13.197   0.8130  0.00093    24919  0.034   0.0000   0.9962   3.631       18.30      0.1526    
   0.0314  0.0320  12.394   0.8185 -0.00383    27581  0.037   0.0000   1.0162   3.848       17.90      0.1610    
   0.0338  0.0324  11.646   0.8227 -0.00836    30069  0.040   0.0000   1.0367   4.047       17.46      0.1685    
   0.0361  0.0325  10.954   0.8641 -0.01147    32368  0.043   0.0000   1.0504   4.170       16.74      0.1723    
   0.0384  0.0323  10.317   0.8178  0.00877    34301  0.045   0.0000   0.9618   4.368       16.43      0.1799    
   0.0408  0.0318   9.737   0.8289  0.00867    35886  0.048   0.0000   0.9620   4.536       16.04      0.1861    
   0.0431  0.0310   9.212   0.8337  0.00866    37064  0.051   0.0000   0.9613   4.674       15.59      0.1909    
   0.0454  0.0299   8.743   0.8321  0.00875    37771  0.054   0.0000   0.9597   4.780       15.07      0.1943    
   0.0478  0.0284   8.329   0.8241  0.00895    37944  0.057   0.0000   0.9570   4.852       14.50      0.1962    
   0.0501  0.0267   7.971   0.8618 -0.01228    37516  0.060   0.0000   1.0649   4.890       13.88      0.1966    
   0.0525  0.0247   7.669   0.8269 -0.00950    36365  0.063   0.0000   1.0528   5.022       13.60      0.2014    
   0.0548  0.0224   7.423   0.8167 -0.00554    34513  0.066   0.0000   1.0316   5.076       13.12      0.2028    
   0.0571  0.0198   7.233   0.7956 -0.00128    31861  0.069   0.0000   1.0076   5.132       12.70      0.2044    
   0.0595  0.0169   7.098   0.7486  0.00331    28334  0.072   0.0000   0.9794   5.239       12.43      0.2082    
   0.0618  0.0137   7.019   0.6250  0.03301    23797  0.074   0.0000   0.8062   5.764       13.21      0.2305    
