 
# QPROP Version 1.22
# 
# Propeller_2677                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -1.629833419787011E-002
 -9.556762403781474E-002   1.02971197742327     
#   0.000   4000.      0.000  0.6358      0.9461E-02   3.963       5.418    0.8430   0.8677   0.0000   0.00000  0.1055      0.2415E-01   8.8437   0.0000   4.567       0.000       0.9672  0.2929E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0082  24.009   0.6459  0.03107     1261  0.007   0.0000   0.8751  0.8219       21.71      0.3497E-01
   0.0081  0.0106  22.119   0.6686  0.01976     2317  0.009   0.0000   0.9180   1.139       21.00      0.4801E-01
   0.0106  0.0127  20.351   0.6808  0.01484     3632  0.012   0.0000   0.9370   1.445       20.43      0.6045E-01
   0.0130  0.0147  18.706   0.6893  0.01289     5170  0.015   0.0000   0.9445   1.741       19.93      0.7235E-01
   0.0154  0.0165  17.183   0.6969  0.01241     6894  0.018   0.0000   0.9461   2.027       19.49      0.8379E-01
   0.0178  0.0181  15.784   0.7048  0.01267     8767  0.021   0.0000   0.9447   2.305       19.08      0.9480E-01
   0.0202  0.0195  14.506   0.7136  0.01326    10751  0.024   0.0000   0.9420   2.575       18.71      0.1054    
   0.0226  0.0207  13.352   0.7239  0.01396    12809  0.026   0.0000   0.9390   2.836       18.36      0.1157    
   0.0251  0.0217  12.320   0.7288  0.03400    14909  0.029   0.0000   0.8609   3.078       17.95      0.1249    
   0.0275  0.0225  11.411   0.7959  0.04242    16941  0.032   0.0000   0.8457   3.423       18.24      0.1394    
   0.0299  0.0231  10.624   0.8521  0.04974    18941  0.035   0.0000   0.8339   3.744       18.35      0.1526    
   0.0323  0.0236   9.960   0.8981  0.05527    20872  0.038   0.0000   0.8260   4.038       18.30      0.1645    
   0.0348  0.0238   9.419   0.9349  0.05866    22700  0.041   0.0000   0.8219   4.304       18.13      0.1750    
   0.0372  0.0239   9.000   0.9629  0.05976    24386  0.044   0.0000   0.8216   4.542       17.85      0.1841    
   0.0396  0.0238   8.704   0.9826  0.05861    25892  0.047   0.0000   0.8249   4.749       17.47      0.1917    
   0.0420  0.0235   8.531   0.9940  0.05540    27177  0.049   0.0000   0.8315   4.924       17.02      0.1978    
   0.0444  0.0230   8.480   0.9972  0.05039    28203  0.052   0.0000   0.8414   5.065       16.49      0.2023    
   0.0468  0.0223   8.552   0.9917  0.04398    28926  0.056   0.0000   0.8543   5.169       15.89      0.2052    
   0.0493  0.0214   8.746   0.9772  0.03668    29304  0.059   0.0000   0.8699   5.235       15.24      0.2065    
   0.0517  0.0203   9.064   1.0297  0.00967    29293  0.062   0.0000   0.9627   5.261       14.54      0.2062    
   0.0541  0.0190   9.503   1.0208  0.00921    28740  0.064   0.0000   0.9644   5.544       14.64      0.2175    
   0.0565  0.0176  10.066   1.0452  0.00825    27750  0.067   0.0000   0.9684   5.739       14.50      0.2249    
   0.0590  0.0159  10.751   1.0568  0.00753    26233  0.070   0.0000   0.9714   5.980       14.49      0.2343    
   0.0614  0.0141  11.559   1.0331  0.00726    24133  0.073   0.0000   0.9723   6.345       14.79      0.2493    
   0.0638  0.0121  12.489   0.8666  0.00862    21329  0.075   0.0000   0.9643   7.193       16.29      0.2868    
