 
# QPROP Version 1.22
# 
# Propeller_2749                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -8.342405529244964E-003
 -9.154558422377118E-002  0.936592356160762     
 GVCALC: Not converged.  Res a CL = -1.188042361119365E-002
 -9.457844630893819E-002   1.02294068168899     
#   0.000   4000.      0.000  0.6507      0.9450E-02   3.958       5.418    0.8422   0.8676   0.0000   0.00000  0.1149      0.2607E-01   9.0859   0.0000   4.563       0.000       0.9375  0.2126E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0067  24.295   0.6536  0.02755     1007  0.006   0.0000   0.8968  0.8904       24.17      0.3990E-01
   0.0081  0.0081  22.935   0.7141  0.02103     1734  0.009   0.0000   0.9242   1.229       23.32      0.5437E-01
   0.0105  0.0094  21.641   0.7525  0.01763     2611  0.012   0.0000   0.9376   1.556       22.66      0.6817E-01
   0.0128  0.0106  20.413   0.7796  0.01584     3620  0.015   0.0000   0.9445   1.873       22.09      0.8138E-01
   0.0152  0.0116  19.252   0.8003  0.01498     4741  0.017   0.0000   0.9478   2.180       21.59      0.9403E-01
   0.0176  0.0126  18.156   0.8170  0.01464     5954  0.020   0.0000   0.9490   2.476       21.11      0.1061    
   0.0200  0.0134  17.126   0.8314  0.01460     7239  0.023   0.0000   0.9492   2.762       20.67      0.1177    
   0.0223  0.0142  16.163   0.8443  0.01471     8575  0.026   0.0000   0.9487   3.038       20.24      0.1287    
   0.0247  0.0148  15.266   0.8563  0.01488     9942  0.029   0.0000   0.9480   3.304       19.82      0.1392    
   0.0271  0.0154  14.434   0.8679  0.01504    11319  0.032   0.0000   0.9473   3.558       19.40      0.1492    
   0.0295  0.0158  13.669   0.8793  0.01515    12686  0.034   0.0000   0.9467   3.802       19.00      0.1586    
   0.0319  0.0161  12.970   0.9366  0.01415    14051  0.037   0.0000   0.9514   3.964       18.22      0.1639    
   0.0343  0.0163  12.337   0.8856  0.03505    15319  0.040   0.0000   0.8800   4.218       18.01      0.1740    
   0.0366  0.0164  11.770   0.9104  0.03658    16517  0.043   0.0000   0.8769   4.449       17.72      0.1829    
   0.0390  0.0164  11.269   0.9290  0.03721    17626  0.046   0.0000   0.8753   4.654       17.36      0.1906    
   0.0414  0.0163  10.834   0.9416  0.03693    18623  0.049   0.0000   0.8753   4.831       16.93      0.1969    
   0.0438  0.0161  10.466   0.9483  0.03577    19487  0.052   0.0000   0.8769   4.979       16.45      0.2019    
   0.0461  0.0158  10.163   0.9491  0.03385    20194  0.055   0.0000   0.8798   5.098       15.92      0.2056    
   0.0485  0.0154   9.926   1.0229  0.01197    20721  0.058   0.0000   0.9560   5.188       15.35      0.2081    
   0.0509  0.0148   9.756   0.9957  0.01209    20993  0.061   0.0000   0.9542   5.415       15.26      0.2170    
   0.0533  0.0142   9.652   1.0047  0.01147    21066  0.063   0.0000   0.9559   5.541       14.88      0.2213    
   0.0557  0.0134   9.613   1.0063  0.01095    20882  0.066   0.0000   0.9571   5.677       14.57      0.2261    
   0.0581  0.0126   9.641   0.9918  0.01066    20413  0.069   0.0000   0.9571   5.851       14.38      0.2326    
   0.0604  0.0116   9.735   0.9383  0.01097    19623  0.072   0.0000   0.9539   6.143       14.52      0.2445    
   0.0628  0.0106   9.895   0.7540  0.03541    18413  0.074   0.0000   0.8467   6.918       15.86      0.2789    
