 
# QPROP Version 1.22
# 
# Propeller_2796                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -6.112983079296849E-003
 -9.323555605316813E-002  0.763612239924881     
 GVCALC: Not converged.  Res a CL =  4.674807057200026E-003
 -9.639340705735984E-002  0.729113832859710     
#   0.000   4000.      0.000  0.4216      0.4976E-02   2.084       5.382    0.4908   0.7890   0.0000   0.00000  0.6995E-01  0.1270E-01   7.2012   0.0000   2.642       0.000       0.7564  0.1974E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0058  24.025   1.0430  0.03244      879  0.006   0.0000   0.9197  0.8631       23.10      0.3747E-01
   0.0081  0.0073  22.153   1.0377  0.02341     1598  0.009   0.0000   0.9380   1.173       21.76      0.4993E-01
   0.0106  0.0088  20.384   1.0123  0.01863     2496  0.012   0.0000   0.9468   1.459       20.65      0.6118E-01
   0.0130  0.0101  18.719   0.9796  0.01603     3551  0.015   0.0000   0.9506   1.723       19.68      0.7137E-01
   0.0154  0.0113  17.158   0.9448  0.01466     4743  0.018   0.0000   0.9513   1.967       18.80      0.8060E-01
   0.0178  0.0124  15.701   0.9104  0.01400     6051  0.021   0.0000   0.9500   2.191       17.99      0.8897E-01
   0.0202  0.0134  14.347   0.8778  0.01374     7453  0.024   0.0000   0.9474   2.399       17.24      0.9658E-01
   0.0226  0.0143  13.097   0.8477  0.01370     8927  0.027   0.0000   0.9438   2.590       16.54      0.1035    
   0.0251  0.0150  11.950   0.8206  0.01378    10449  0.030   0.0000   0.9398   2.766       15.90      0.1098    
   0.0275  0.0157  10.907   0.7968  0.01390    11997  0.033   0.0000   0.9356   2.930       15.29      0.1157    
   0.0299  0.0162   9.968   0.7766  0.01400    13548  0.036   0.0000   0.9314   3.082       14.74      0.1210    
   0.0323  0.0167   9.133   0.7601  0.01406    15079  0.039   0.0000   0.9276   3.225       14.22      0.1261    
   0.0348  0.0170   8.401   0.7474  0.01405    16567  0.042   0.0000   0.9244   3.360       13.75      0.1308    
   0.0372  0.0173   7.773   0.7636  0.01345    18003  0.045   0.0000   0.9259   3.441       13.11      0.1332    
   0.0396  0.0174   7.248   0.7256  0.03293    19326  0.048   0.0000   0.8253   3.593       12.84      0.1388    
   0.0420  0.0174   6.827   0.7313  0.03333    20540  0.051   0.0000   0.8215   3.728       12.53      0.1437    
   0.0444  0.0173   6.510   0.7340  0.03289    21623  0.054   0.0000   0.8203   3.845       12.20      0.1478    
   0.0468  0.0171   6.297   0.7336  0.03168    22551  0.056   0.0000   0.8218   3.945       11.85      0.1513    
   0.0493  0.0167   6.187   0.7291  0.03124    23283  0.059   0.0000   0.8213   4.101       11.71      0.1571    
   0.0517  0.0163   6.181   0.7706  0.01167    23817  0.062   0.0000   0.9280   4.236       11.52      0.1621    
   0.0541  0.0158   6.278   0.7852  0.01113    24120  0.065   0.0000   0.9316   4.389       11.39      0.1677    
   0.0565  0.0151   6.479   0.7968  0.01066    24166  0.068   0.0000   0.9351   4.573       11.36      0.1748    
   0.0590  0.0144   6.784   0.7975  0.01038    23929  0.071   0.0000   0.9373   4.820       11.49      0.1843    
   0.0614  0.0135   7.193   0.7668  0.01060    23373  0.074   0.0000   0.9359   5.202       11.94      0.1996    
   0.0638  0.0125   7.705   0.6248  0.03298    22405  0.076   0.0000   0.8091   6.054       13.47      0.2351    
