 
# QPROP Version 1.22
# 
# Propeller_2806                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -4.628072551723858E-003
 -9.108607082623621E-002  0.576526901875089     
 GVCALC: Not converged.  Res a CL =  2.508948592085392E-003
 -9.448208363414826E-002  0.554991925866921     
 GVCALC: Not converged.  Res a CL = -2.369475489624705E-003
 -9.230190863357185E-002  0.459931222720027     
#   0.000   4000.      0.000  0.2174      0.1981E-02  0.8299       5.359    0.2556   0.6059   0.0000   0.00000  0.4967E-01  0.7547E-02   5.6015   0.0000   1.370       0.000       0.5621  0.1683E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0056  0.0085  23.982   0.5691  0.03260     1287  0.006   0.0000   0.8507  0.7839       20.92      0.3575E-01
   0.0078  0.0095  22.021   0.6155  0.02369     2022  0.009   0.0000   0.8896   1.032       19.49      0.4620E-01
   0.0100  0.0104  20.161   0.6356  0.01797     2862  0.012   0.0000   0.9127   1.257       18.33      0.5548E-01
   0.0123  0.0112  18.402   0.6413  0.01437     3792  0.014   0.0000   0.9265   1.462       17.33      0.6382E-01
   0.0145  0.0120  16.743   0.6388  0.01221     4798  0.017   0.0000   0.9339   1.649       16.45      0.7133E-01
   0.0167  0.0126  15.186   0.6316  0.01103     5865  0.020   0.0000   0.9368   1.820       15.67      0.7812E-01
   0.0189  0.0132  13.730   0.6219  0.01051     6977  0.023   0.0000   0.9363   1.977       14.96      0.8428E-01
   0.0211  0.0137  12.375   0.6111  0.01043     8121  0.025   0.0000   0.9332   2.121       14.30      0.8988E-01
   0.0234  0.0142  11.121   0.6000  0.01063     9280  0.028   0.0000   0.9282   2.253       13.70      0.9498E-01
   0.0256  0.0145   9.967   0.5895  0.01099    10440  0.031   0.0000   0.9221   2.374       13.15      0.9963E-01
   0.0278  0.0148   8.915   0.5799  0.01141    11585  0.033   0.0000   0.9152   2.486       12.63      0.1039    
   0.0300  0.0150   7.963   0.5716  0.01185    12700  0.036   0.0000   0.9081   2.589       12.16      0.1078    
   0.0323  0.0151   7.113   0.5648  0.01224    13769  0.039   0.0000   0.9013   2.685       11.71      0.1114    
   0.0345  0.0152   6.363   0.5598  0.01256    14779  0.042   0.0000   0.8950   2.774       11.30      0.1148    
   0.0367  0.0151   5.715   0.5568  0.01278    15712  0.044   0.0000   0.8896   2.857       10.91      0.1179    
   0.0389  0.0150   5.167   0.5765  0.01248    16564  0.047   0.0000   0.8909   2.890       10.39      0.1189    
   0.0411  0.0148   4.721   0.5508  0.03103    17294  0.050   0.0000   0.7533   2.993       10.17      0.1229    
   0.0433  0.0145   4.375   0.5579  0.03132    17907  0.053   0.0000   0.7491   3.074       9.896      0.1260    
   0.0456  0.0142   4.130   0.5595  0.03071    18386  0.055   0.0000   0.7477   3.134       9.585      0.1283    
   0.0478  0.0138   3.986   0.5550  0.03032    18708  0.058   0.0000   0.7451   3.226       9.400      0.1319    
   0.0500  0.0133   3.943   0.5808  0.01175    18866  0.061   0.0000   0.8860   3.305       9.195      0.1349    
   0.0522  0.0127   4.002   0.5861  0.01133    18839  0.064   0.0000   0.8890   3.400       9.054      0.1387    
   0.0544  0.0120   4.161   0.5835  0.01101    18611  0.066   0.0000   0.8911   3.532       9.022      0.1441    
   0.0567  0.0113   4.421   0.5583  0.01105    18160  0.069   0.0000   0.8885   3.755       9.222      0.1534    
   0.0589  0.0104   4.782   0.4599  0.01241    17451  0.071   0.0000   0.8639   4.247       10.07      0.1743    
