 
# QPROP Version 1.22
# 
# Propeller_2885                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.1631E-01  0.4058E-02   1.700       5.375    0.4187   0.7552   0.0000   0.00000  0.2706E-02  0.1036E-01   1.4164   0.0000   2.250       0.000       0.0167  0.8583E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0069  24.013   0.5423  0.04691     1057  0.007   0.0000   0.7970  0.8421       22.38      0.3617E-01
   0.0081  0.0087  22.117   0.4894  0.05951     1921  0.009   0.0000   0.7167   1.096       20.04      0.4562E-01
   0.0106  0.0104  20.327   0.4242  0.06711     3002  0.012   0.0000   0.6370   1.293       17.91      0.5244E-01
   0.0130  0.0119  18.643   0.3574  0.07208     4275  0.015   0.0000   0.5519   1.432       15.90      0.5685E-01
   0.0154  0.0133  17.065   0.2932  0.07559     5712  0.018   0.0000   0.4600   1.513       13.99      0.5901E-01
   0.0178  0.0145  15.592   0.2337  0.07826     7285  0.021   0.0000   0.3633   1.537       12.16      0.5906E-01
   0.0202  0.0156  14.225   0.1797  0.08044     8963  0.025   0.0000   0.2669   1.504       10.40      0.5711E-01
   0.0226  0.0166  12.964   0.1320  0.08235    10717  0.028   0.0000   0.1780   1.417       8.690      0.5326E-01
   0.0251  0.0174  11.808   0.0909  0.08413    12515  0.031   0.0000   0.1041   1.276       7.030      0.4756E-01
   0.0275  0.0182  10.758   0.0568  0.08591    14325  0.034   0.0000   0.0505   1.082       5.416      0.4010E-01
   0.0299  0.0187   9.814   0.0301  0.08778    16116  0.037   0.0000   0.0181  0.8381       3.845      0.3092E-01
   0.0323  0.0192   8.975   0.0115  0.08988    17856  0.040   0.0000   0.0035  0.5464       2.314      0.2010E-01
   0.0348  0.0195   8.242   0.0016  0.09231    19514  0.043   0.0000   0.0000  0.2103      0.8279      0.7725E-02
   0.0372  0.0197   7.615   0.0000  0.09508    21059  0.046   0.0000  -0.0001 -0.1593       179.4     -0.5851E-02
   0.0396  0.0197   7.094   0.0000  0.09711    22465  0.049   0.0000  -0.0009 -0.5046       178.3     -0.1855E-01
   0.0420  0.0196   6.678   0.0000  0.09805    23710  0.052   0.0000  -0.0020 -0.7882       177.4     -0.2901E-01
   0.0444  0.0194   6.368  -0.0075  0.09668    24776  0.055   0.0000   0.0014 -0.9290       177.1     -0.3421E-01
   0.0468  0.0190   6.164  -0.0121  0.09467    25635  0.058   0.0000   0.0039 -0.9796       177.1     -0.3607E-01
   0.0493  0.0185   6.065  -0.0008  0.09396    26253  0.061   0.0000  -0.0021  -1.030       177.1     -0.3793E-01
   0.0517  0.0179   6.072   0.0000  0.09063    26613  0.064   0.0000  -0.0016 -0.8754       177.7     -0.3220E-01
   0.0541  0.0171   6.185   0.0000  0.08629    26677  0.067   0.0000  -0.0007 -0.5889       178.5     -0.2164E-01
   0.0565  0.0162   6.403   0.0000  0.08121    26412  0.070   0.0000  -0.0001 -0.1836       179.6     -0.6743E-02
   0.0590  0.0152   6.727   0.0026  0.07588    25783  0.073   0.0000   0.0003  0.3123      0.7248      0.1147E-01
   0.0614  0.0140   7.157   0.0185  0.07146    24764  0.076   0.0000   0.0071  0.8160       1.820      0.3000E-01
   0.0638  0.0127   7.693   0.0432  0.06732    23327  0.078   0.0000   0.0292   1.361       2.924      0.5013E-01
