 
# QPROP Version 1.22
# 
# Propeller_2893                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.3608      0.1245E-01   5.215       5.441    1.0779   0.8893   0.0000   0.00000  0.6369E-01  0.3435E-01   6.7657   0.0000   5.865       0.000       0.4192  0.1405    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0077  23.614   0.6433  0.05167     1184  0.007   0.0000   0.8017  0.7988       21.05      0.3421E-01
   0.0081  0.0110  20.959   0.4851  0.05899     2435  0.009   0.0000   0.7026   1.012       18.39      0.4193E-01
   0.0105  0.0141  18.458   0.3599  0.06118     4081  0.012   0.0000   0.5944   1.146       15.78      0.4614E-01
   0.0128  0.0169  16.111   0.2594  0.06160     6080  0.015   0.0000   0.4704   1.201       13.28      0.4730E-01
   0.0152  0.0195  13.919   0.1796  0.06122     8377  0.018   0.0000   0.3374   1.184       10.91      0.4581E-01
   0.0176  0.0218  11.881   0.1177  0.06042    10920  0.021   0.0000   0.2118   1.102       8.707      0.4209E-01
   0.0200  0.0239   9.997   0.0717  0.05933    13649  0.024   0.0000   0.1119  0.9666       6.681      0.3655E-01
   0.0223  0.0257   8.268   0.0392  0.05805    16510  0.027   0.0000   0.0474  0.7889       4.851      0.2964E-01
   0.0247  0.0273   6.694   0.0182  0.05663    19447  0.030   0.0000   0.0147  0.5839       3.236      0.2185E-01
   0.0271  0.0287   5.273   0.0062  0.05514    22407  0.033   0.0000   0.0026  0.3673       1.855      0.1372E-01
   0.0295  0.0298   4.007   0.0010  0.05368    25339  0.036   0.0000   0.0001  0.1566      0.7266      0.5844E-02
   0.0319  0.0307   2.896   0.0000  0.05240    28196  0.039   0.0000   0.0000 -0.2955E-01   179.9     -0.1102E-02
   0.0343  0.0313   1.939   0.0000  0.05156    30932  0.042   0.0000  -0.0001 -0.1699       179.3     -0.6337E-02
   0.0366  0.0317   1.136   0.2379  0.04721    33464  0.045   0.0000  -0.3406 -0.7659       177.1     -0.2864E-01
   0.0390  0.0319   0.487   0.2461  0.04504    35816  0.048   0.0000  -0.3799 -0.8157       177.1     -0.3050E-01
   0.0414  0.0318  -0.007   0.2925  0.04302    37903  0.051   0.0000  -0.5193 -0.8654       177.1     -0.3236E-01
   0.0438  0.0315  -0.346   0.1459  0.12496    39393  0.053   0.0000   0.1170   2.340       7.394      0.8875E-01
   0.0461  0.0309  -0.532   0.2382  0.14713    40612  0.056   0.0000   0.1859   3.028       9.129      0.1159    
   0.0485  0.0301  -0.563   0.3362  0.16304    41420  0.059   0.0000   0.2518   3.646       10.51      0.1407    
   0.0509  0.0291  -0.439   0.4394  0.17350    41768  0.061   0.0000   0.3161   4.239       11.71      0.1649    
   0.0533  0.0278  -0.161   0.5467  0.17968    41602  0.064   0.0000   0.3792   4.845       12.86      0.1901    
   0.0557  0.0262   0.271   0.6567  0.18337    40857  0.067   0.0000   0.4402   5.507       14.09      0.2184    
   0.0581  0.0245   0.858   0.7665  0.18803    39452  0.069   0.0000   0.4960   6.303       15.61      0.2535    
   0.0604  0.0225   1.599   0.8686  0.20379    37232  0.071   0.0000   0.5361   7.427       17.97      0.3062    
   0.0628  0.0202   2.494   0.9230  0.29678    33447  0.071   0.0000   0.4974   9.768       23.97      0.4364    
