 
# QPROP Version 1.22
# 
# Propeller_2922                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.8905E-01  0.3275E-03  0.1372       5.346    0.1257   0.2041   0.0000   0.00000  0.7906E-02  0.3825E-03   2.8306   0.0000  0.6721       0.000       0.1363 -0.1017E-04
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0072  23.571   0.3593  0.31381     1193  0.007   0.0000   0.1799  0.6214       15.01      0.2092E-01
   0.0088  0.0077  20.839   0.4172  0.20674     1886  0.011   0.0000   0.2899  0.8470       13.70      0.2819E-01
   0.0117  0.0081  18.275   0.4391  0.13528     2645  0.014   0.0000   0.3905   1.034       12.54      0.3409E-01
   0.0145  0.0084  15.880   0.4351  0.08726     3463  0.018   0.0000   0.4821   1.183       11.45      0.3868E-01
   0.0174  0.0088  13.652   0.4129  0.05578     4334  0.021   0.0000   0.5621   1.294       10.42      0.4201E-01
   0.0202  0.0091  11.592   0.3786  0.03575     5249  0.025   0.0000   0.6272   1.368       9.417      0.4415E-01
   0.0231  0.0094   9.700   0.3372  0.02327     6203  0.028   0.0000   0.6760   1.407       8.458      0.4518E-01
   0.0259  0.0097   7.976   0.2926  0.01540     7187  0.032   0.0000   0.7106   1.414       7.542      0.4521E-01
   0.0288  0.0099   6.420   0.2482  0.01015     8195  0.035   0.0000   0.7376   1.394       6.677      0.4438E-01
   0.0317  0.0102   5.032   0.2062  0.00624     9218  0.039   0.0000   0.7702   1.350       5.870      0.4284E-01
   0.0345  0.0103   3.812   0.1685  0.00299    10250  0.042   0.0000   0.8337   1.288       5.129      0.4078E-01
   0.0374  0.0105   2.760   0.1359  0.00011    11283  0.046   0.0000   0.9900   1.215       4.463      0.3840E-01
   0.0403  0.0106   1.876   0.1092 -0.00245    12309  0.049   0.0000   1.4954   1.139       3.881      0.3593E-01
   0.0431  0.0107   1.160   0.0885 -0.00460    13323  0.053   0.0000   8.0934   1.067       3.392      0.3363E-01
   0.0460  0.0108   0.612   0.0735 -0.00623    14317  0.057   0.0000  -1.6357   1.008       3.005      0.3176E-01
   0.0488  0.0109   0.232   0.0639 -0.00725    15284  0.060   0.0000  -0.7272  0.9718       2.726      0.3060E-01
   0.0517  0.0109   0.020   0.0596 -0.00763    16218  0.064   0.0000  -0.5395  0.9664       2.561      0.3042E-01
   0.0545  0.0109  -0.024   0.0604 -0.00736    17111  0.067   0.0000  -0.5648  0.9994       2.509      0.3145E-01
   0.0574  0.0109   0.100   0.0668 -0.00648    17958  0.071   0.0000  -0.8636   1.077       2.569      0.3389E-01
   0.0603  0.0108   0.392   0.0797 -0.00511    18750  0.074   0.0000  -2.9293   1.202       2.732      0.3784E-01
   0.0631  0.0107   0.852   0.1005 -0.00337    19481  0.078   0.0000   2.8047   1.375       2.985      0.4332E-01
   0.0660  0.0106   1.480   0.1304 -0.00144    20145  0.081   0.0000   1.2357   1.595       3.314      0.5027E-01
   0.0689  0.0105   2.275   0.1690  0.00053    20733  0.085   0.0000   0.9536   1.862       3.710      0.5874E-01
   0.0717  0.0103   3.239   0.2079  0.00247    21237  0.088   0.0000   0.8609   2.207       4.225      0.6970E-01
   0.0746  0.0101   4.371   0.2063  0.00453    21639  0.091   0.0000   0.8032   2.802       5.168      0.8875E-01
