 
# QPROP Version 1.22
# 
# Propeller_2993                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000   1.298      0.2240E-01   9.384       5.519    1.8594   0.9143   0.0000   0.00000  0.9874E-01  0.2156E-01  10.3982   0.0000   10.26       0.000       1.1419  0.3855E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0065  23.893   0.6017  0.03179     1035  0.007   0.0000   0.8664  0.8788       22.23      0.3099E-01
   0.0090  0.0074  21.781   0.7027  0.02231     1780  0.010   0.0000   0.9123   1.257       20.99      0.4356E-01
   0.0120  0.0082  19.804   0.7669  0.01772     2655  0.014   0.0000   0.9326   1.613       20.07      0.5526E-01
   0.0149  0.0090  17.962   0.8118  0.01592     3646  0.017   0.0000   0.9405   1.954       19.34      0.6632E-01
   0.0179  0.0097  16.255   0.8456  0.01576     4735  0.021   0.0000   0.9419   2.281       18.73      0.7686E-01
   0.0209  0.0103  14.683   0.8729  0.01652     5906  0.024   0.0000   0.9397   2.597       18.20      0.8696E-01
   0.0239  0.0109  13.246   0.8961  0.01771     7145  0.028   0.0000   0.9358   2.902       17.74      0.9667E-01
   0.0268  0.0114  11.944   0.9170  0.01906     8435  0.032   0.0000   0.9315   3.197       17.32      0.1060    
   0.0298  0.0119  10.776   0.9442  0.04366     9756  0.035   0.0000   0.8564   3.495       17.01      0.1155    
   0.0328  0.0122   9.744   1.0194  0.05245    11072  0.039   0.0000   0.8433   3.866       17.12      0.1279    
   0.0358  0.0126   8.847   1.0814  0.06024    12395  0.042   0.0000   0.8322   4.214       17.10      0.1394    
   0.0388  0.0128   8.084   1.1316  0.06642    13710  0.046   0.0000   0.8237   4.536       16.98      0.1499    
   0.0418  0.0130   7.457   1.1710  0.07060    15002  0.049   0.0000   0.8182   4.833       16.77      0.1593    
   0.0447  0.0131   6.964   1.2004  0.07257    16254  0.053   0.0000   0.8156   5.101       16.50      0.1677    
   0.0477  0.0132   6.607   1.2206  0.07228    17451  0.056   0.0000   0.8160   5.341       16.15      0.1749    
   0.0507  0.0132   6.384   1.2317  0.06979    18577  0.060   0.0000   0.8194   5.549       15.76      0.1810    
   0.0537  0.0131   6.296   1.2338  0.06528    19615  0.064   0.0000   0.8259   5.725       15.31      0.1860    
   0.0566  0.0130   6.344   1.2265  0.05905    20548  0.067   0.0000   0.8353   5.867       14.82      0.1897    
   0.0596  0.0128   6.526   1.2092  0.05150    21359  0.071   0.0000   0.8474   5.974       14.29      0.1922    
   0.0626  0.0126   6.843   1.1810  0.04318    22030  0.075   0.0000   0.8621   6.047       13.73      0.1936    
   0.0656  0.0122   7.295   1.1408  0.03475    22541  0.079   0.0000   0.8784   6.091       13.16      0.1941    
   0.0686  0.0119   7.882   1.1945  0.01137    22810  0.082   0.0000   0.9591   6.424       13.29      0.2050    
   0.0716  0.0114   8.604   1.1881  0.01005    22894  0.086   0.0000   0.9636   6.720       13.32      0.2145    
   0.0745  0.0109   9.461   1.1368  0.00936    22732  0.089   0.0000   0.9655   7.203       13.74      0.2307    
   0.0775  0.0103  10.453   0.9245  0.01096    22209  0.092   0.0000   0.9558   8.350       15.48      0.2717    
