 
# QPROP Version 1.22
# 
# Propeller_3035                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.1239      0.9964E-03  0.4174       5.351    0.1783   0.4375   0.0000   0.00000  0.1717E-01  0.2030E-02   3.7321   0.0000  0.9539       0.000       0.0963  0.5647E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0070  23.867   0.6469  0.02925     1060  0.006   0.0000   0.8905  0.9076       24.34      0.3839E-01
   0.0083  0.0089  21.696   0.5943  0.02127     1976  0.009   0.0000   0.9053   1.209       22.00      0.4937E-01
   0.0109  0.0107  19.651   0.5280  0.01683     3135  0.013   0.0000   0.9085   1.456       19.92      0.5783E-01
   0.0134  0.0123  17.732   0.4600  0.01400     4515  0.016   0.0000   0.9054   1.650       18.02      0.6406E-01
   0.0159  0.0138  15.939   0.3952  0.01203     6087  0.019   0.0000   0.8974   1.793       16.25      0.6830E-01
   0.0185  0.0152  14.273   0.3356  0.01060     7823  0.022   0.0000   0.8846   1.888       14.61      0.7080E-01
   0.0210  0.0164  12.733   0.2820  0.00950     9693  0.025   0.0000   0.8665   1.940       13.08      0.7178E-01
   0.0236  0.0175  11.319   0.2347  0.00865    11666  0.028   0.0000   0.8421   1.953       11.66      0.7147E-01
   0.0261  0.0185  10.031   0.1938  0.00796    13711  0.032   0.0000   0.8103   1.932       10.35      0.7010E-01
   0.0286  0.0194   8.869   0.1589  0.00740    15797  0.035   0.0000   0.7701   1.885       9.162      0.6790E-01
   0.0312  0.0201   7.834   0.1298  0.00694    17893  0.038   0.0000   0.7210   1.818       8.085      0.6512E-01
   0.0337  0.0207   6.924   0.1059  0.00656    19969  0.041   0.0000   0.6637   1.739       7.129      0.6200E-01
   0.0363  0.0212   6.141   0.0868  0.00624    21993  0.044   0.0000   0.6009   1.655       6.297      0.5882E-01
   0.0388  0.0215   5.484   0.0721  0.00597    23937  0.048   0.0000   0.5373   1.576       5.592      0.5585E-01
   0.0413  0.0217   4.954   0.0612  0.00575    25771  0.051   0.0000   0.4792   1.508       5.018      0.5336E-01
   0.0439  0.0218   4.549   0.0539  0.00557    27467  0.054   0.0000   0.4331   1.462       4.577      0.5165E-01
   0.0464  0.0217   4.271   0.0498  0.00542    28994  0.057   0.0000   0.4039   1.444       4.273      0.5099E-01
   0.0490  0.0215   4.119   0.0489  0.00529    30326  0.060   0.0000   0.3954   1.464       4.104      0.5166E-01
   0.0515  0.0212   4.093   0.0513  0.00520    31433  0.063   0.0000   0.4097   1.527       4.071      0.5389E-01
   0.0540  0.0208   4.193   0.0577  0.00513    32286  0.066   0.0000   0.4474   1.641       4.169      0.5791E-01
   0.0566  0.0202   4.419   0.0689  0.00509    32856  0.069   0.0000   0.5067   1.808       4.390      0.6386E-01
   0.0591  0.0195   4.772   0.0862  0.00507    33115  0.073   0.0000   0.5813   2.032       4.725      0.7184E-01
   0.0617  0.0187   5.251   0.1104  0.00508    33033  0.076   0.0000   0.6598   2.316       5.168      0.8199E-01
   0.0642  0.0177   5.856   0.1368  0.00513    32579  0.079   0.0000   0.7262   2.682       5.754      0.9513E-01
   0.0667  0.0166   6.587   0.1343  0.00520    31708  0.082   0.0000   0.7493   3.251       6.726      0.1157    
