 
# QPROP Version 1.22
# 
# Propeller_3070                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.9488      0.2154E-01   9.024       5.513    1.7920   0.9135   0.0000   0.00000  0.1395      0.4726E-01  10.4807   0.0000   9.878       0.000       1.0812  0.1158    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0060  23.974   0.8082  0.03263      896  0.006   0.0000   0.9033  0.9263       25.14      0.4028E-01
   0.0083  0.0078  22.002   0.8141  0.02608     1696  0.009   0.0000   0.9199   1.290       24.14      0.5517E-01
   0.0108  0.0095  20.134   0.8077  0.02378     2709  0.012   0.0000   0.9241   1.635       23.28      0.6902E-01
   0.0133  0.0111  18.373   0.7969  0.02330     3912  0.015   0.0000   0.9228   1.963       22.50      0.8193E-01
   0.0158  0.0125  16.716   0.7848  0.02368     5279  0.018   0.0000   0.9186   2.274       21.79      0.9398E-01
   0.0183  0.0138  15.166   0.7881  0.04695     6772  0.021   0.0000   0.8474   2.590       21.33      0.1063    
   0.0208  0.0150  13.720   0.8549  0.06054     8328  0.024   0.0000   0.8249   2.984       21.68      0.1231    
   0.0232  0.0160  12.380   0.9125  0.07525     9957  0.027   0.0000   0.8021   3.366       21.87      0.1393    
   0.0258  0.0169  11.146   0.9618  0.08980    11638  0.029   0.0000   0.7811   3.735       21.91      0.1546    
   0.0283  0.0177  10.017   1.0035  0.10329    13345  0.032   0.0000   0.7629   4.087       21.85      0.1690    
   0.0308  0.0183   8.993   1.0387  0.11509    15053  0.035   0.0000   0.7476   4.422       21.68      0.1824    
   0.0333  0.0188   8.075   1.0680  0.12479    16736  0.038   0.0000   0.7352   4.736       21.43      0.1948    
   0.0358  0.0191   7.262   1.0920  0.13212    18369  0.041   0.0000   0.7258   5.030       21.10      0.2059    
   0.0383  0.0193   6.555   1.1112  0.13693    19923  0.044   0.0000   0.7191   5.301       20.71      0.2159    
   0.0408  0.0194   5.953   1.1260  0.13917    21371  0.047   0.0000   0.7151   5.548       20.27      0.2246    
   0.0433  0.0193   5.457   1.1365  0.13889    22683  0.050   0.0000   0.7136   5.770       19.78      0.2322    
   0.0457  0.0191   5.066   1.1429  0.13621    23830  0.053   0.0000   0.7146   5.966       19.25      0.2385    
   0.0482  0.0188   4.780   1.1451  0.13134    24780  0.056   0.0000   0.7179   6.137       18.70      0.2437    
   0.0507  0.0183   4.600   1.1426  0.12460    25502  0.059   0.0000   0.7233   6.284       18.12      0.2479    
   0.0533  0.0177   4.526   1.1352  0.11644    25964  0.063   0.0000   0.7306   6.412       17.55      0.2513    
   0.0558  0.0170   4.556   1.1222  0.10749    26129  0.066   0.0000   0.7392   6.530       17.00      0.2544    
   0.0583  0.0161   4.693   1.1025  0.09880    25959  0.069   0.0000   0.7479   6.663       16.55      0.2584    
   0.0608  0.0151   4.934   1.0745  0.09233    25407  0.072   0.0000   0.7538   6.867       16.33      0.2657    
   0.0633  0.0140   5.282   1.0344  0.09368    24393  0.075   0.0000   0.7480   7.320       16.77      0.2845    
   0.0658  0.0127   5.734   0.9612  0.14144    22564  0.076   0.0000   0.6763   8.955       20.28      0.3627    
