 
# QPROP Version 1.22
# 
# Propeller_3120                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  6.272755579546976E-002
 -8.626848227243336E-002 -0.188853983120385     
 GVCALC: Not converged.  Res a CL =  6.973645617454027E-002
 -9.047787070464361E-002 -0.201589872565316     
 GVCALC: Not converged.  Res a CL =  7.706041717970791E-002
 -9.150168514605687E-002 -0.216271902086486     
 GVCALC: Not converged.  Res a CL =  8.453441209210480E-002
 -8.933992559667306E-002 -0.232912426425376     
#   0.000   4000.      0.000 -0.6729E-01  0.1217E-02  0.5098       5.353    0.1956   0.4869   0.0000   0.00000 -0.5669E-02  0.1332E-02 NaN        0.0000   1.047       0.000      -0.0438  0.1744E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0104  23.442   0.5322  0.02788     1656  0.007   0.0000   0.8651  0.8553       21.67      0.3071E-01
   0.0089  0.0130  20.463   0.4619  0.02795     3147  0.010   0.0000   0.8304   1.121       18.61      0.3871E-01
   0.0118  0.0154  17.667   0.3765  0.02694     5027  0.014   0.0000   0.7833   1.299       15.94      0.4357E-01
   0.0147  0.0176  15.053   0.2930  0.02571     7247  0.018   0.0000   0.7169   1.393       13.50      0.4566E-01
   0.0175  0.0196  12.621   0.2176  0.02456     9751  0.021   0.0000   0.6234   1.405       11.23      0.4527E-01
   0.0204  0.0214  10.372   0.1528  0.02358    12483  0.025   0.0000   0.4972   1.341       9.123      0.4265E-01
   0.0233  0.0230   8.306   0.0993  0.02276    15385  0.029   0.0000   0.3435   1.207       7.143      0.3801E-01
   0.0262  0.0244   6.422   0.0576  0.02205    18397  0.032   0.0000   0.1877   1.008       5.285      0.3153E-01
   0.0292  0.0256   4.721   0.0274  0.02144    21462  0.036   0.0000   0.0696  0.7526       3.541      0.2342E-01
   0.0321  0.0266   3.202   0.0084  0.02092    24521  0.039   0.0000   0.0121  0.4468       1.908      0.1387E-01
   0.0350  0.0273   1.866   0.0004  0.02048    27519  0.043   0.0000   0.0001  0.9974E-01  0.3904      0.3093E-02
   0.0379  0.0279   0.712   0.0000  0.02009    30400  0.047   0.0000  -0.0003 -0.2689       179.0     -0.8340E-02
   0.0408  0.0282  -0.259   0.0000  0.01955    33116  0.050   0.0000  -0.0013 -0.6191       177.9     -0.1922E-01
   0.0437  0.0283  -1.048  -0.0046  0.01876    35623  0.054   0.0000   0.0097 -0.9127       177.1     -0.2837E-01
   0.0466  0.0283  -1.654  -0.0497  0.01712    37894  0.057   0.0000   0.1246 -0.9733       177.1     -0.3025E-01
   0.0495  0.0280  -2.078  -0.1889  0.03010    39858  0.061   0.0000  -0.4613   1.034       2.865      0.3214E-01
   0.0524  0.0275  -2.319  -0.2016  0.03092    41463  0.064   0.0000  -0.4880   1.095       2.865      0.3402E-01
   0.0552  0.0268  -2.378  -0.2163  0.03073    42656  0.068   0.0000  -0.5474   1.155       2.865      0.3591E-01
   0.0581  0.0259  -2.254  -0.2329  0.02953    43387  0.072   0.0000  -0.6561   1.216       2.865      0.3779E-01
   0.0611  0.0248  -1.948   0.0000  0.01214    43610  0.075   0.0000  -0.0021  -1.174       177.4     -0.3648E-01
   0.0640  0.0235  -1.459   0.0000  0.01089    43283  0.079   0.0000  -0.0010 -0.8271       178.2     -0.2567E-01
   0.0669  0.0220  -0.787   0.0000  0.00967    42328  0.082   0.0000  -0.0001 -0.3422       179.3     -0.1061E-01
   0.0698  0.0202   0.067   0.0020  0.00846    40685  0.086   0.0000   0.0021  0.2787      0.5465      0.8641E-02
   0.0727  0.0183   1.103   0.0242  0.00710    38300  0.089   0.0000   0.0957  0.9537       1.797      0.2960E-01
   0.0756  0.0162   2.322   0.0591  0.00550    35122  0.093   0.0000   0.3690   1.731       3.140      0.5382E-01
