 
# QPROP Version 1.22
# 
# Propeller_3173                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -1.087769810987921E-003
 -8.548087899646037E-002  0.235966644280082     
#   0.000   4000.      0.000  0.7914E-01  0.1454E-02  0.6089       5.355    0.2142   0.5310   0.0000   0.00000  0.1488E-01  0.4339E-02   3.2190   0.0000   1.147       0.000       0.1109  0.2918E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0068  23.734   0.8391  0.02899     1004  0.006   0.0000   0.9162  0.9116       25.07      0.4210E-01
   0.0080  0.0083  21.309   0.8147  0.01894     1757  0.009   0.0000   0.9388   1.208       23.03      0.5405E-01
   0.0104  0.0097  19.025   0.7650  0.01378     2683  0.012   0.0000   0.9491   1.466       21.27      0.6395E-01
   0.0127  0.0109  16.882   0.7052  0.01095     3766  0.015   0.0000   0.9531   1.685       19.67      0.7202E-01
   0.0150  0.0121  14.881   0.6421  0.00946     4987  0.018   0.0000   0.9525   1.867       18.19      0.7841E-01
   0.0174  0.0132  13.021   0.5792  0.00890     6326  0.020   0.0000   0.9472   2.013       16.80      0.8325E-01
   0.0197  0.0142  11.302   0.5182  0.00907     7762  0.023   0.0000   0.9360   2.124       15.48      0.8667E-01
   0.0221  0.0151   9.725   0.4603  0.00985     9274  0.026   0.0000   0.9172   2.202       14.24      0.8880E-01
   0.0244  0.0158   8.289   0.4061  0.01116    10842  0.029   0.0000   0.8883   2.247       13.05      0.8974E-01
   0.0267  0.0165   6.995   0.3559  0.01289    12442  0.032   0.0000   0.8471   2.264       11.93      0.8962E-01
   0.0291  0.0171   5.841   0.3098  0.01493    14054  0.035   0.0000   0.7919   2.254       10.86      0.8854E-01
   0.0314  0.0175   4.829   0.2678  0.01717    15656  0.038   0.0000   0.7223   2.219       9.856      0.8662E-01
   0.0338  0.0179   3.959   0.2360  0.01928    17227  0.041   0.0000   0.6476   2.151       8.856      0.8347E-01
   0.0361  0.0182   3.229   0.1954  0.03676    18739  0.044   0.0000   0.4165   2.085       8.005      0.8056E-01
   0.0384  0.0184   2.641   0.1653  0.02374    20178  0.047   0.0000   0.4585   1.994       7.170      0.7674E-01
   0.0408  0.0184   2.195   0.1383  0.02551    21519  0.050   0.0000   0.3697   1.886       6.381      0.7238E-01
   0.0431  0.0184   1.889   0.1145  0.02694    22742  0.053   0.0000   0.2889   1.767       5.643      0.6761E-01
   0.0454  0.0183   1.725   0.0936  0.02802    23825  0.056   0.0000   0.2185   1.637       4.950      0.6249E-01
   0.0478  0.0180   1.702   0.0752  0.02880    24749  0.059   0.0000   0.1595   1.497       4.302      0.5706E-01
   0.0501  0.0177   1.821   0.0592  0.02941    25491  0.062   0.0000   0.1113   1.349       3.691      0.5134E-01
   0.0525  0.0172   2.081   0.0452  0.03009    26032  0.065   0.0000   0.0729   1.192       3.114      0.4531E-01
   0.0548  0.0167   2.482   0.0330  0.03118    26351  0.067   0.0000   0.0433   1.025       2.562      0.3893E-01
   0.0571  0.0161   3.025   0.0224  0.03321    26427  0.070   0.0000   0.0221  0.8462       2.027      0.3210E-01
   0.0595  0.0153   3.709   0.0133  0.03690    26241  0.073   0.0000   0.0086  0.6501       1.495      0.2465E-01
   0.0618  0.0145   4.534   0.0057  0.04326    25771  0.076   0.0000   0.0019  0.4304      0.9524      0.1631E-01
