 
# QPROP Version 1.22
# 
# Propeller_3267                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.2343      0.1738E-02  0.7278       5.357    0.2365   0.5746   0.0000   0.00000  0.4135E-01  0.4793E-02   5.4517   0.0000   1.267       0.000       0.6377 -0.1917E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0095  23.550   0.4011  0.26703     1500  0.007   0.0000   0.2439  0.6331       16.04      0.2557E-01
   0.0081  0.0105  20.780   0.5166  0.14133     2345  0.010   0.0000   0.4722  0.8982       16.05      0.3628E-01
   0.0105  0.0114  18.186   0.5909  0.07629     3299  0.012   0.0000   0.6606   1.142       15.72      0.4596E-01
   0.0128  0.0122  15.766   0.6326  0.04377     4350  0.015   0.0000   0.7821   1.360       15.20      0.5447E-01
   0.0152  0.0129  13.520   0.6495  0.02800     5481  0.018   0.0000   0.8482   1.552       14.58      0.6180E-01
   0.0176  0.0136  11.450   0.6485  0.01920     6677  0.021   0.0000   0.8865   1.717       13.89      0.6797E-01
   0.0200  0.0141   9.554   0.6351  0.01157     7921  0.024   0.0000   0.9239   1.857       13.18      0.7306E-01
   0.0223  0.0146   7.833   0.6138  0.00213     9195  0.027   0.0000   0.9838   1.973       12.46      0.7719E-01
   0.0247  0.0150   6.287   0.5883 -0.01007    10483  0.030   0.0000   1.0934   2.068       11.77      0.8050E-01
   0.0271  0.0153   4.915   0.5685  0.00161    11764  0.033   0.0000   0.9853   2.159       11.17      0.8367E-01
   0.0295  0.0156   3.718   0.6050 -0.00015    13001  0.036   0.0000   1.0013   2.341       11.14      0.9073E-01
   0.0319  0.0157   2.696   0.6344 -0.00130    14201  0.039   0.0000   1.0110   2.507       11.03      0.9708E-01
   0.0343  0.0158   1.849   0.6572 -0.00205    15348  0.041   0.0000   1.0172   2.655       10.86      0.1027    
   0.0366  0.0158   1.176   0.6736 -0.00252    16426  0.044   0.0000   1.0210   2.785       10.64      0.1075    
   0.0390  0.0157   0.678   0.6840 -0.00274    17419  0.047   0.0000   1.0231   2.894       10.37      0.1116    
   0.0414  0.0156   0.355   0.6882 -0.00275    18308  0.050   0.0000   1.0237   2.984       10.07      0.1148    
   0.0438  0.0153   0.207   0.6865 -0.00260    19078  0.053   0.0000   1.0233   3.053       9.728      0.1172    
   0.0461  0.0150   0.233   0.6787 -0.00234    19711  0.056   0.0000   1.0220   3.102       9.359      0.1188    
   0.0485  0.0146   0.434   0.6646 -0.00199    20190  0.059   0.0000   1.0198   3.129       8.965      0.1196    
   0.0509  0.0141   0.810   0.6439 -0.00152    20498  0.062   0.0000   1.0163   3.137       8.555      0.1197    
   0.0533  0.0136   1.360   0.6162 -0.00080    20616  0.065   0.0000   1.0093   3.128       8.139      0.1191    
   0.0557  0.0129   2.086   0.6179 -0.02002    20513  0.068   0.0000   1.3048   3.219       8.013      0.1225    
   0.0581  0.0122   2.986   0.6429 -0.00907    20169  0.071   0.0000   1.1102   3.447       8.234      0.1313    
   0.0604  0.0114   4.060   0.6405 -0.00048    19576  0.074   0.0000   1.0050   3.780       8.689      0.1443    
   0.0628  0.0105   5.310   0.5378  0.00717    18684  0.076   0.0000   0.9272   4.475       9.943      0.1720    
