 
# QPROP Version 1.22
# 
# Propeller_3308                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  2.011847935677491E-003
 -8.095160157743603E-002  0.547182450518341     
#   0.000   4000.      0.000  0.8970      0.1613E-01   6.756       5.470    1.3667   0.9037   0.0000   0.00000  0.1172      0.3054E-01   9.8949   0.0000   7.476       0.000       0.7329  0.4226E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0074  24.300   0.3169  0.30007     1182  0.007   0.0000   0.1758  0.7021       17.69      0.2676E-01
   0.0084  0.0101  22.945   0.3688  0.16881     2320  0.010   0.0000   0.3578   1.056       18.52      0.4063E-01
   0.0110  0.0126  21.648   0.4108  0.10744     3767  0.013   0.0000   0.5177   1.415       19.06      0.5482E-01
   0.0135  0.0149  20.410   0.4452  0.07564     5480  0.016   0.0000   0.6339   1.774       19.37      0.6896E-01
   0.0161  0.0169  19.231   0.4734  0.05826     7417  0.019   0.0000   0.7100   2.126       19.53      0.8280E-01
   0.0187  0.0188  18.111   0.4969  0.04833     9534  0.022   0.0000   0.7579   2.469       19.55      0.9619E-01
   0.0213  0.0204  17.049   0.5166  0.04227    11789  0.025   0.0000   0.7886   2.801       19.48      0.1090    
   0.0238  0.0218  16.046   0.5335  0.03814    14138  0.028   0.0000   0.8098   3.120       19.32      0.1212    
   0.0264  0.0230  15.102   0.5483  0.03486    16537  0.031   0.0000   0.8264   3.425       19.11      0.1327    
   0.0290  0.0239  14.216   0.5472  0.04630    18941  0.034   0.0000   0.7783   3.716       18.85      0.1436    
   0.0316  0.0247  13.390   0.5903  0.04652    21273  0.037   0.0000   0.7903   4.038       18.81      0.1559    
   0.0342  0.0252  12.622   0.6282  0.04817    23495  0.040   0.0000   0.7952   4.377       18.85      0.1691    
   0.0368  0.0255  11.912   0.6618  0.04944    25590  0.043   0.0000   0.7990   4.691       18.78      0.1811    
   0.0393  0.0256  11.262   0.6913  0.05006    27514  0.046   0.0000   0.8028   4.978       18.59      0.1917    
   0.0419  0.0255  10.670   0.7169  0.04989    29222  0.049   0.0000   0.8072   5.236       18.31      0.2010    
   0.0445  0.0251  10.136   0.7388  0.04886    30666  0.052   0.0000   0.8126   5.463       17.95      0.2088    
   0.0471  0.0246   9.662   0.7570  0.04703    31797  0.055   0.0000   0.8190   5.655       17.50      0.2151    
   0.0496  0.0238   9.246   0.7716  0.04449    32564  0.058   0.0000   0.8265   5.813       16.99      0.2199    
   0.0522  0.0228   8.889   0.7827  0.04141    32917  0.062   0.0000   0.8346   5.935       16.43      0.2232    
   0.0548  0.0216   8.591   0.7900  0.03802    32801  0.065   0.0000   0.8432   6.023       15.82      0.2251    
   0.0574  0.0201   8.351   0.7935  0.03463    32161  0.068   0.0000   0.8514   6.083       15.20      0.2260    
   0.0600  0.0185   8.170   0.7929  0.03172    30938  0.071   0.0000   0.8579   6.130       14.61      0.2265    
   0.0626  0.0166   8.048   0.7876  0.03013    29068  0.075   0.0000   0.8598   6.207       14.14      0.2284    
   0.0651  0.0145   7.985   0.7763  0.03223    26470  0.078   0.0000   0.8495   6.459       14.13      0.2376    
   0.0677  0.0122   7.980   0.7499  0.05623    22893  0.080   0.0000   0.7805   7.733       16.52      0.2911    
