 
# QPROP Version 1.22
# 
# Propeller_3406                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  5.918485963192111E-003
 -0.100875067689296       0.966937462302582     
#   0.000   4000.      0.000  0.5047      0.7481E-02   3.134       5.402    0.6875   0.8437   0.0000   0.00000  0.1012      0.2419E-01   8.2603   0.0000   3.714       0.000       0.9864  0.3617E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0074  24.396   0.7134  0.02827     1099  0.006   0.0000   0.9027  0.8857       24.23      0.4101E-01
   0.0080  0.0082  23.215   0.8186  0.02244     1722  0.009   0.0000   0.9285   1.199       23.03      0.5451E-01
   0.0103  0.0089  22.070   0.8899  0.01874     2433  0.012   0.0000   0.9426   1.496       22.09      0.6711E-01
   0.0126  0.0096  20.962   0.9404  0.01626     3222  0.014   0.0000   0.9511   1.780       21.31      0.7897E-01
   0.0149  0.0102  19.891   0.9771  0.01458     4082  0.017   0.0000   0.9565   2.052       20.64      0.9021E-01
   0.0171  0.0108  18.856   1.0043  0.01347     5003  0.020   0.0000   0.9598   2.312       20.04      0.1009    
   0.0194  0.0113  17.858   1.0245  0.01278     5977  0.023   0.0000   0.9617   2.562       19.49      0.1110    
   0.0217  0.0118  16.897   1.0394  0.01237     6997  0.025   0.0000   0.9626   2.801       18.97      0.1206    
   0.0241  0.0122  15.972   1.0503  0.01218     8052  0.028   0.0000   0.9627   3.029       18.49      0.1297    
   0.0264  0.0126  15.084   1.0578  0.01214     9134  0.031   0.0000   0.9623   3.247       18.02      0.1383    
   0.0286  0.0130  14.233   1.0626  0.01219    10236  0.034   0.0000   0.9615   3.454       17.57      0.1463    
   0.0310  0.0133  13.418   1.0652  0.01231    11347  0.036   0.0000   0.9604   3.650       17.14      0.1539    
   0.0333  0.0136  12.639   1.0657  0.01246    12459  0.039   0.0000   0.9591   3.836       16.71      0.1610    
   0.0356  0.0138  11.898   1.0643  0.01262    13563  0.042   0.0000   0.9577   4.010       16.29      0.1676    
   0.0379  0.0140  11.193   1.0612  0.01278    14650  0.045   0.0000   0.9561   4.173       15.88      0.1737    
   0.0402  0.0141  10.524   1.0562  0.01293    15712  0.048   0.0000   0.9544   4.325       15.48      0.1793    
   0.0425  0.0142   9.892   1.0490  0.01307    16738  0.050   0.0000   0.9526   4.467       15.08      0.1845    
   0.0447  0.0142   9.297   1.0393  0.01319    17719  0.053   0.0000   0.9507   4.600       14.70      0.1893    
   0.0470  0.0142   8.738   1.0263  0.01332    18645  0.056   0.0000   0.9485   4.727       14.33      0.1939    
   0.0493  0.0141   8.216   0.9669  0.03462    19507  0.059   0.0000   0.8666   4.851       14.00      0.1984    
   0.0516  0.0140   7.731   0.9661  0.03476    20304  0.062   0.0000   0.8627   4.935       13.57      0.2011    
   0.0539  0.0139   7.282   0.9581  0.03793    20983  0.065   0.0000   0.8510   5.158       13.58      0.2102    
   0.0563  0.0137   6.870   0.9439  0.04359    21543  0.067   0.0000   0.8330   5.489       13.89      0.2243    
   0.0585  0.0134   6.495   0.9204  0.05698    21926  0.070   0.0000   0.7983   6.111       14.95      0.2521    
   0.0609  0.0132   6.156   0.8693  0.11698    21795  0.071   0.0000   0.6879   7.931       19.24      0.3426    
