 
# QPROP Version 1.22
# 
# Propeller_3456                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000 -0.1834E-01  0.1337E-02  0.5599       5.354    0.2050   0.5102   0.0000   0.00000 -0.3922E-02  0.4687E-02 NaN        0.0000   1.097       0.000      -0.0707  0.1110    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0056  0.0092  24.178   0.8658  0.03952     1372  0.006   0.0000   0.8854  0.8483       23.00      0.3918E-01
   0.0079  0.0095  22.591   0.8597  0.06521     2039  0.009   0.0000   0.8037   1.055       19.85      0.4668E-01
   0.0102  0.0099  21.079   0.7927  0.08876     2755  0.012   0.0000   0.7085   1.198       17.16      0.5137E-01
   0.0124  0.0101  19.643   0.6940  0.10628     3510  0.015   0.0000   0.6072   1.282       14.78      0.5368E-01
   0.0147  0.0104  18.282   0.5803  0.11734     4298  0.018   0.0000   0.5017   1.311       12.62      0.5386E-01
   0.0169  0.0107  16.996   0.4619  0.12312     5111  0.021   0.0000   0.3924   1.285       10.63      0.5207E-01
   0.0192  0.0109  15.786   0.3457  0.12521     5943  0.023   0.0000   0.2813   1.206       8.733      0.4833E-01
   0.0215  0.0111  14.652   0.2367  0.12508     6787  0.026   0.0000   0.1744   1.072       6.901      0.4256E-01
   0.0237  0.0112  13.592   0.1390  0.12402     7636  0.029   0.0000   0.0833  0.8744       5.071      0.3449E-01
   0.0260  0.0113  12.608   0.0575  0.12337     8484  0.032   0.0000   0.0220  0.5946       3.138      0.2334E-01
   0.0282  0.0115  11.700   0.0040  0.12587     9323  0.035   0.0000   0.0002  0.1638      0.7940      0.6413E-02
   0.0305  0.0115  10.867  -0.0345  0.21995    10129  0.038   0.0000   0.0051 -0.5946       177.3     -0.2332E-01
   0.0328  0.0116  10.109  -0.1090  0.20149    10929  0.040   0.0000   0.0239 -0.6848       177.1     -0.2687E-01
   0.0350  0.0116   9.427  -0.1894  0.10957    11710  0.043   0.0000   0.0773 -0.7320       177.1     -0.2872E-01
   0.0373  0.0116   8.820  -0.2000  0.17064    12466  0.046   0.0000   0.0530 -0.7793       177.1     -0.3057E-01
   0.0395  0.0116   8.288  -0.2025  0.16304    13191  0.049   0.0000   0.0562 -0.8265       177.1     -0.3243E-01
   0.0418  0.0115   7.832  -0.2045  0.15494    13880  0.051   0.0000   0.0596 -0.8738       177.1     -0.3428E-01
   0.0440  0.0115   7.452  -0.2059  0.14632    14529  0.054   0.0000   0.0634 -0.9210       177.1     -0.3614E-01
   0.0463  0.0113   7.146  -0.2060  0.13737    15132  0.057   0.0000   0.0675 -0.9683       177.1     -0.3799E-01
   0.0486  0.0112   6.916  -0.2166  0.08408    15683  0.060   0.0000   0.1120  -1.016       177.1     -0.3984E-01
   0.0508  0.0111   6.762  -0.1494  0.08361    16177  0.063   0.0000   0.0798  -1.063       177.1     -0.4170E-01
   0.0531  0.0109   6.683  -0.0619  0.08419    16610  0.065   0.0000   0.0331  -1.110       177.1     -0.4355E-01
   0.0553  0.0107   6.679   0.0000  0.07901    16989  0.068   0.0000  -0.0010 -0.7310       178.2     -0.2864E-01
   0.0576  0.0104   6.751   0.0053  0.06552    17290  0.071   0.0000   0.0007  0.2574      0.6112      0.1008E-01
   0.0599  0.0101   6.898   0.0496  0.05670    17494  0.074   0.0000   0.0310  0.9600       2.195      0.3763E-01
