 
# QPROP Version 1.22
# 
# Propeller_3496                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.2846E-01  0.7032E-04  0.2946E-01   5.344    0.1055   0.0522   0.0000   0.00000  0.5705E-02  0.2274E-03   1.9615   0.0000  0.5639       0.000       0.0457 -0.1100E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0106  23.574   0.3546  0.24159     1664  0.007   0.0000   0.2383  0.6271       16.00      0.2613E-01
   0.0080  0.0137  20.845   0.3607  0.12672     3026  0.009   0.0000   0.3977  0.8555       15.46      0.3546E-01
   0.0103  0.0165  18.280   0.3431  0.06819     4725  0.012   0.0000   0.5378   1.047       14.60      0.4305E-01
   0.0126  0.0191  15.880   0.3122  0.03746     6716  0.015   0.0000   0.6482   1.197       13.54      0.4876E-01
   0.0149  0.0214  13.644   0.2746  0.02104     8956  0.018   0.0000   0.7288   1.303       12.38      0.5258E-01
   0.0171  0.0235  11.572   0.2348  0.01185    11394  0.021   0.0000   0.7885   1.365       11.17      0.5463E-01
   0.0194  0.0253   9.664   0.1959  0.00615    13980  0.024   0.0000   0.8436   1.388       9.957      0.5507E-01
   0.0217  0.0269   7.920   0.1597  0.00203    16661  0.026   0.0000   0.9221   1.373       8.770      0.5412E-01
   0.0241  0.0282   6.341   0.1274 -0.00139    19386  0.029   0.0000   1.0902   1.327       7.635      0.5200E-01
   0.0264  0.0293   4.926   0.0995 -0.00441    22099  0.032   0.0000   1.6328   1.255       6.571      0.4896E-01
   0.0286  0.0301   3.676   0.0762 -0.00703    24749  0.035   0.0000  17.7932   1.164       5.593      0.4525E-01
   0.0310  0.0307   2.589   0.0573 -0.00918    27284  0.038   0.0000  -1.0747   1.062       4.714      0.4116E-01
   0.0333  0.0310   1.667   0.0426 -0.01072    29652  0.041   0.0000  -0.3837  0.9554       3.943      0.3696E-01
   0.0356  0.0311   0.909   0.0316 -0.01157    31803  0.044   0.0000  -0.1899  0.8526       3.288      0.3294E-01
   0.0379  0.0309   0.316   0.0237 -0.01168    33687  0.047   0.0000  -0.1109  0.7611       2.755      0.2937E-01
   0.0402  0.0305  -0.114   0.0185 -0.01106    35255  0.049   0.0000  -0.0756  0.6883       2.348      0.2655E-01
   0.0425  0.0298  -0.379   0.0155 -0.00977    36457  0.052   0.0000  -0.0624  0.6414       2.068      0.2473E-01
   0.0447  0.0289  -0.480   0.0145 -0.00788    37245  0.055   0.0000  -0.0669  0.6264       1.916      0.2415E-01
   0.0470  0.0277  -0.416   0.0154 -0.00549    37569  0.058   0.0000  -0.1029  0.6481       1.885      0.2498E-01
   0.0493  0.0263  -0.188   0.0185 -0.00271    37381  0.061   0.0000  -0.3081  0.7088       1.966      0.2732E-01
   0.0516  0.0246   0.204   0.0245  0.00037    36629  0.064   0.0000   0.7095  0.8069       2.139      0.3111E-01
   0.0539  0.0227   0.760   0.0341  0.00369    35267  0.066   0.0000   0.2760  0.9353       2.374      0.3608E-01
   0.0563  0.0205   1.480   0.0474  0.00723    33244  0.069   0.0000   0.2301   1.081       2.633      0.4172E-01
   0.0585  0.0181   2.365   0.0612  0.01116    30513  0.072   0.0000   0.2146   1.233       2.886      0.4761E-01
   0.0609  0.0154   3.414   0.0614  0.01595    27023  0.075   0.0000   0.1756   1.431       3.224      0.5528E-01
