 
# QPROP Version 1.22
# 
# Propeller_3569                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -2.880147512747877E-002
 -9.425036813584076E-002   1.29214034671119     
 GVCALC: Not converged.  Res a CL =  1.466776602085745E-002
 -0.105417008992938        1.16490602020224     
 GVCALC: Not converged.  Res a CL =  1.297015981919147E-002
 -0.106903361633240        1.16551913330471     
#   0.000   4000.      0.000   1.158      0.1902E-01   7.966       5.493    1.5937   0.9101   0.0000   0.00000  0.9761E-01  0.2081E-01  10.0768   0.0000   8.754       0.000       1.1243  0.2760E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0072  24.470   0.7914  0.03398     1147  0.007   0.0000   0.8883  0.8659       22.01      0.3123E-01
   0.0089  0.0095  23.425   0.8674  0.02172     2252  0.010   0.0000   0.9314   1.273       21.69      0.4572E-01
   0.0118  0.0116  22.401   0.9240  0.01563     3657  0.013   0.0000   0.9524   1.677       21.48      0.6005E-01
   0.0147  0.0135  21.399   0.9712  0.01241     5320  0.017   0.0000   0.9634   2.077       21.30      0.7416E-01
   0.0175  0.0153  20.418   1.0124  0.01070     7199  0.020   0.0000   0.9694   2.470       21.11      0.8798E-01
   0.0204  0.0168  19.459   1.0493  0.00985     9253  0.024   0.0000   0.9725   2.855       20.90      0.1014    
   0.0233  0.0182  18.520   1.0826  0.00949    11440  0.027   0.0000   0.9741   3.229       20.66      0.1144    
   0.0262  0.0193  17.603   1.1126  0.00941    13718  0.030   0.0000   0.9747   3.592       20.40      0.1268    
   0.0292  0.0203  16.707   1.1395  0.00950    16047  0.034   0.0000   0.9747   3.940       20.09      0.1385    
   0.0321  0.0211  15.833   1.1633  0.00966    18384  0.037   0.0000   0.9745   4.270       19.75      0.1495    
   0.0350  0.0218  14.980   1.1839  0.00986    20686  0.041   0.0000   0.9740   4.582       19.38      0.1596    
   0.0379  0.0222  14.148   1.2012  0.01006    22910  0.044   0.0000   0.9734   4.872       18.96      0.1689    
   0.0408  0.0225  13.337   1.2149  0.01023    25013  0.048   0.0000   0.9727   5.138       18.51      0.1772    
   0.0437  0.0225  12.548   1.2248  0.01038    26949  0.051   0.0000   0.9719   5.379       18.02      0.1844    
   0.0466  0.0224  11.780   1.2307  0.01050    28674  0.055   0.0000   0.9710   5.591       17.49      0.1905    
   0.0495  0.0221  11.033   1.2921  0.00961    30219  0.058   0.0000   0.9733   5.620       16.43      0.1894    
   0.0524  0.0216  10.307   1.1649  0.03389    31299  0.062   0.0000   0.9020   5.922       16.35      0.1994    
   0.0552  0.0209   9.603   1.1655  0.03439    32105  0.066   0.0000   0.8976   6.039       15.73      0.2021    
   0.0581  0.0201   8.920   1.1605  0.03226    32554  0.069   0.0000   0.8980   6.005       14.77      0.1991    
   0.0611  0.0190   8.259   1.1441  0.03244    32496  0.073   0.0000   0.8924   6.058       14.14      0.1998    
   0.0640  0.0178   7.618   1.1192  0.03244    31933  0.077   0.0000   0.8860   6.080       13.50      0.1994    
   0.0669  0.0164   6.999   1.0853  0.03255    30811  0.080   0.0000   0.8780   6.085       12.88      0.1985    
   0.0698  0.0148   6.401   1.0416  0.03344    29074  0.084   0.0000   0.8662   6.116       12.37      0.1987    
   0.0727  0.0130   5.825   0.9863  0.03727    26649  0.087   0.0000   0.8448   6.310       12.25      0.2049    
   0.0756  0.0111   5.270   0.9092  0.06082    23343  0.090   0.0000   0.7769   7.501       14.15      0.2473    
